# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Mean halo angular momentum H_h (km/s Mpc/h) for group of halos of the same size n_p, where n_p is number of particles in halo.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
"#Ref. [3] Eq. (56)-(58), Fig. 12",https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4] Eq. (62) and Fig. 4,https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5] Table 3,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,0.685353537,1.126981841,1.506072745,1.777230212,2.114259235,2.687899744,3.062278034,3.616930398,4.025635904
3,0,0.859529497,1.42347981,1.91110919,2.283125059,2.832075381,3.761516012,4.380990451,5.273379505,5.916740637
4,0,1.034387029,1.638662791,2.212414352,2.629525136,3.268459039,4.311293254,5.03533164,6.038045856,6.804686566
5,0,1.058311053,1.819247764,2.444464111,2.916180298,3.614463587,4.758248912,5.523900476,6.554508547,7.355978045
6,0,1.079525324,1.878907413,2.570437812,3.110777714,3.890305786,5.07003012,5.838862728,6.960482029,7.767822189
7,0,1.422307127,1.9499683,2.672519963,3.235681173,4.02546893,5.283464844,6.012845593,7.12947771,7.937634525
8,0,1.450584667,1.959621616,2.758157251,3.357501743,4.159333329,5.51371496,6.263276063,7.317369698,8.095986283
9,0,0.981050967,2.038860845,2.828691515,3.464444236,4.231023593,5.611450258,6.347996924,7.394178207,8.369324979
10,0,0.724205944,2.064184542,2.862325004,3.531374306,4.472981131,5.709441868,6.407812826,7.654529301,8.382058483
11,0,1.382223498,2.160879518,2.941945896,3.59804813,4.512376894,5.84543206,6.542340623,7.682683737,8.366758967
12,0,1.771255995,2.26197558,3.039988358,3.68252881,4.583348928,5.893317127,6.682468308,7.713488422,8.299164279
13,0,0,2.401984091,3.011945712,3.739765521,4.637291201,5.971548579,6.73703933,7.829098587,8.488486167
14,0,1.594583797,2.362255003,3.101845765,3.820198075,4.769263285,6.079036699,6.907080677,8.056182561,8.664796121
15,0,0.895274822,2.368862486,3.235199238,3.981565362,4.868712869,6.276461927,6.960272781,8.029276945,8.523853219
16,0,0.985261779,2.466781048,3.237312019,3.917883143,4.839044871,6.25553952,7.274019081,8.226765016,8.826079615
17,0,0,2.537333123,3.26525499,3.936675216,5.091185909,6.332981739,7.230428623,8.105724743,8.890292165
18,0,0,2.375422452,3.171902093,4.10522426,4.971598937,6.614731313,7.339839092,8.20342608,9.034465999
19,0,0,2.520430999,3.535171161,4.117048107,5.018571839,6.526045267,7.377310361,8.432835762,8.979077647
20,0,0,2.508967706,3.524492051,4.204349982,5.367310102,6.648157181,7.353742602,8.325257784,9.292207167
21,0,0,2.634724974,3.554201556,4.227323115,5.277288822,6.839752589,7.68654855,8.45367335,9.169546648
22,0,0,2.867927791,3.526661583,4.461817759,5.327827998,6.846972752,7.79067216,8.704243131,9.420342395
23,0,0,2.382923766,3.560143519,4.25203116,5.381580641,6.989419968,7.761396512,8.494010099,9.483591181
24,0,0,2.707638078,3.646173265,4.502239003,5.297713736,6.99412702,7.826230568,8.888474654,9.33315343
25,0,0,3.099978035,3.648582683,4.44253858,5.606077444,6.925589217,7.991976612,9.010819058,9.663380795
26,0,0,3.197762791,3.785266071,4.554843854,5.736499573,7.368003751,8.232197248,9.122460395,9.860394369
