# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Mean halo (peculiar) radial kinetic energy K_rp (km^2/s^2) for group of halos of the same size n_p, where n_p is number of particles in halo.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
"#Ref. [3] Eq. (65), Fig. 16",https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4] ,https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]   Table 3,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,10825.41191,5976.155484,4109.951902,3268.517127,2750.128134,2471.512527,2514.535853,2722.078186,2930.871703
3,0,11189.51474,5301.529174,3252.483496,2520.013337,2079.594111,1964.648567,2082.165551,2329.963695,2555.19969
4,0,12050.72554,5340.426577,3237.932276,2521.120314,1986.192386,1795.812686,1897.443014,2043.719992,2224.78539
5,0,14244.42909,5832.064652,3590.943484,2657.864824,2009.320198,1701.402391,1704.403113,1906.963159,2038.530693
6,0,13911.26515,6498.925598,3877.529295,2890.416007,2100.426621,1692.501806,1624.742892,1690.869858,1825.421544
7,0,16356.55778,7303.137301,4283.069596,3101.690516,2185.38105,1670.336625,1568.692276,1634.374385,1770.020744
8,0,16913.91816,7743.702529,4661.181459,3328.793451,2340.102275,1713.187698,1572.34666,1554.416424,1568.600394
9,0,15485.93118,8349.438543,5037.16638,3520.627482,2380.566702,1670.366288,1528.856635,1495.955697,1525.82152
10,0,17906.56803,9068.264421,5581.902502,3747.010354,2509.825397,1733.592711,1554.926868,1496.584272,1461.406383
11,0,26096.48283,9160.051098,5712.307662,4008.752866,2612.35984,1722.791328,1600.905641,1454.880845,1401.066986
12,0,32585.87374,10003.68884,6220.526191,4105.704145,2797.03957,1775.710351,1542.009673,1426.297433,1324.896809
13,0,0,10454.59054,6342.944778,4349.253413,2848.029755,1868.644199,1581.688647,1372.567079,1348.273568
14,0,34540.86098,11857.68196,6894.110475,4624.166246,2898.254885,1858.573762,1632.703406,1427.395275,1318.977333
15,0,41433.51279,12241.97031,7085.903512,5001.542625,3016.564783,1899.683119,1658.886446,1391.925709,1317.33922
16,0,38217.40685,13145.83822,7918.586835,5083.453707,3172.004236,2017.101232,1651.159528,1439.152711,1419.334877
17,0,0,13808.34421,7735.149484,5239.987999,3335.263366,2020.813298,1622.424574,1442.322355,1300.676454
18,0,0,14275.87239,8148.440498,5312.448941,3491.702938,2082.907865,1727.073742,1423.611938,1338.303622
19,0,0,16363.54378,8589.876516,5938.462261,3611.810894,2181.244563,1806.888736,1456.934231,1364.936712
20,0,0,14710.73725,8886.192644,5632.638808,3716.833938,2091.140563,1732.148596,1442.086643,1389.655893
21,0,0,15166.68031,8966.664992,6238.983209,3851.842552,2284.575164,1828.420735,1495.248712,1363.946544
22,0,0,14771.59354,9509.378778,6518.678911,3940.352755,2331.733344,1797.333608,1605.080803,1442.177027
23,0,0,13097.30135,9763.777189,6121.886392,3974.620028,2380.631602,2029.089485,1609.923334,1368.93448
24,0,0,18067.47101,10639.70837,6416.749644,4124.47653,2296.852918,1908.480933,1556.820141,1413.624285
25,0,0,18950.46993,9983.83277,6774.395963,4461.268921,2374.602498,2049.656107,1604.43428,1433.599526
26,0,0,18754.45073,10050.44525,6990.15984,4531.133502,2548.552634,2046.497997,1700.72237,1552.544482
27,0,0,19824.83874,10711.18095,7562.066218,4498.774754,2559.895933,2008.743646,1714.362166,1470.90463
28,0,0,20616.80179,11476.62199,7074.958548,4507.645154,2671.309598,2136.693658,1595.068288,1504.788683
29,0,0,15696.4596,11517.29759,7747.447397,4957.014472,2610.252989,2050.400106,1721.443026,1753.255885
30,0,0,19708.31331,11986.7747,7925.692437,4937.050994,2927.835614,2231.552291,1751.682593,1491.913425
31,0,0,20320.23602,11848.74067,8313.973131,4744.545132,3050.239192,2408.244432,1706.608562,1537.267033
32,0,0,20738.14382,11381.35472,8317.632468,5251.397225,2926.986277,2052.469081,1764.543425,1447.353439
33,0,0,23332.63212,12800.61999,8650.847133,4919.9826,2912.937565,2165.560894,1891.145844,1756.434929
34,0,0,22939.45484,12201.26988,7927.906487,5609.085527,3010.310094,2304.029157,1687.199849,1481.642033
35,0,0,32250.12486,14558.48472,8985.714368,5422.666313,3333.033834,2583.031238,1854.269617,1532.551329
36,0,0,24554.59992,14001.77747,9533.105431,5817.060379,3192.998553,2416.271287,1759.100207,1644.402653
37,0,0,21925.51173,12393.91299,10258.30029,6003.313356,3144.290469,2432.854667,2005.217178,1476.841099
38,0,0,37414.06526,14177.98341,10697.86131,5503.330868,3120.99933,2649.767631,1871.08042,1605.472146
39,0,0,33476.59294,13801.2564,8535.517765,5929.314299,3366.518966,2481.856321,2079.976642,1732.67483
40,0,0,13637.86213,16329.68682,10009.91058,5718.571531,3142.768972,2632.244641,1988.722852,1897.633039
41,0,0,49206.49369,16116.86116,10338.91922,6000.162964,2994.151039,2660.947457,1941.326097,1724.401452
42,0,0,12280.9777,15089.71304,9982.011763,6390.267052,3627.419907,2628.47179,1929.26237,1938.999484
