# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Mean halo (including Hubble flow) radial kinetic energy K_r (km^2/s^2) for group of halos of the same size n_p, where n_p is number of particles in halo.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
#Ref. [3] Eq. (65),https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4] ,https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]  Eq. (108) Table 3,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,6605.719229,5080.970863,3909.35224,3169.881814,2698.629545,2427.060292,2481.533328,2699.783243,2911.690889
3,0,4986.71788,3984.555282,2687.069401,2180.665158,1931.275061,1881.300595,2020.579137,2286.968414,2521.848718
4,0,4268.576321,3489.022757,2354.803586,1973.946031,1739.0779,1681.458379,1806.721283,1985.879713,2176.804497
5,0,4757.522266,3277.276908,2204.982159,1899.335926,1669.667496,1540.168934,1601.038222,1831.888234,1978.437353
6,0,6150.086164,2891.281753,2141.241533,1887.600711,1645.406375,1486.158777,1488.731498,1594.399252,1754.401433
7,0,3989.23147,2798.498485,2079.106203,1882.08511,1617.134335,1409.548877,1387.340001,1520.460495,1691.591702
8,0,4141.267321,2876.606586,2042.854122,1891.137573,1647.062545,1407.940579,1379.26768,1439.279325,1462.948288
9,0,3618.334632,2665.348009,2034.998145,1880.940199,1620.449322,1341.964198,1292.127965,1347.152757,1419.779909
10,0,2585.089588,3262.482011,2132.676305,1947.962406,1627.376298,1354.096268,1299.359053,1323.512139,1323.775102
11,0,1584.773127,2616.602583,2218.433033,1932.622532,1569.407379,1325.956762,1293.731447,1262.024769,1263.533556
12,0,286.3967387,3061.73483,2294.341377,1936.405244,1614.68209,1316.582285,1225.717376,1227.958499,1179.365185
13,0,0,2775.793059,2097.488322,2002.60278,1667.458022,1330.46016,1225.350358,1157.645329,1172.074187
14,0,4828.436423,3575.908367,2122.720137,1946.151872,1624.672388,1320.298967,1216.222168,1186.011025,1128.738086
15,0,2956.593524,2817.913812,2183.274834,2059.898036,1648.260789,1338.329302,1221.698755,1134.887014,1126.398475
16,0,383.7747217,2695.534728,2356.609214,1992.058291,1676.115147,1380.770909,1245.103864,1160.948945,1194.755078
17,0,0,3067.27432,1991.804202,2114.150761,1696.497309,1338.518631,1177.961954,1150.514921,1082.346254
18,0,0,3635.87377,2324.222589,2017.267669,1688.223497,1365.226154,1281.640286,1110.587725,1119.311778
19,0,0,2382.585347,2198.629756,2199.92502,1864.784161,1420.875443,1298.814142,1118.274621,1095.326638
20,0,0,2810.776884,2359.071015,2091.200803,1779.718447,1290.984746,1215.420543,1094.413087,1120.291739
21,0,0,2377.398485,2285.981204,2321.105408,1702.68594,1411.694578,1246.671699,1161.053331,1074.098061
22,0,0,3117.78697,2301.200999,2274.454343,1817.675754,1426.262851,1275.793096,1205.176025,1118.365159
23,0,0,3793.169197,2495.364695,2108.500492,1848.672518,1453.972088,1353.786612,1218.887345,1085.703675
24,0,0,3334.416296,2457.946014,2098.157188,1997.411622,1351.691833,1275.324965,1121.752909,1089.534685
25,0,0,2092.058244,1921.805393,2295.545333,1982.359708,1444.173155,1349.284918,1154.164555,1117.131154
26,0,0,4210.881888,3042.034671,2306.505615,2028.471233,1584.137477,1301.476205,1216.825347,1202.172545
27,0,0,2777.457994,2590.117037,2295.152553,2034.74206,1512.652137,1257.88366,1241.347674,1085.557571
28,0,0,3032.774042,2640.080454,2314.890934,1725.419274,1588.417904,1390.578917,1124.254441,1124.377024
29,0,0,2484.114474,2759.711752,2558.48433,2028.603954,1544.275189,1305.450926,1285.239707,1342.522874
30,0,0,3805.477342,2529.901749,2502.539716,1959.958524,1646.708971,1410.432039,1238.774719,1141.813814
31,0,0,1233.269936,2975.766346,2458.735808,1873.571167,1692.645436,1497.514107,1242.304497,1145.206687
32,0,0,4532.116697,3119.577017,2522.328561,2073.458226,1654.638038,1270.196403,1226.182337,1047.758182
33,0,0,5136.771428,2709.92907,2796.210526,1955.184516,1646.950083,1334.535554,1349.558521,1309.568807
34,0,0,1881.124929,2936.835177,2378.220673,2254.54767,1618.809088,1448.350395,1226.955462,1061.861089
35,0,0,2507.971747,3198.811471,2330.819846,2193.497378,1832.460385,1541.751521,1283.790077,1141.918672
36,0,0,4472.958784,2541.052776,3005.304256,2437.580681,1725.134956,1497.477427,1255.620789,1269.164123
37,0,0,4084.1731,2948.955514,2562.977997,2400.902301,1673.146104,1432.410715,1413.014973,1047.731826
38,0,0,4503.507506,3638.044831,3051.142745,2038.859905,1681.482135,1599.779474,1253.240308,1186.425001
39,0,0,425.7293476,2999.398285,2368.080665,2287.601659,1837.590801,1592.390444,1396.209791,1242.905069
40,0,0,4745.635262,3304.414556,2771.354961,2030.751215,1713.224755,1531.906661,1294.727691,1381.609661
41,0,0,4373.73396,3153.504524,2734.768704,2393.836133,1579.784492,1543.024072,1362.250637,1205.108818
42,0,0,2383.988404,2479.039988,2899.015975,2239.838134,1922.563272,1622.228723,1288.044752,1368.474084
43,0,0,1386.93276,3281.947621,2568.446976,2312.53589,1757.839828,1488.831482,1264.846024,1184.210578
