# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Mean halo ratational kinetic energy K_a (km^2/s^2) for group of halos of the same size n_p, where n_p is number of particles in halo.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
"#Ref. [3] Eq. (66), Fig. 16",https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4] ,https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]   Table 3,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,4479.655869,4379.493027,4174.738889,3930.824922,3850.986143,4026.448862,4312.200438,4860.497665,5334.000293
3,0,3622.593442,3815.842187,3632.592091,3475.620834,3555.688108,3910.741872,4356.747378,5049.602708,5599.009184
4,0,3112.201999,3376.329479,3312.369017,3238.45864,3308.672743,3588.441022,3961.338239,4530.356145,5081.671442
5,0,2349.574589,3181.90361,3179.115548,3149.561803,3163.26748,3369.558434,3668.986838,4131.167699,4593.245259
6,0,2497.997721,2916.441148,3002.700779,3005.741986,3068.963245,3200.283687,3423.974207,3847.142188,4200.431161
7,0,2126.304748,2621.067761,2837.085096,2883.292285,2887.934624,3004.339236,3133.36599,3473.861614,3795.580263
8,0,2607.116194,2384.623459,2704.816076,2792.664002,2771.030979,2936.636689,3029.726459,3226.775584,3469.790277
9,0,940.1106584,2373.347707,2641.742248,2682.015985,2633.367815,2803.343813,2842.63224,2950.806709,3321.260725
10,0,641.8824708,2349.672227,2499.975867,2636.129923,2710.712911,2659.301389,2663.472741,3000.04831,3124.058383
11,0,1941.981784,2307.476904,2426.742792,2547.762962,2543.925804,2540.518042,2545.89104,2760.74488,2867.348328
12,0,2342.458885,2323.654431,2409.113134,2546.489501,2484.532443,2484.390808,2553.541244,2637.868919,2621.31964
13,0,0,2351.981316,2352.970821,2475.72134,2456.092653,2388.203308,2412.322814,2549.967495,2637.537562
14,0,1735.13524,2171.578438,2350.982073,2464.780996,2410.257394,2344.122135,2446.933257,2556.778825,2556.567638
15,0,673.2412172,1990.106175,2374.499179,2489.113599,2403.476886,2417.030428,2285.495114,2455.867965,2392.465724
16,0,924.6671776,2231.039223,2217.653389,2311.301905,2336.800133,2279.288825,2467.567126,2493.617573,2390.26756
17,0,0,1972.845921,2146.04731,2278.807365,2440.01658,2268.305592,2334.786823,2267.269903,2392.957252
18,0,0,1815.680518,2186.922914,2376.572475,2250.305874,2361.447415,2316.958575,2243.390804,2448.218079
