# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Mean halo paramter \gamma_g for group of halos of the same size n_p, where n_p is number of particles in halo. \Gamma_g represents the ratio between halo mean square radius and halo size.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
#Ref. [3] Eq. (61),https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
"#Ref. [4] Eqs. (43) (48), (55), Fig. 2",https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]   Table 3,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,0.482563253,0.479053093,0.491410002,0.509130214,0.497429263,0.486854676,0.477996244,0.464162892,0.45592753
3,0,0.605984144,0.610055907,0.614967588,0.615743906,0.607217538,0.593720566,0.582675278,0.569524831,0.561660258
4,0,0.685537477,0.665379002,0.665619729,0.661374775,0.653323474,0.638654924,0.628672777,0.61355221,0.6054938
5,0,0.725914842,0.697291672,0.691357335,0.687938197,0.681584162,0.666546429,0.655863971,0.640889901,0.631899765
6,0,0.690343544,0.714493663,0.705527327,0.703251631,0.697660609,0.682992079,0.67170243,0.657405479,0.648697718
7,0,0.803344715,0.730474215,0.716582204,0.711578594,0.706472121,0.69390093,0.682104607,0.664739176,0.656539476
8,0,0.796548057,0.735995886,0.723068228,0.716599502,0.712450967,0.700073933,0.686604124,0.671056116,0.660362079
9,0,0.767987971,0.738739732,0.72434394,0.720783374,0.714822453,0.702172779,0.688773518,0.671754826,0.666475792
10,0,0.781153572,0.740249222,0.729820747,0.720608922,0.718922421,0.702965009,0.688509615,0.674123845,0.66513215
11,0,0.765124581,0.750015252,0.733662699,0.725218119,0.722084587,0.705642873,0.690180183,0.673449275,0.662335389
12,0,0.80406116,0.756455872,0.733343576,0.723079766,0.720241869,0.702306579,0.689059076,0.670390728,0.659778749
13,0,0,0.755337468,0.725127207,0.724770972,0.720916172,0.701069911,0.689896684,0.67275637,0.660962231
14,0,0.761804768,0.758171772,0.731988354,0.727439364,0.726355835,0.700291847,0.68713177,0.66594857,0.658162239
15,0,0.746934166,0.769605642,0.737058425,0.731174102,0.716166352,0.699197673,0.686666898,0.663826245,0.652615134
16,0,0.795822349,0.74957604,0.743228803,0.729165154,0.714118477,0.702521457,0.689625767,0.66518774,0.65647909
17,0,0,0.792177583,0.738029104,0.722508989,0.718929792,0.69811693,0.683912815,0.661872205,0.651766503
18,0,0,0.774684439,0.718958232,0.731843257,0.719750613,0.699091598,0.683598551,0.659210038,0.648229518
19,0,0,0.791470671,0.740411567,0.720971302,0.71658893,0.695752753,0.67937175,0.659293089,0.649140939
20,0,0,0.77185356,0.737746348,0.72983736,0.720306686,0.693582297,0.679832188,0.661655048,0.64707439
21,0,0,0.766757941,0.731328066,0.724833249,0.714490155,0.695371417,0.680438044,0.652503024,0.643041876
22,0,0,0.778883184,0.732593819,0.733295525,0.714326199,0.692381778,0.67527544,0.65885563,0.642852307
23,0,0,0.693109645,0.735904391,0.722744301,0.716223187,0.695255845,0.67732113,0.653149818,0.640234986
