# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Standard deviation of halo paramter gamma_g for group of halos of the same size n_p, where n_p is number of particles in halo. Gamma_g represents the ratio between halo mean square radius r_g and halo size r_h.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
"#Ref. [3] Eq. (61), Fig. 13",https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
"#Ref. [4] Eqs. (43)(48), (55), Fig. 2",https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]   Table 3,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,0.198091328,0.186501382,0.182086558,0.182694763,0.182873884,0.181259934,0.180795711,0.183591951,0.184860571
3,0,0.17388442,0.160739398,0.15530778,0.152033305,0.155674043,0.161035385,0.164859562,0.169666067,0.172657715
4,0,0.167939107,0.152832655,0.147433422,0.14640271,0.149128563,0.155981904,0.159638934,0.164692265,0.169678849
5,0,0.186358457,0.14815785,0.144972604,0.14545185,0.145670409,0.151816324,0.155205594,0.161289179,0.164893659
6,0,0.169656532,0.147158578,0.146280114,0.144982385,0.145420021,0.150173914,0.15427164,0.160083414,0.164608575
7,0,0.193207285,0.152274719,0.149120402,0.143960135,0.144859143,0.148754741,0.152508694,0.158769798,0.163088386
8,0,0.175543707,0.153604064,0.148407199,0.145513601,0.145366258,0.148092826,0.151163561,0.156743421,0.162421345
9,0,0.22155498,0.141755123,0.148189016,0.146658258,0.143932798,0.148001542,0.149744366,0.156337852,0.158655316
10,0,0.20133915,0.147654226,0.149551537,0.14691018,0.145128028,0.146463771,0.149168579,0.155146298,0.158384482
11,0,0.146550652,0.147793224,0.153530874,0.146031977,0.145732642,0.145620047,0.148921306,0.154916284,0.157902679
12,0,0,0.155429483,0.150643854,0.151038618,0.144761356,0.147547629,0.145160671,0.149905658,0.151743321
