# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Mean virial ratio of halos for group of halos of the same size n_p, where n_p is number of particles in halo. \Gamma_h represents the virial ratio for motion of halos.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
#Ref. [3]  Eq. (53) Fig. 6,https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4],https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]  ,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,1.890371165,1.76830901,1.975937831,2.163489743,2.375213655,2.498710356,2.49769832,2.456664749,2.422259142
2,0,0.460308059,0.626537494,0.850718579,1.022064896,1.242588759,1.49370628,1.59300292,1.683274831,1.720407862
3,0,0.307539297,0.473550365,0.662129862,0.809817062,1.014256718,1.247997105,1.354421351,1.453710955,1.478427474
4,0,0.292678117,0.413831351,0.601260086,0.756272012,0.956283336,1.228198218,1.295486341,1.396631779,1.436156621
5,0,0.255612295,0.376748422,0.558722359,0.725468872,0.930699954,1.173735177,1.303196623,1.391579529,1.436739452
6,0,0.22365634,0.39684902,0.535127063,0.666314947,0.907212641,1.168100156,1.270865431,1.451108123,1.449575185
7,0,0.166648243,0.368709043,0.517029214,0.681283006,0.843190167,1.179903292,1.294213952,1.418867422,1.435667909
8,0,0.233235567,0.373374136,0.512703338,0.640095315,0.872583909,1.164419199,1.258878365,1.417926729,1.501705128
9,0,0.199773768,0.369529828,0.486012041,0.622535643,0.84614111,1.139523331,1.358484036,1.469170466,1.427473753
10,0,0.092424191,0.338161444,0.507616069,0.626650845,0.821252265,1.179301095,1.371661805,1.451859909,1.580423779
11,0,0.154724943,0.309911955,0.478376866,0.638553399,0.785437957,1.130829093,1.25431063,1.483660261,1.580443925
12,0,0,0.325425455,0.433044319,0.630098403,0.820144313,1.079295983,1.287906557,1.406237557,1.484152934
13,0,0,0.307077818,0.468415964,0.656370565,0.769251188,1.155162895,1.323568722,1.403473322,1.567617191
14,0,0.473115736,0.236934056,0.41821294,0.622861398,0.821306394,1.042773875,1.307607543,1.423594449,1.492897886
15,0,0.062157031,0.272678211,0.423140277,0.593264842,0.778017709,1.146889218,1.312050406,1.433363114,1.620746123
16,0,0,0.249352995,0.486330178,0.562056708,0.814259919,1.099093759,1.242262395,1.599287577,1.583952944
17,0,0,0.224977968,0.396629857,0.520600813,0.835500958,1.051219875,1.297552886,1.477916348,1.534906549
18,0,0,0.250351584,0.488241789,0.576756733,0.874396817,1.042236417,1.187244667,1.435700061,1.631451927
19,0,0,0.222604963,0.496839149,0.523454113,0.732031506,1.042003666,1.238491971,1.481424464,1.567967258
20,0,0,0.267070969,0.441576223,0.5077441,0.74895386,1.05976246,1.207647057,1.339868753,1.479837562
21,0,0,0.276862686,0.394360414,0.515253992,0.758448106,1.103786933,1.213858453,1.532421333,1.578053905
22,0,0,0.256256599,0.360155802,0.558487178,0.676531956,1.274158995,1.12905997,1.453604992,1.435060333
23,0,0,0.195745718,0.388458751,0.558449344,0.828634146,1.117839494,1.193586298,1.347532791,1.392327589
24,0,0,0.223440685,0.438766191,0.545140548,0.67156217,1.01380719,1.131348369,1.194310465,1.579143434
25,0,0,0.27662681,0.461006268,0.540524322,0.658899088,1.068740249,1.200491723,1.326339537,1.426380017
26,0,0,0.16044761,0.394312751,0.54924221,0.646149654,0.968458656,1.138226741,1.480356821,1.49673523
