# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Standard deviation of halo paramter \gamma_phi for group of halos of the same size n_p, where n_p is number of particles in halo. \gamma_phi is used to compute halo potential.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
#Ref. [3],https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4] Eqs. (51) (55) Fig. 2,https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]  Table 3,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,0.344320046,0.285799125,0.270023105,0.253104146,0.273266622,0.284120704,0.290311628,0.340226859,0.349412868
3,0,0.217229638,0.200755731,0.180069504,0.177686877,0.195529967,0.221435454,0.243999634,0.26702049,0.290452624
4,0,0.193296952,0.169712778,0.152171201,0.155111505,0.167428551,0.199051145,0.216926541,0.242207021,0.265223135
5,0,0.13431576,0.134673396,0.137759107,0.141851597,0.154636339,0.176468592,0.196630657,0.22688369,0.245774755
6,0,0.150202047,0.129863889,0.133311668,0.13236376,0.145857036,0.168747867,0.193351756,0.209757894,0.232106277
7,0,0.10408058,0.127537416,0.125379528,0.130660938,0.138953092,0.163428083,0.184430498,0.209076588,0.22142195
8,0,0.141887264,0.124733316,0.122729985,0.128349306,0.135624254,0.158223124,0.174336731,0.199395851,0.220695586
9,0,0.111077913,0.111267074,0.129011836,0.124678949,0.133934624,0.155902736,0.173904127,0.195783168,0.208108875
10,0,0.090717518,0.10989508,0.12247274,0.125001811,0.132882148,0.153012899,0.171065895,0.198336351,0.209147358
11,0,0.061005587,0.116589356,0.121271091,0.121156655,0.132996524,0.149844778,0.167184499,0.192371766,0.206232135
12,0,0,0.107560508,0.11692521,0.124675,0.129366696,0.151966504,0.168361941,0.189580581,0.204885936
13,0,0,0.122606388,0.117876181,0.122367681,0.126462719,0.14898742,0.195041069,0.190477457,0.206122096
14,0,0.122960157,0.111885368,0.113789923,0.123234904,0.125888902,0.146853949,0.166992359,0.186548458,0.202262167
15,0,0.043199766,0.101227872,0.121922834,0.120032575,0.129371294,0.148211282,0.166440304,0.184948462,0.200291462
16,0,0,0.117987505,0.118693829,0.123650887,0.125817985,0.141258189,0.159979991,0.185583134,0.198379484
17,0,0,0.113421529,0.124074322,0.12575191,0.126047303,0.150089452,0.159181529,0.180632714,0.197369045
18,0,0,0.124406315,0.120789704,0.121934225,0.127433865,0.142510435,0.156509979,0.180794491,0.194528896
19,0,0,0.101998803,0.116665699,0.115984547,0.125092947,0.144801722,0.159021473,0.179260598,0.196062779
20,0,0,0.121153092,0.113684832,0.117961789,0.124193624,0.138818355,0.156727108,0.175883783,0.19284243
21,0,0,0.107595209,0.121525942,0.11646865,0.123353089,0.142141275,0.157352067,0.18399664,0.189132393
22,0,0,0.138704951,0.124392536,0.128410904,0.129461962,0.141482587,0.150649435,0.177822989,0.194077498
23,0,0,0.097431074,0.118861089,0.120782727,0.121677401,0.138481113,0.15109216,0.171906496,0.184081908
24,0,0,0.147785459,0.118443671,0.120155903,0.124308103,0.142409452,0.157763448,0.176696985,0.188723353
25,0,0,0.109965973,0.117248214,0.114809789,0.121969426,0.144051624,0.147078513,0.171209233,0.185253674
26,0,0,0.127431841,0.114838346,0.124280417,0.121335319,0.139632099,0.1509869,0.170730318,0.184440484
27,0,0,0.116599007,0.12402279,0.12074385,0.122256273,0.136879285,0.149947121,0.167174589,0.187704279
28,0,0,0.142929793,0.133828709,0.11527535,0.12167361,0.1341286,0.15224589,0.166300976,0.178559969
29,0,0,0.123380323,0.121309425,0.115185741,0.128517425,0.140586928,0.151338448,0.169054825,0.186826328
30,0,0,0.110754273,0.118903973,0.124368118,0.122523044,0.138667416,0.147692609,0.17695505,0.173017763
31,0,0,0.091155189,0.121333686,0.123825324,0.12501812,0.138582936,0.152146707,0.166314832,0.180318137
32,0,0,0.104748681,0.1302411,0.129026652,0.120025272,0.137019591,0.144327369,0.17410583,0.177013208
33,0,0,0.110827872,0.127006957,0.121501009,0.125870193,0.132989147,0.148824243,0.161910308,0.178789274
34,0,0,0.105592437,0.127453507,0.11924827,0.126204833,0.131153178,0.148129408,0.158179404,0.176737137
35,0,0,0.072992398,0.128679771,0.108865136,0.121378943,0.130064454,0.151921913,0.164332951,0.177545334
36,0,0,0.136026382,0.110863713,0.123482571,0.123013554,0.130227435,0.140255659,0.162540338,0.178782828
37,0,0,0.204817895,0.114999225,0.120682321,0.12201151,0.139604753,0.142451158,0.15370904,0.16772357
38,0,0,0.097114768,0.11931785,0.123624681,0.125778196,0.136482544,0.143342287,0.170332374,0.172339343
39,0,0,0,0.111521172,0.11998464,0.119487209,0.138090732,0.145912203,0.166003134,0.172062589
40,0,0,0.098230101,0.092103057,0.125431598,0.13200823,0.130946531,0.140805794,0.175188792,0.187117161
41,0,0,0.115748121,0.108137371,0.125308112,0.120161571,0.130834263,0.138852339,0.167181958,0.168487464
42,0,0,0.077999706,0.131229817,0.123949524,0.125694443,0.132832929,0.149476751,0.159800671,0.16975367
43,0,0,0.073337252,0.116959946,0.127535067,0.121392603,0.134166839,0.147672779,0.162771552,0.169627832
44,0,0,0,0.116139211,0.120228833,0.121923988,0.133148158,0.143898561,0.160267124,0.171460064
45,0,0,0.24102045,0.108495466,0.108435056,0.123236644,0.129171338,0.141216501,0.161892482,0.168888042
46,0,0,0.091405345,0.109177223,0.124101758,0.121929457,0.137600948,0.139254872,0.158831144,0.170457623
47,0,0,0.237132433,0.114823599,0.121005751,0.117970735,0.1257231,0.14351671,0.152147946,0.172691469
48,0,0,0,0.104926717,0.115453331,0.109967735,0.138090007,0.135935541,0.160076508,0.173268804
49,0,0,0.106173291,0.102433452,0.111835897,0.121289582,0.128578404,0.153444109,0.152837126,0.161048621
50,0,0,0,0.112571452,0.117522717,0.119509815,0.132356258,0.140129783,0.155842612,0.165631277
51,0,0,0,0.149959687,0.125759344,0.117393336,0.128879666,0.141332733,0.158695512,0.168871975
52,0,0,0.024227799,0.096569596,0.117093201,0.126475116,0.136229642,0.142611549,0.162217021,0.172190622
53,0,0,0,0.100835455,0.133119781,0.119777502,0.13530915,0.150838144,0.163698816,0.167014868
54,0,0,0,0.117911552,0.114419483,0.113056641,0.134110528,0.142534382,0.150645985,0.175475266
55,0,0,0,0.122736498,0.120460857,0.122136461,0.133895961,0.142131984,0.163887797,0.166705593
56,0,0,0,0.137800592,0.128212858,0.124264283,0.128916496,0.138232421,0.156938028,0.157221056
57,0,0,0,0.115440298,0.131353664,0.123383568,0.138125381,0.136999321,0.151276174,0.167240904
58,0,0,0,0.104410867,0.130402863,0.119472973,0.12670801,0.131168155,0.157513299,0.158496602
59,0,0,0.178382944,0.114981423,0.11608703,0.118510323,0.132781973,0.136396183,0.156680822,0.165678207
60,0,0,0,0.125248417,0.128607874,0.121263073,0.12868394,0.125565498,0.153606067,0.152944758
61,0,0,0,0.109881332,0.133952079,0.112115809,0.135479527,0.12923592,0.13995274,0.158686567
62,0,0,0,0.17439587,0.11708397,0.11924082,0.127929245,0.13711174,0.144903486,0.166594485
63,0,0,0,0.12895773,0.124544008,0.119814697,0.121306729,0.129090765,0.151069071,0.169215698
64,0,0,0,0.079959594,0.136020523,0.12389823,0.130333265,0.141799631,0.151575871,0.15086892
65,0,0,0,0.201608546,0.114520905,0.133345443,0.128540134,0.137023183,0.15401774,0.160263595
66,0,0,0,0.099167739,0.113999201,0.112670148,0.142567281,0.137297153,0.146603925,0.156800458
67,0,0,0,0.122245597,0.130150779,0.116277972,0.127323052,0.139687539,0.152065982,0.176914454
68,0,0,0,0.106745993,0.151588656,0.133930947,0.12535333,0.135606214,0.146547282,0.163059094
69,0,0,0,0.173696192,0.103929334,0.136334709,0.117426074,0.149375027,0.15500692,0.158909642
