# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Total mass m_g in group of halos of the same size n_p, where n_p is number of particles in halo. This can be used to compute inverse mass cascade",,,,,,,,,
#Ref. [1] Eq. (15) Tab. 3,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
#Ref. [3],https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4],https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5] ,https://doi.org/10.48550/ARXIV.2202.06515,,,,,Density&velocity distributions,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,16777216,16700080,15778453,14092093,12668332,10813162,8722365,7832523,6936989,6486733
2,0,68192,653468,1303100,1617202,1891540,1998508,1993640,1948454,1912952
3,0,5967,141087,397470,573486,739140,838893,855840,852255,842994
4,0,1608,63904,209252,322032,432484,502820,515260,515664,510180
5,0,645,33935,128200,209415,288010,344295,352620,352630,350685
6,0,252,21714,88998,147756,210618,253380,262584,263916,262854
7,0,168,15008,65996,114051,164276,200501,209188,208593,205982
8,0,96,11272,52808,92152,136424,166792,170752,172120,171256
9,0,54,9117,42822,78084,114345,141462,146475,147096,146457
10,0,20,6880,36050,66350,99160,123710,130020,127620,125310
11,0,33,6182,30327,57420,87450,110396,113663,113553,110924
12,0,12,4812,27408,52644,80676,97800,101520,102420,100776
13,0,0,3562,23777,44005,71513,89154,93938,94640,92872
14,0,28,3346,20580,41328,66122,85190,87850,88452,86772
15,0,45,2595,18300,37290,59775,77835,80805,81645,80025
16,0,16,2528,16304,33184,53424,70912,76192,74432,73744
17,0,0,2227,14858,30855,51918,68238,69887,71196,69955
18,0,0,2250,13626,28332,47070,62442,64674,66888,65484
19,0,0,1558,12407,25783,43947,59052,63194,62225,63118
20,0,0,1700,10960,23280,41780,57540,58880,59860,59480
21,0,0,1197,9702,21798,37695,55377,58821,57624,57519
22,0,0,968,9218,21362,37488,51326,55000,55880,55352
23,0,0,736,9131,19596,36754,46161,53107,54050,54073
24,0,0,840,8472,18864,32904,47712,51360,51144,51000
25,0,0,825,7625,18075,32675,45050,45950,50050,48775
26,0,0,624,7306,16484,29900,41938,47164,47762,47502
27,0,0,648,6399,14931,28971,41742,43065,47439,44172
28,0,0,560,6272,14196,28252,40152,44100,44688,45976
29,0,0,493,6235,13630,26999,39991,41615,44573,43181
30,0,0,390,4950,13260,24750,37440,40470,40710,42630
31,0,0,465,5332,12059,24521,35154,38936,39773,39432
32,0,0,256,3904,12384,24064,33408,37344,38464,38528
33,0,0,330,4950,10164,22869,35904,35442,39072,38082
34,0,0,340,3842,11084,19618,31178,34510,38284,36278
35,0,0,210,3780,10290,20475,30695,32620,36435,35105
36,0,0,324,3348,10728,20844,29232,35244,35676,34488
37,0,0,148,3552,8843,19832,30192,30858,33707,32597
38,0,0,190,3534,8664,18658,28272,31958,32110,33212
39,0,0,39,2535,9087,17940,29250,31707,31005,31005
40,0,0,80,2000,8600,15880,26600,30960,30040,30800
41,0,0,82,2665,6888,15293,26363,28823,31529,33128
42,0,0,84,2688,6930,16800,25956,29274,28434,32172
43,0,0,129,1935,6837,15781,24940,27348,28509,31218
44,0,0,44,2508,7348,14960,22528,26972,29832,28908
45,0,0,180,2475,6885,16020,24750,27810,27315,29565
46,0,0,276,1840,5612,14260,23874,25622,27232,27370
47,0,0,94,1786,7191,13160,22278,25145,26508,25662
48,0,0,0,1728,5664,12816,22560,23088,25968,26016
49,0,0,98,1715,5488,11809,21413,23275,26362,27930
50,0,0,0,1650,5000,13850,20750,23600,25800,25800
51,0,0,51,1275,5304,11475,20553,23307,24888,25908
52,0,0,104,1404,4628,11180,19760,22412,23556,25428
53,0,0,0,1378,5618,11448,19875,23055,22154,23267
54,0,0,54,1404,4914,11232,19764,22626,25596,25758
55,0,0,55,1595,4125,10230,19085,24475,23320,25190
56,0,0,56,1400,5096,10248,19544,19544,21448,23072
