# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Standard deviation of halo paramter alpha_s for group of halos of the same size n_p, where n_p is number of particles in halo. Alpha_s represents the ratio between kinetic and potential energy.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
#Ref. [3],https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4] Eq. (53) Fig. 2,https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]   ,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,0.013626398,0.018570514,0.034204701,0.057942786,0.111899585,0.246616728,0.364368526,0.5551783,0.711904728
3,0,0.018332713,0.026096097,0.042551694,0.069045414,0.130389181,0.298857265,0.432776101,0.661962543,0.843729498
4,0,0.018710548,0.026587727,0.043344684,0.068544548,0.133399941,0.286344197,0.419578505,0.647231529,0.85082961
5,0,0.021365102,0.026773415,0.04105572,0.063527972,0.120270783,0.261555919,0.395582018,0.622369552,0.797970199
6,0,0.016628435,0.027638099,0.039767735,0.057002441,0.105281232,0.25131857,0.362862182,0.584482143,0.743789313
7,0,0.019453671,0.024574313,0.037315669,0.054998014,0.104850497,0.210237918,0.333341902,0.530499692,0.686972621
8,0,0.017624064,0.024095035,0.034376965,0.05084988,0.090222688,0.210629063,0.30748145,0.45794642,0.637926614
9,0,0.014699724,0.024827613,0.034521049,0.044543379,0.07810238,0.198655398,0.262098552,0.420974157,0.541179394
10,0,0.013671585,0.020934496,0.032422955,0.052625295,0.094718447,0.167094997,0.248024425,0.400610593,0.542257472
11,0,0.016622446,0.020986299,0.029441964,0.039144262,0.064908228,0.161783765,0.215135665,0.372883604,0.447430104
12,0,0,0.022140655,0.031058496,0.043987974,0.061151916,0.138770385,0.229390531,0.309659008,0.40373167
13,0,0,0.022229406,0.029252797,0.037859791,0.058730945,0.106685348,0.17539366,0.280443581,0.435170675
14,0,0.018537118,0.021417244,0.027456492,0.037256972,0.049715972,0.121192651,0.166101377,0.277745403,0.379472069
15,0,0.016634027,0.020403111,0.026320722,0.039665954,0.048596038,0.108126532,0.155137531,0.231571764,0.332045044
16,0,0,0.019967103,0.025589573,0.033130109,0.048080761,0.085527899,0.152374881,0.28346823,0.317888215
17,0,0,0.020259371,0.024182444,0.041920914,0.045450686,0.100384174,0.115909361,0.186913384,0.282161984
18,0,0,0.018977394,0.020829422,0.03211651,0.036010122,0.096865275,0.170863149,0.194329515,0.278978554
19,0,0,0.016999697,0.023623349,0.02973876,0.049514855,0.108810942,0.108102758,0.138376607,0.202652991
20,0,0,0.017829972,0.025115329,0.02966384,0.042874333,0.063612037,0.100774059,0.157471979,0.236679569
21,0,0,0.016920732,0.020822516,0.026911735,0.040014361,0.079319245,0.090115762,0.160426718,0.227293372
22,0,0,0.017156777,0.023963043,0.030159839,0.043631535,0.055545202,0.166244025,0.144483571,0.290735668
23,0,0,0.013790141,0.022436667,0.02649246,0.038350493,0.06680857,0.094323846,0.127687078,0.168236766
24,0,0,0.018340035,0.022081361,0.028486154,0.040464289,0.056017951,0.090286496,0.125203696,0.177852863
25,0,0,0.014820203,0.020158268,0.025458408,0.037804883,0.057384477,0.05968871,0.118102381,0.16130243
26,0,0,0.020249981,0.024412727,0.028036303,0.037256206,0.05833625,0.094709724,0.121548919,0.19766332
27,0,0,0.017443436,0.021196116,0.02316659,0.03320653,0.045755345,0.076962392,0.1959319,0.157999148
28,0,0,0.025850569,0.024404748,0.026667293,0.035376383,0.062456853,0.069030637,0.133791197,0.131020594
29,0,0,0.016351925,0.024318921,0.025190836,0.030870952,0.053043888,0.055618433,0.084331913,0.171893994
30,0,0,0.023661979,0.022370028,0.022628502,0.027512596,0.042317949,0.05777304,0.087807839,0.196619046
31,0,0,0.008651205,0.024603558,0.024369356,0.030638497,0.053086127,0.068793549,0.102408294,0.14035658
32,0,0,0.023456241,0.022742103,0.023694174,0.038997167,0.04293926,0.065922175,0.111102778,0.089550219
33,0,0,0.015469,0.030626046,0.023963775,0.0290428,0.052050722,0.053207527,0.102557411,0.136156586
34,0,0,0.017248677,0.01927153,0.02163168,0.027636854,0.055900244,0.06252919,0.096262768,0.086355688
35,0,0,0.017424458,0.021483019,0.024233436,0.029763408,0.127939155,0.051561407,0.119675143,0.075381173
36,0,0,0.014182468,0.023456159,0.021522273,0.030498868,0.054235389,0.064664628,0.057537128,0.172353868
37,0,0,0.005413294,0.022675604,0.027558549,0.030519381,0.035683343,0.061375844,0.068282502,0.0876112
38,0,0,0.023808485,0.020820047,0.022251699,0.031873155,0.061212045,0.060276568,0.071756846,0.088692928
39,0,0,0,0.020527669,0.023477435,0.03479252,0.04285662,0.067531506,0.055858065,0.082084919
40,0,0,0.008886563,0.015837566,0.019170985,0.027352419,0.060495427,0.065907618,0.048244603,0.129992089
41,0,0,0.007434069,0.017122592,0.024032297,0.028502911,0.048677868,0.039772438,0.045386211,0.061230322
42,0,0,0.013822351,0.020142825,0.021470043,0.026831058,0.030763341,0.03952705,0.058497004,0.069306006
43,0,0,0.019234555,0.021085198,0.022011053,0.025323225,0.04142033,0.045556588,0.188209091,0.091211486
44,0,0,0,0.016072999,0.02189793,0.028219322,0.036320793,0.114354396,0.069900689,0.107835097
45,0,0,0.015629422,0.015784454,0.02244601,0.027024236,0.028880992,0.047703787,0.056080307,0.054463765
46,0,0,0.010198526,0.024559943,0.023094952,0.023651034,0.045896097,0.033352068,0.066904006,0.067332965
47,0,0,0.013989496,0.022720003,0.021745537,0.028637329,0.032797726,0.057364544,0.051906254,0.057055531
48,0,0,0,0.016421093,0.021731905,0.025070204,0.039156945,0.050244665,0.056197054,0.087479772
49,0,0,0.039896003,0.016713735,0.023622947,0.024775067,0.03139807,0.075522071,0.042931516,0.046959637
50,0,0,0,0.030513713,0.025126303,0.024827191,0.034136701,0.033419395,0.051569084,0.037974632
51,0,0,0,0.012878264,0.019022438,0.026878085,0.031169781,0.051736601,0.070706168,0.052291605
52,0,0,0.02837947,0.02090323,0.02262021,0.027989753,0.030520363,0.03857604,0.04963927,0.082439606
53,0,0,0,0.023258734,0.021015032,0.02515081,0.037965917,0.032797757,0.037304543,0.074993226
54,0,0,0,0.022817054,0.01719418,0.021555677,0.038972282,0.034303156,0.076161758,0.060100359
55,0,0,0,0.019423481,0.022246308,0.025787646,0.030663753,0.052264478,0.046243084,0.044046899
56,0,0,0,0.018932669,0.020192365,0.021526635,0.045178996,0.040573278,0.04019015,0.043609545
57,0,0,0,0.016153865,0.021093193,0.021549748,0.027149781,0.033031787,0.038271668,0.053740283
58,0,0,0,0.023199238,0.025940949,0.026163934,0.03069995,0.034580263,0.037239837,0.048049393
59,0,0,0.020490453,0.021351319,0.019605989,0.024058894,0.035285561,0.029924927,0.065441483,0.044368155
60,0,0,0,0.019374655,0.024360575,0.024700809,0.033741883,0.028296269,0.034573496,0.050065928
61,0,0,0,0.020196826,0.02037154,0.023151489,0.033771587,0.028368044,0.050811568,0.038569939
62,0,0,0,0.012450884,0.019955401,0.023583934,0.099816822,0.05851476,0.041746425,0.041653442
63,0,0,0,0.021055728,0.020679351,0.024059992,0.02782677,0.03152882,0.04534447,0.119543459
64,0,0,0,0.015005866,0.020465671,0.02500182,0.028164992,0.047296215,0.034682139,0.058464757
65,0,0,0,0.010496342,0.0236549,0.021837974,0.028831295,0.039424021,0.041065295,0.040923021
66,0,0,0,0.016288119,0.025569427,0.020615451,0.033758829,0.048867493,0.033421732,0.036779538
67,0,0,0,0.032059249,0.01858742,0.025045111,0.024549893,0.050047418,0.045706614,0.040304003
68,0,0,0,0.016867397,0.02312278,0.019359877,0.028425636,0.026401971,0.040706562,0.04519978
69,0,0,0,0.017008022,0.01861804,0.023327774,0.032020771,0.039697209,0.046252638,0.03989948
70,0,0,0,0.016188601,0.01756675,0.020638891,0.033634141,0.031494652,0.048515713,0.038520496
71,0,0,0,0.009897312,0.022462725,0.028060796,0.02816457,0.031575874,0.028231502,0.053585188
72,0,0,0,0.015084069,0.021121762,0.024774853,0.029618555,0.02943432,0.037841811,0.033312111
73,0,0,0,0.022832188,0.023273243,0.024919854,0.030615108,0.032331003,0.039637168,0.036523435
74,0,0,0,0.027798746,0.01979566,0.022953292,0.025915869,0.027823243,0.05200475,0.030471034
75,0,0,0,0.015164487,0.017784613,0.021319337,0.026335543,0.023965877,0.033110298,0.038702078
76,0,0,0,0.018180593,0.018820509,0.021781844,0.031811436,0.035766705,0.034235449,0.044007145
