# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Halo paramter beta_s for group of halos of the same size n_p, where n_p is number of particles in halo.   Beta_s represents the ratio between halo kinetic and potential energy.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
#Ref. [3],https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4] Eq. (53) and Fig. 2,https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
,,,,,,,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,0.167129459,0.167086258,0.190337158,0.21250106,0.208677961,0.213201965,0.211208209,0.202249299,0.195974405
3,0,0.171480085,0.174724498,0.177805104,0.17639908,0.17308942,0.166999216,0.160886065,0.152887284,0.147594519
4,0,0.18118559,0.175779472,0.174860486,0.171294447,0.166962217,0.15883889,0.15242006,0.143456124,0.137917068
5,0,0.184411314,0.17546618,0.171620475,0.168733207,0.164358336,0.155558149,0.149314231,0.140674328,0.134955909
6,0,0.168708248,0.174753434,0.169384182,0.166619863,0.162099549,0.153753886,0.147851282,0.139247485,0.133859564
7,0,0.200083631,0.176674666,0.168806413,0.164647874,0.160719413,0.152841875,0.147033889,0.137879279,0.132719557
8,0,0.195069386,0.175934702,0.167467819,0.162990895,0.159376537,0.15171998,0.145144057,0.137440246,0.1319976
9,0,0.182045243,0.173262811,0.165668686,0.162226359,0.158150135,0.150390796,0.144263883,0.136376179,0.131560843
10,0,0.190237027,0.172346477,0.165851123,0.160528667,0.157196705,0.14898009,0.142740136,0.135069046,0.130668314
11,0,0.174520644,0.173588156,0.165490928,0.160398715,0.157097829,0.148962326,0.142025448,0.134232558,0.129499208
12,0,0.182647178,0.174443068,0.16330204,0.158332463,0.15480271,0.14661977,0.140706403,0.132964965,0.128928991
13,0,0,0.171555771,0.159952566,0.158102708,0.154699244,0.145687286,0.140756038,0.133720916,0.128467498
14,0,0.177988835,0.172581131,0.161182535,0.15765764,0.155779923,0.144891098,0.139084008,0.130076927,0.126788354
15,0,0.162661249,0.173375972,0.162108172,0.157843004,0.151450452,0.143230374,0.138618855,0.129554468,0.125536784
16,0,0.180152287,0.166745328,0.163264394,0.15652361,0.150216119,0.144193447,0.138207741,0.129550721,0.126040323
17,0,0,0.17990964,0.160055503,0.15390868,0.150627452,0.14295037,0.137359986,0.128484052,0.124786429
18,0,0,0.173865622,0.15445801,0.156263136,0.150906217,0.142023306,0.136815871,0.127672722,0.12361434
19,0,0,0.178367536,0.159465044,0.151849259,0.149012916,0.14065696,0.134676211,0.12750409,0.123909076
20,0,0,0.171538849,0.157701227,0.154392262,0.149365434,0.140202983,0.134589559,0.12798762,0.122051966
21,0,0,0.167824108,0.155736361,0.152007515,0.147868072,0.139687955,0.134033711,0.125190363,0.121323688
22,0,0,0.173465381,0.15555193,0.15411194,0.146598632,0.138933934,0.132111908,0.126417374,0.120774903
23,0,0,0.144402377,0.156553006,0.150695793,0.147549077,0.139143847,0.132675736,0.125132652,0.119968547
24,0,0,0.177746518,0.157253714,0.150886847,0.144890663,0.138209583,0.131415502,0.124805423,0.119606959
25,0,0,0.170961606,0.163484155,0.149820198,0.146115204,0.134643467,0.132738304,0.1248682,0.118119374
26,0,0,0.175193884,0.154374214,0.150962396,0.145694208,0.134845507,0.13209482,0.123769952,0.117317152
27,0,0,0.179176242,0.152100605,0.151546992,0.143304776,0.136153116,0.130488541,0.122545349,0.118582693
28,0,0,0.163865681,0.156354103,0.145397375,0.144518198,0.136152599,0.128625557,0.122230031,0.119217571
29,0,0,0.165488459,0.156660775,0.148489171,0.145583024,0.13566539,0.12948494,0.121119554,0.116698861
30,0,0,0.156741376,0.155068973,0.14869902,0.143630713,0.133398137,0.129509021,0.12161128,0.116675128
31,0,0,0.182408239,0.153559313,0.154863759,0.14204254,0.135286945,0.128518025,0.119354746,0.116068053
32,0,0,0.136355578,0.147720112,0.150219118,0.144152514,0.132094732,0.127646654,0.122392067,0.114057171
33,0,0,0.154472582,0.161038047,0.145004103,0.142885107,0.134308342,0.128195844,0.11864338,0.117505889
34,0,0,0.166870609,0.157403225,0.1431379,0.143726316,0.135788397,0.127543389,0.1194204,0.115822548
35,0,0,0.142337564,0.152303002,0.147362208,0.141591651,0.131657413,0.1260537,0.120984394,0.116360848
36,0,0,0.137609601,0.152962525,0.14645426,0.137904016,0.132472916,0.125686869,0.119778024,0.11664496
37,0,0,0.164213312,0.151245813,0.153203582,0.142623302,0.130698639,0.127048085,0.118272849,0.11499333
38,0,0,0.193862922,0.143258965,0.150097446,0.140944822,0.131719176,0.127697877,0.118980263,0.114770029
39,0,0,0.176841035,0.150994483,0.145935084,0.139183395,0.130573263,0.123441745,0.11966867,0.114081708
40,0,0,0.147469383,0.147027119,0.145416805,0.141076747,0.131120666,0.124473885,0.117114942,0.115468065
41,0,0,0.206801995,0.15049779,0.144886984,0.140707465,0.130129476,0.124270184,0.115639571,0.112577227
42,0,0,0.13224994,0.157935437,0.139902754,0.140557841,0.131616266,0.123142055,0.11645689,0.114388205
43,0,0,0.119790182,0.144173259,0.137886529,0.142091464,0.129582162,0.124894266,0.11694779,0.114527968
44,0,0,0.128598865,0.138964298,0.148605648,0.13754247,0.133668033,0.126752627,0.114748907,0.112378296
45,0,0,0.137397261,0.144553907,0.140840634,0.140771179,0.129153399,0.124270847,0.118317639,0.112979034
46,0,0,0.174447783,0.151214927,0.146035678,0.136328848,0.13004133,0.123040715,0.114638165,0.109851149
47,0,0,0.2770783,0.14590112,0.149442823,0.138167267,0.127156427,0.121510503,0.117873173,0.111299741
48,0,0,0,0.145673684,0.149133529,0.138984088,0.130652138,0.122963455,0.115785281,0.111678919
49,0,0,0.196009907,0.127623019,0.141870333,0.135929369,0.130056749,0.121044899,0.117919092,0.111724113
50,0,0,0,0.150915797,0.136907034,0.131108587,0.128145577,0.123932466,0.119081409,0.110644356
51,0,0,0.142016515,0.144279114,0.145578249,0.141183879,0.126763822,0.123453509,0.116149613,0.11328316
52,0,0,0.192489029,0.12569346,0.137021173,0.134830797,0.12487363,0.123191627,0.116543194,0.112075403
53,0,0,0,0.147645186,0.146666679,0.136836417,0.12792696,0.122245539,0.116639616,0.111281159
54,0,0,0.161081748,0.144961479,0.140918285,0.133941927,0.130982369,0.120236821,0.115927857,0.11320577
55,0,0,0.105787399,0.162826404,0.150177962,0.13888351,0.126995046,0.121018617,0.114631079,0.110241204
56,0,0,0.106155912,0.130304024,0.138542653,0.132728315,0.126460463,0.122389689,0.11373254,0.111525525
57,0,0,0,0.1583707,0.133664476,0.142403296,0.130170924,0.122812412,0.115940366,0.110112971
58,0,0,0.364045198,0.157272601,0.130406765,0.130615146,0.128230529,0.123011032,0.114474146,0.109250354
59,0,0,0.208325038,0.167933693,0.146944431,0.130127526,0.128088876,0.120174859,0.114071625,0.110121465
60,0,0,0,0.145236677,0.146951994,0.137615446,0.126973989,0.122303525,0.115073628,0.110873244
61,0,0,0,0.159648181,0.132807991,0.142718141,0.123095672,0.11876391,0.114544122,0.110805843
62,0,0,0.110482851,0.137181063,0.138267455,0.137628606,0.127023828,0.121724611,0.117384576,0.108675015
63,0,0,0,0.14323602,0.149073622,0.135749848,0.127627998,0.12057829,0.116411006,0.107857212
64,0,0,0.36561856,0.133556777,0.152814711,0.134444477,0.126319996,0.12096394,0.113928354,0.109797166
65,0,0,0,0.14597165,0.139171053,0.14142403,0.127631524,0.120109768,0.115121848,0.107075493
66,0,0,0,0.145930892,0.137766834,0.13759438,0.130486434,0.119547448,0.113855349,0.110090951
67,0,0,0,0.133292509,0.145793608,0.129070298,0.124035768,0.121836447,0.111377381,0.111408758
68,0,0,0,0.13645182,0.146298438,0.13246649,0.123471651,0.118162308,0.115496283,0.109670816
69,0,0,0,0.183787351,0.13888931,0.138223752,0.129258621,0.120963985,0.116701548,0.108896678
70,0,0,0,0.167737717,0.137588739,0.129339773,0.12631231,0.120430737,0.111896821,0.10982249
71,0,0,0,0.130745218,0.14078883,0.138243578,0.127011441,0.120407445,0.116344442,0.110771709
72,0,0,0,0.122005781,0.134626853,0.133001155,0.12670042,0.119839259,0.11179306,0.109619766
73,0,0,0,0.166436099,0.14273561,0.134192996,0.125060832,0.121706629,0.116338945,0.108881506
74,0,0,0,0.133072397,0.137959318,0.131243719,0.125740392,0.121155175,0.108942603,0.108549029
75,0,0,0,0.12604565,0.129689553,0.13588149,0.126097465,0.117452127,0.112086408,0.108938483
76,0,0,0,0.147872524,0.131219976,0.135927103,0.125314987,0.119428825,0.114194825,0.1071095
77,0,0,0,0.141538668,0.133226992,0.132641943,0.122583107,0.11623651,0.112181122,0.10596899
78,0,0,0.072549071,0.128312609,0.136378292,0.132187948,0.122779422,0.121252478,0.11397669,0.110471468
79,0,0,0,0.173042455,0.150881695,0.130706183,0.1197152,0.117367935,0.114309343,0.112673536
80,0,0,0.094865852,0.152901402,0.138297195,0.12738955,0.119941947,0.119901926,0.110067771,0.108976741
81,0,0,0,0.135083108,0.139132381,0.137640562,0.125224838,0.116752098,0.114208699,0.110851038
82,0,0,0,0.16671671,0.138862103,0.127349057,0.128185375,0.123067416,0.111154269,0.109460507
83,0,0,0,0.140648602,0.142409649,0.134732749,0.121940806,0.122894533,0.113311287,0.106504556
84,0,0,0,0.125433898,0.125793186,0.130750452,0.123159319,0.119735225,0.111749153,0.109681461
85,0,0,0,0.167133888,0.128360121,0.132470205,0.129591358,0.125960036,0.108029224,0.10896179
86,0,0,0,0.147331424,0.146144467,0.127451365,0.128374548,0.120476946,0.114617399,0.10781813
87,0,0,0,0.224095411,0.157981444,0.127926862,0.124555433,0.120654907,0.111226283,0.110114613
88,0,0,0,0.128832798,0.163372638,0.12803219,0.125622034,0.11176668,0.114112777,0.10520283
89,0,0,0.093165511,0.157257553,0.147101505,0.147706125,0.125014789,0.120581642,0.110999832,0.107701207
90,0,0,0,0.100243106,0.146432975,0.136959567,0.119358587,0.114081682,0.113392927,0.109401144
91,0,0,0,0.109865938,0.128467144,0.137852738,0.121922523,0.121142071,0.106622801,0.112259285
92,0,0,0,0.121360344,0.148223537,0.136809622,0.122630128,0.123687578,0.108783259,0.106409932
