# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Mean halo paramter z_s for group of halos of the same size n_p, where n_p is number of particles in halo. z_s represents the ratio of total halo energy to kinetic energy.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
#Ref. [3]  ,https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4] Eqs.(68) (69) Fig. 5,https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]  Table 3 ,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,-1.447738734,-1.403898541,-1.686555278,-2.006200352,-2.178576933,-3.181731547,-3.693749051,-3.970906714,-4.13857033
3,0,-1.175699165,-1.156892919,-1.121289142,-1.093696229,-1.147752911,-1.262121978,-1.309396895,-1.357533474,-1.377272598
4,0,-1.101723653,-1.090846556,-1.05318299,-1.021154012,-1.037083785,-1.082756452,-1.088111153,-1.096392742,-1.095730604
5,0,-1.004340184,-1.054600566,-1.003775074,-0.987819749,-0.984270042,-0.998439238,-1.010703043,-1.012751569,-1.008365685
6,0,-1.130341624,-1.058313081,-1.004470026,-0.973817262,-0.963988532,-0.978582921,-0.990539498,-0.984482548,-0.979957738
7,0,-1.057042236,-1.09597704,-1.014490103,-0.98258629,-0.97313975,-0.97858914,-0.99028681,-0.994465032,-0.979879125
8,0,-1.179019652,-1.113318825,-1.022998916,-0.99364976,-0.980302526,-0.988558462,-0.989499778,-0.999522685,-1.003743088
9,0,-1.171270869,-1.10139842,-1.043953499,-1.007579626,-0.998867626,-0.997521069,-1.009705744,-1.02108952,-1.004286554
10,0,-1.077232298,-1.111725983,-1.054833633,-1.023888506,-1.003667411,-1.009954734,-1.027658848,-1.011287117,-1.026924374
