# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Mean halo spin parameter \lamda_p for group of halos of the same size n_p, where n_p is number of particles in halo.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
#Ref. [3]  ,https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4] Eq.(70)(71) Fig. 6,https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]  Table 3 Eq. (119),https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,0.036098144,0.047339612,0.054444153,0.060906923,0.075543815,0.116992097,0.153792858,0.217436118,0.270724746
3,0,0.038952321,0.050371519,0.057953227,0.065608004,0.083817528,0.130832485,0.174104975,0.247812719,0.308676204
4,0,0.04047612,0.051246156,0.058838826,0.065758303,0.081661643,0.121272534,0.159256717,0.222466931,0.280965583
5,0,0.035916837,0.050460671,0.058056808,0.064847922,0.078038409,0.111198982,0.144259599,0.197789773,0.24648337
6,0,0.037287672,0.047890152,0.055599599,0.06205185,0.074296251,0.103893573,0.129446365,0.17786691,0.218734623
7,0,0.041077969,0.046709231,0.053606491,0.059774071,0.070014242,0.093904066,0.115596902,0.155309053,0.190853005
8,0,0.041889691,0.044301629,0.051631038,0.057678865,0.066872906,0.089998216,0.106731892,0.138520673,0.170069293
9,0,0.026184507,0.04320429,0.050559527,0.055997311,0.063014058,0.084105564,0.097570618,0.124206445,0.153910185
10,0,0.017598455,0.042034975,0.04853245,0.05472154,0.063977201,0.07870393,0.090266245,0.119577171,0.14119018
11,0,0.032042782,0.041476319,0.047948961,0.052909364,0.059913151,0.074765159,0.082906355,0.109299703,0.122437374
12,0,0.041531128,0.041334185,0.047098033,0.051781421,0.058530602,0.070881137,0.082652646,0.098325762,0.109462072
13,0,0,0.041493164,0.045054263,0.050799028,0.056506295,0.067221068,0.076353056,0.092525416,0.105998334
14,0,0.03210908,0.039625472,0.045134536,0.049800433,0.055937508,0.065809211,0.075110741,0.090125028,0.102080916
15,0,0.01687369,0.037303703,0.045140537,0.049922791,0.054745172,0.065103329,0.070322224,0.084513734,0.091747954
16,0,0.017905748,0.037719366,0.043207894,0.047849336,0.053605936,0.062519714,0.072073661,0.084999724,0.090497756
17,0,0,0.037896475,0.042312578,0.046944869,0.053511595,0.061214686,0.06771582,0.075602487,0.085251712
18,0,0,0.034358538,0.040924446,0.047105115,0.050936661,0.061038134,0.067332123,0.073845235,0.085768658
19,0,0,0.034952461,0.042851162,0.045889456,0.050006881,0.058807261,0.064635495,0.071804106,0.077781742
20,0,0,0.034465043,0.041371981,0.044979114,0.051582937,0.057700752,0.06225234,0.069194344,0.078977153
21,0,0,0.034732987,0.041024288,0.044269151,0.049827879,0.058233505,0.061870127,0.067666988,0.07651009
22,0,0,0.036773246,0.039952832,0.045399486,0.048527991,0.056179278,0.062478928,0.067898782,0.075575635
23,0,0,0.031872537,0.039396599,0.042830803,0.048316131,0.056025243,0.059283712,0.06419842,0.071782247
24,0,0,0.032374474,0.038274921,0.043864193,0.046357366,0.054168716,0.059376825,0.064519712,0.066497182
25,0,0,0.037913472,0.038140683,0.042386682,0.047823552,0.053303254,0.057039184,0.064553486,0.069189866
26,0,0,0.035196861,0.037763106,0.042611606,0.047862419,0.054723746,0.059968549,0.062923354,0.069517106
27,0,0,0.04005543,0.039553123,0.043163916,0.047779154,0.052447878,0.057408543,0.066152949,0.064787316
28,0,0,0.033462679,0.038345109,0.040415476,0.048420815,0.053270372,0.056658961,0.062413135,0.06407657
29,0,0,0.029704022,0.037410733,0.043087984,0.046506953,0.052229464,0.054907228,0.059870778,0.063540121
30,0,0,0.025748737,0.038284619,0.041794333,0.04722212,0.052177767,0.055037927,0.059188043,0.067531254
31,0,0,0.04029591,0.036245382,0.041830329,0.045902215,0.05197389,0.053778759,0.060496421,0.062190176
32,0,0,0.026400911,0.03556464,0.041293671,0.044459776,0.050904878,0.053538388,0.059420054,0.06207172
33,0,0,0.021684497,0.03629266,0.039550173,0.044500799,0.050598767,0.054560057,0.059262487,0.060756176
34,0,0,0.035993141,0.036927811,0.038391712,0.045775364,0.05186798,0.054264042,0.056550343,0.060323249
35,0,0,0.034230342,0.038640692,0.040185619,0.044177463,0.054193808,0.051479828,0.060173642,0.058512309
36,0,0,0.028034277,0.035468339,0.040336935,0.045193364,0.051399403,0.05118383,0.054125432,0.062093099
37,0,0,0.020918651,0.036226343,0.039778877,0.044181822,0.050362115,0.05444177,0.0540059,0.061624819
38,0,0,0.029722195,0.03392548,0.041338194,0.042667042,0.050419667,0.053691437,0.054647265,0.056683587
39,0,0,0.036096801,0.036297993,0.038168857,0.044806967,0.050108235,0.05298018,0.054763568,0.05653984
