# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Sdandard deviation of halo spin parameter \lamda_p for group of halos of the same size n_p, where n_p is number of particles in halo.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
#Ref. [3]  ,https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4] Eq.(70)(71) Fig. 6 Table 2,https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]  Table 3 Eq. (119),https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,0.020627414,0.026983837,0.048791839,0.090580578,0.184333743,0.418031655,0.624518842,0.946264029,1.221449175
3,0,0.022927165,0.030083902,0.04530891,0.075807835,0.161865159,0.369304773,0.545237394,0.85063087,1.098265056
4,0,0.022412283,0.028289068,0.039223613,0.065742034,0.140754445,0.293064817,0.441815295,0.689793107,0.911936653
5,0,0.020084252,0.02695144,0.034707904,0.054397793,0.104682989,0.246703467,0.379210428,0.583873176,0.753539269
6,0,0.019021594,0.025817844,0.03240038,0.045249294,0.089706952,0.215528953,0.323452639,0.513085335,0.64634099
7,0,0.018935298,0.024618547,0.029348691,0.039898708,0.085586145,0.168966215,0.268681357,0.426539583,0.554589581
8,0,0.02456048,0.022159143,0.026490928,0.034649858,0.061515926,0.169154466,0.226969237,0.353326858,0.494159768
9,0,0.018376084,0.022255759,0.027287573,0.03086898,0.05090018,0.163641126,0.191647645,0.317282148,0.394525471
10,0,0.004248428,0.022719219,0.025386899,0.040125654,0.066808367,0.122528198,0.172872503,0.295152674,0.396103421
11,0,0.017971015,0.021300123,0.024891492,0.028843546,0.040013605,0.109962712,0.12797604,0.259158139,0.297230657
12,0,0,0.021850454,0.024646091,0.028295319,0.038702487,0.082441098,0.156135426,0.210890411,0.248043004
13,0,0,0.021308028,0.022013765,0.027653225,0.036612989,0.067753905,0.104808539,0.192308145,0.244389945
14,0,0.006179276,0.020058193,0.023992957,0.02984239,0.035249062,0.072987705,0.108107619,0.1739387,0.244271875
15,0,0.008942297,0.021399191,0.023432448,0.027744718,0.029986521,0.06481871,0.083358197,0.157481653,0.220310975
16,0,0,0.019397972,0.022498456,0.02586822,0.031067659,0.058913223,0.104202894,0.197835217,0.192917208
17,0,0,0.020715661,0.021685682,0.024667558,0.02988906,0.056518307,0.073169229,0.11456522,0.165200537
18,0,0,0.017276772,0.021990924,0.024783012,0.026710306,0.056898596,0.094244304,0.107455035,0.190941354
19,0,0,0.021597517,0.022224329,0.02462243,0.029075619,0.051114826,0.071623356,0.090444977,0.109749178
20,0,0,0.018726716,0.022617545,0.023756676,0.029851487,0.038902573,0.064543879,0.087756759,0.130288002
21,0,0,0.020097714,0.021897056,0.022081418,0.028598373,0.051143765,0.048065798,0.082256515,0.141072874
22,0,0,0.017463054,0.020943484,0.023842536,0.025461906,0.035087339,0.081026685,0.079908406,0.140861312
23,0,0,0.015740579,0.019286056,0.022027698,0.028241007,0.040386259,0.053336279,0.067259936,0.104888448
24,0,0,0.022308679,0.020479729,0.02308538,0.024622695,0.029750302,0.062829505,0.063653184,0.068283646
25,0,0,0.020599979,0.020299868,0.021374536,0.025093518,0.032078193,0.035268504,0.062539875,0.106639889
26,0,0,0.029165607,0.01936622,0.024321158,0.024735278,0.035718568,0.0970232,0.06095981,0.110447129
27,0,0,0.020007902,0.019577645,0.022589863,0.025024906,0.028814736,0.051058826,0.092845324,0.079369534
28,0,0,0.017041302,0.023107803,0.021191163,0.026468743,0.033743236,0.042592321,0.073599053,0.08548311
29,0,0,0.019222043,0.017527434,0.022813068,0.02367111,0.031090919,0.033567837,0.050784253,0.070270826
30,0,0,0.013033968,0.020459148,0.021518505,0.02536678,0.029526755,0.035464397,0.044389214,0.128848242
31,0,0,0.017557344,0.019123126,0.022535393,0.024070376,0.033054238,0.033234232,0.058810301,0.061613139
32,0,0,0.017060682,0.020734883,0.024538445,0.025500181,0.027486317,0.039324346,0.073382531,0.047294899
33,0,0,0.009052091,0.019636539,0.020246467,0.024192716,0.034126787,0.037730661,0.052265611,0.065413782
34,0,0,0.020463393,0.021116233,0.019076989,0.024561717,0.043608147,0.036643516,0.045302267,0.045381926
35,0,0,0.015614649,0.020303805,0.020361091,0.022614613,0.096162918,0.029300469,0.069778819,0.038306708
36,0,0,0.013654528,0.0194553,0.02113452,0.023018651,0.026908934,0.037438563,0.030822251,0.095235204
37,0,0,0.016349322,0.017736085,0.023499647,0.023985559,0.026243794,0.044114508,0.030888068,0.060099452
38,0,0,0.022969742,0.019855743,0.022095909,0.023471427,0.049150129,0.042857166,0.037990059,0.044006873
39,0,0,0,0.019907259,0.021950452,0.02599016,0.028678398,0.034363584,0.033697353,0.039776809
40,0,0,0.000795155,0.018873945,0.020088189,0.023405969,0.050776174,0.043190826,0.030211126,0.046912405
41,0,0,0.013060996,0.017917692,0.0207036,0.023066927,0.039042375,0.026689048,0.02946976,0.038822765
42,0,0,0.000435605,0.01753387,0.021295518,0.024647802,0.026362981,0.026895114,0.031925215,0.048744939
43,0,0,0.025134323,0.01793604,0.015793531,0.023603667,0.029597574,0.030421375,0.059728136,0.043422415
44,0,0,0,0.018690983,0.021578419,0.024328324,0.02818665,0.034415109,0.031901012,0.066683827
45,0,0,0.021786223,0.014800817,0.019395684,0.023592292,0.024136574,0.030379125,0.044528709,0.0315603
46,0,0,0.012537446,0.017188557,0.023229443,0.023261502,0.027014495,0.026310817,0.039923251,0.032670434
47,0,0,0.021255743,0.018521955,0.0216824,0.021912632,0.024932299,0.03074775,0.029926723,0.033736338
48,0,0,0,0.01587863,0.02072264,0.021269679,0.028446278,0.028038686,0.039259752,0.040954419
49,0,0,0.007517319,0.014221345,0.021151219,0.023726377,0.026227204,0.050575122,0.033481156,0.027492406
50,0,0,0,0.020135491,0.021005276,0.021854847,0.024524704,0.027280142,0.031688507,0.027981256
51,0,0,0,0.018222712,0.020057655,0.022610374,0.023361859,0.031064912,0.034393163,0.038929381
52,0,0,0.00708557,0.016511478,0.016620339,0.022277332,0.022610249,0.026855718,0.029547217,0.038552911
53,0,0,0,0.016272758,0.019669983,0.019954546,0.025409919,0.028851093,0.027880381,0.041261393
54,0,0,0,0.015556503,0.017145999,0.020868816,0.023573185,0.024545307,0.046104395,0.038157946
55,0,0,0,0.017491337,0.026134058,0.023028801,0.026251183,0.038681915,0.028860287,0.035339579
56,0,0,0,0.019600856,0.019972487,0.02357118,0.026646886,0.027033423,0.025022887,0.029226359
57,0,0,0,0.021837416,0.019229688,0.022545093,0.026937786,0.02700468,0.028277969,0.031746182
58,0,0,0,0.025784213,0.016734523,0.023625268,0.026848012,0.026513046,0.025761428,0.030939872
59,0,0,0.006622352,0.012720859,0.022194335,0.022937305,0.024771816,0.02576613,0.039385045,0.027442381
60,0,0,0,0.018077413,0.021678257,0.022078416,0.025836135,0.028885133,0.025428834,0.034765212
61,0,0,0,0.013884991,0.017805577,0.019598458,0.024807805,0.02606132,0.029601774,0.026673403
62,0,0,0,0.008906852,0.021988651,0.023267785,0.029299079,0.027727353,0.030287893,0.028508205
63,0,0,0,0.017553518,0.018669509,0.023748289,0.025293626,0.023190668,0.028480916,0.040435188
64,0,0,0,0.017274828,0.0185811,0.023780357,0.028021026,0.027954637,0.025160194,0.037286969
65,0,0,0,0.015782393,0.019523463,0.021797953,0.025568348,0.026704086,0.028501647,0.023362984
66,0,0,0,0.015797437,0.02068396,0.02497504,0.0277322,0.030623214,0.02509029,0.027148558
67,0,0,0,0.025072144,0.023807316,0.01961909,0.024710373,0.027871565,0.03067854,0.025471158
68,0,0,0,0.011052623,0.022298536,0.026321844,0.02229238,0.025967325,0.02956672,0.026303582
69,0,0,0,0.016505225,0.020638463,0.022078065,0.022489145,0.038018773,0.030028785,0.030705634
70,0,0,0,0.02192764,0.016415838,0.022197362,0.024861412,0.026210224,0.035755911,0.03296147
71,0,0,0,0.016855514,0.025350182,0.02139768,0.027618855,0.024287879,0.029410344,0.033988642
72,0,0,0,0.007271109,0.019045591,0.019193644,0.025635504,0.026584589,0.027143442,0.02950827
73,0,0,0,0.010713888,0.020003346,0.020833143,0.024739736,0.023849813,0.030513579,0.026218881
74,0,0,0,0.010938136,0.026506897,0.022196217,0.024063363,0.026138581,0.027148042,0.02642658
75,0,0,0,0.009042825,0.019012529,0.022161275,0.029088472,0.02628205,0.028256728,0.029200015
76,0,0,0,0.021403798,0.01510243,0.019650711,0.023591302,0.028107638,0.025950539,0.029899917
77,0,0,0,0.00909772,0.021150972,0.020905125,0.022840411,0.028987362,0.027071695,0.028226131
78,0,0,0,0.018944308,0.019511826,0.020289851,0.019815999,0.02674646,0.03070857,0.038386813
79,0,0,0,0.019315821,0.024304786,0.01966771,0.02644234,0.032592468,0.029235068,0.045853697
80,0,0,0,0.022871731,0.013943322,0.019516371,0.024045688,0.025545666,0.023646821,0.026775896
81,0,0,0,0.008263675,0.021565864,0.024420026,0.024653694,0.025594696,0.025859681,0.033007788
82,0,0,0,0.013101802,0.019322261,0.020831334,0.023788249,0.027566418,0.025049248,0.030445391
83,0,0,0,0.008089315,0.016792689,0.022519049,0.025244682,0.024971339,0.029034136,0.029477502
84,0,0,0,0.013147886,0.017129296,0.020693577,0.021155763,0.026330181,0.037033809,0.02927923
85,0,0,0,0.01201817,0.017334139,0.025331889,0.028444143,0.026484298,0.03170738,0.028556486
86,0,0,0,0.010910487,0.019850283,0.021650613,0.02560828,0.02537291,0.028956092,0.032332676
87,0,0,0,0.008238809,0.023086753,0.01990924,0.02323421,0.028595401,0.026356098,0.029998275
88,0,0,0,0.005272614,0.023480934,0.017687738,0.021869748,0.024731731,0.023947764,0.029384292
89,0,0,0,0.012922649,0.018616877,0.02437204,0.02382698,0.029609581,0.029376936,0.028897566
90,0,0,0,0,0.019455082,0.02359225,0.022757797,0.024105183,0.028158259,0.024294358
91,0,0,0,0,0.025153894,0.019291884,0.023190387,0.025124998,0.026113092,0.029514907
92,0,0,0,0.002285911,0.011637054,0.022867317,0.025460581,0.027332176,0.025891374,0.030108759
93,0,0,0,0,0.020357569,0.015372286,0.026729162,0.021513653,0.023042957,0.031755331
94,0,0,0,0.008893085,0.023221314,0.027057032,0.024627118,0.02527547,0.027581641,0.031298835
95,0,0,0,0.012340497,0.015859342,0.023328044,0.019957671,0.026603335,0.024696715,0.025266299
96,0,0,0,0.009744752,0.029742495,0.019910582,0.022349562,0.025224971,0.022826411,0.023312771
97,0,0,0,0.004260277,0.022674925,0.021997891,0.025098416,0.024833152,0.025435757,0.026989649
98,0,0,0,0.013112331,0.025391941,0.0227284,0.024124911,0.029993528,0.02430558,0.028579148
99,0,0,0,0,0.017589355,0.015753667,0.021732109,0.026430541,0.026001219,0.029522679
100,0,0,0,0.026103744,0.022546897,0.021200223,0.020555536,0.020939415,0.027390105,0.028426654
101,0,0,0,0,0.02500367,0.013968573,0.022431382,0.028136566,0.024834707,0.026544185
102,0,0,0,0.037502381,0.01148344,0.021225959,0.027451906,0.026720789,0.029673325,0.022007298
103,0,0,0,0.016646119,0.014745323,0.021300163,0.029193597,0.028908773,0.030644539,0.027386464
104,0,0,0,0,0.027265338,0.026952223,0.027835179,0.019900125,0.027133109,0.029143248
105,0,0,0,0.008274291,0.013806458,0.022584468,0.024878351,0.020730221,0.02434112,0.025029716
