# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Mean halo shape parameter h_e for group of halos of the same size n_p, where n_p is number of particles in halo.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
#Ref. [3]  Eq. (71) Fig. 20 21,https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4] ,https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]  ,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,0.499999991,0.499999991,0.499999991,0.499999991,0.499999991,0.499999991,0.499999991,0.499999991,0.499999991
3,0,0.366139974,0.359672406,0.359976356,0.362691914,0.36619333,0.368974903,0.370060415,0.372229979,0.373299415
4,0,0.274805984,0.259209843,0.262996717,0.266916466,0.272178271,0.277374817,0.279772351,0.282991719,0.284911814
5,0,0.231391553,0.217947711,0.220197565,0.225604025,0.231534344,0.237801721,0.24101944,0.243698235,0.24614869
6,0,0.199288283,0.194747121,0.197431323,0.203183325,0.209196288,0.215420124,0.217778868,0.221077538,0.22323718
7,0,0.214948493,0.180267357,0.183635283,0.188698603,0.194632619,0.200584609,0.20244728,0.205110487,0.207732514
8,0,0.216016605,0.171219286,0.173750263,0.178662352,0.184380024,0.18969857,0.192069213,0.19422443,0.195832115
9,0,0.2011627,0.161999778,0.167924193,0.172105036,0.176682545,0.181910887,0.183103472,0.185890178,0.186835678
10,0,0.132031871,0.158067424,0.16238833,0.165441449,0.170903932,0.175646786,0.176913565,0.178963051,0.179955474
11,0,0.147487046,0.154969454,0.159681942,0.163511455,0.166620802,0.170727296,0.170960832,0.173727981,0.173717342
12,0,0.232604133,0.152385756,0.155503856,0.158040436,0.163070378,0.166157833,0.166825024,0.167608126,0.168892379
13,0,0,0.153717634,0.151130359,0.156141998,0.159034613,0.161745053,0.164147613,0.164435903,0.166064151
