# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Standard of deviation of halo shape parameter h_e for group of halos of the same size n_p, where n_p is number of particles in halo.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
"#Ref. [3]  Eq. (71), Fig. 20 21",https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4] ,https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]  ,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,4.48E-09,4.45E-09,4.44E-09,4.43E-09,4.43E-09,4.43E-09,4.43E-09,4.44E-09,4.43E-09
3,0,0.053589298,0.054507531,0.05354705,0.053423252,0.053116702,0.053319931,0.053337551,0.053341152,0.0533854
4,0,0.074885856,0.073363435,0.071043849,0.070243453,0.069452367,0.069105377,0.069059472,0.068795363,0.068677956
5,0,0.076826652,0.067827992,0.065185869,0.065130632,0.064909823,0.064398703,0.064417213,0.064803691,0.065240422
6,0,0.070648552,0.06206571,0.060435528,0.05979571,0.060353584,0.060720745,0.061116656,0.061540733,0.061762538
7,0,0.079689339,0.059196842,0.058166174,0.057448642,0.057512793,0.057507726,0.057924012,0.058568143,0.05859317
8,0,0.057336802,0.057111093,0.056367091,0.054785898,0.054823794,0.055175932,0.055961601,0.056276582,0.05599417
9,0,0.078701902,0.055675615,0.054162146,0.053597294,0.053320358,0.053526178,0.053929079,0.054546047,0.055044912
10,0,0.075892633,0.053670673,0.052721879,0.052193304,0.052566213,0.052558852,0.05302315,0.052742393,0.053152259
11,0,0.060055464,0.053398736,0.053597117,0.052212921,0.051225778,0.051604604,0.0520235,0.053062306,0.052516449
12,0,0,0.05527338,0.051420424,0.052191591,0.050869067,0.051081259,0.050600496,0.050337003,0.050945877
13,0,0,0.048639732,0.050432684,0.049976364,0.050335787,0.050021334,0.050147615,0.050400376,0.050914584
14,0,0.02435987,0.050592033,0.051029369,0.050238226,0.049441855,0.049516108,0.049303067,0.049385639,0.049810837
15,0,0.020332838,0.052396543,0.051217247,0.05054788,0.049075768,0.049108398,0.048248051,0.049578854,0.048696695
16,0,0,0.052076866,0.050704941,0.051545252,0.049426705,0.048490893,0.049030603,0.04772683,0.047957056
17,0,0,0.048529806,0.047810794,0.049903008,0.048136511,0.048191361,0.047929486,0.048603531,0.048246051
18,0,0,0.054216842,0.047868326,0.050239503,0.047534612,0.047641609,0.047790799,0.04664354,0.046664655
19,0,0,0.05321415,0.051085348,0.048631452,0.047564431,0.047696338,0.04675432,0.047702845,0.04683605
20,0,0,0.053718415,0.050404111,0.050601918,0.049756734,0.046202517,0.048870801,0.047197997,0.046010461
21,0,0,0.047011198,0.048854595,0.049114381,0.047004984,0.046759226,0.046859963,0.046814718,0.046546938
22,0,0,0.061765729,0.048395312,0.050778963,0.048567173,0.046984099,0.046767714,0.046785422,0.045977421
23,0,0,0.051829139,0.05124517,0.049774751,0.04839576,0.047975519,0.04741984,0.045330425,0.0455798
24,0,0,0.06532273,0.049316829,0.049493261,0.047402753,0.046858708,0.047300922,0.04685557,0.044526356
25,0,0,0.048237243,0.051928846,0.049764391,0.048973702,0.047277422,0.045614867,0.04540413,0.045788119
26,0,0,0.074771247,0.049246719,0.050420577,0.047389942,0.045904868,0.046264361,0.04652019,0.045145858
27,0,0,0.04902775,0.049931819,0.052209885,0.047427471,0.046404619,0.045363003,0.044543285,0.045997324
28,0,0,0.049402397,0.04959782,0.044949653,0.049677414,0.045726817,0.043951198,0.045768116,0.04481016
29,0,0,0.059323143,0.046513834,0.050773106,0.048944197,0.045199328,0.045672925,0.043120604,0.045277087
30,0,0,0.055984805,0.054000015,0.048454201,0.047252849,0.048531828,0.045030228,0.045546816,0.046255651
31,0,0,0.040268786,0.055256353,0.05171801,0.047899176,0.048456471,0.043668992,0.044305447,0.043302462
32,0,0,0.0284918,0.050187257,0.050865391,0.047073603,0.045240168,0.045579833,0.046067185,0.042752794
33,0,0,0.045510468,0.052508423,0.050557576,0.047861277,0.045949303,0.046382001,0.043337709,0.04441838
34,0,0,0.027829738,0.053696104,0.048418562,0.048802663,0.046072197,0.045092724,0.044527825,0.045332435
35,0,0,0.036826269,0.052942049,0.047266719,0.050226644,0.045862917,0.043614668,0.045436605,0.04691774
36,0,0,0.043125102,0.054992992,0.048052533,0.04627125,0.048185954,0.043262992,0.043311224,0.044024635
37,0,0,0.075207928,0.052489737,0.050165546,0.047306263,0.045917104,0.045755075,0.042334663,0.042704942
38,0,0,0.05418174,0.049391076,0.048513655,0.048617194,0.04607261,0.046225577,0.043979441,0.044085834
39,0,0,0,0.045369185,0.050513714,0.049117071,0.047497396,0.043770726,0.044052145,0.044624712
40,0,0,0.047669018,0.043077988,0.051341435,0.047888369,0.045504751,0.044417182,0.043981688,0.044443936
41,0,0,0.058715681,0.054529258,0.050767229,0.046596528,0.046506777,0.045565029,0.043267777,0.044379092
42,0,0,0.053451634,0.05657366,0.049628419,0.048170553,0.045657282,0.042900299,0.044701979,0.045696827
43,0,0,0.023465888,0.047715002,0.047034963,0.048512486,0.045525364,0.044017858,0.046095994,0.046000568
44,0,0,0,0.044416428,0.047545301,0.049940811,0.046097072,0.046620382,0.043587518,0.042595029
45,0,0,0.038532634,0.038385869,0.046394237,0.051522087,0.044894267,0.044533368,0.04508095,0.044463965
46,0,0,0.032906046,0.053411052,0.052225618,0.047240434,0.046601158,0.044168138,0.044448122,0.043145305
47,0,0,0.081519824,0.054477813,0.050225356,0.046465936,0.045029266,0.042071978,0.045889222,0.044638016
48,0,0,0,0.049687106,0.054846764,0.045534501,0.047443818,0.047092393,0.045790787,0.044817479
49,0,0,0.084556886,0.039180307,0.046349683,0.047505353,0.047661368,0.041763941,0.045319202,0.042167128
50,0,0,0,0.063842857,0.045601319,0.048186841,0.046674199,0.045166773,0.043306347,0.045375313
51,0,0,0,0.056555188,0.051059246,0.047999987,0.043336925,0.045644143,0.043894746,0.042518912
52,0,0,0.029649562,0.053854947,0.04297982,0.046601881,0.042908742,0.04507421,0.045209739,0.04370004
53,0,0,0,0.044410839,0.045788599,0.052099354,0.042548992,0.044458197,0.044338621,0.044550709
54,0,0,0,0.049821672,0.043643357,0.047195637,0.048244037,0.045118743,0.046864304,0.046757031
55,0,0,0,0.054207603,0.048745922,0.046865276,0.047094614,0.047684668,0.045143577,0.044253463
56,0,0,0,0.049531064,0.046789738,0.046311665,0.046542257,0.045570236,0.043591996,0.044152406
57,0,0,0,0.046871141,0.050036389,0.051167299,0.048454268,0.046708369,0.046232354,0.043811472
58,0,0,0,0.053396584,0.049591685,0.047108661,0.044606084,0.044086496,0.045494843,0.040206524
59,0,0,0.068970711,0.060422762,0.048115668,0.045303223,0.044444658,0.042762584,0.042105076,0.042817536
