# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Mean halo shape parameter h_p for group of halos of the same size n_p, where n_p is number of particles in halo.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
#Ref. [3]  Eq. (71) Fig. 20 21,https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4] ,https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]  ,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,0.499999986,0.499999986,0.499999986,0.499999985,0.499999986,0.499999985,0.499999985,0.499999986,0.499999986
3,0,0.098419938,0.079017232,0.079929083,0.088075756,0.098580004,0.106924724,0.110181261,0.116689953,0.11989826
4,0,0.074832377,0.050463974,0.052273751,0.05833409,0.066828624,0.072503488,0.075600213,0.079595832,0.081350746
5,0,0.06609734,0.04581497,0.045128192,0.050488721,0.056207564,0.061238371,0.063761386,0.065989866,0.068414795
6,0,0.075941819,0.045454119,0.044318843,0.047699191,0.051809618,0.055440577,0.057446438,0.059594738,0.061236793
7,0,0.086523962,0.046760787,0.043155672,0.046371081,0.049849985,0.052935831,0.053662999,0.055100613,0.056711935
8,0,0.090041266,0.047629517,0.044988949,0.044570168,0.048165501,0.050551679,0.050858436,0.051433907,0.052981384
9,0,0.114862303,0.04475039,0.044600209,0.047299715,0.046877527,0.049007088,0.047857324,0.050512578,0.049928373
10,0,0.020484785,0.048101014,0.044269356,0.044409107,0.046751992,0.047286601,0.047750486,0.046560508,0.048760783
11,0,-0.025976117,0.051324879,0.047816274,0.047496326,0.047174881,0.047128667,0.046634914,0.046619336,0.04620791
12,0,0.159653564,0.053265182,0.048466026,0.044251219,0.046899027,0.046617741,0.04502356,0.044410931,0.045232029
13,0,0,0.05265732,0.044972335,0.045398279,0.044986767,0.04542479,0.0453491,0.046421947,0.047353697
14,0,-0.008000334,0.048496755,0.047272809,0.046487532,0.048823997,0.044953272,0.045464285,0.042682192,0.041679474
15,0,-0.007881229,0.049868211,0.051902139,0.045893297,0.045072666,0.045436654,0.043480309,0.042012645,0.043706325
16,0,0.002391238,0.046516373,0.050393246,0.051407193,0.045693365,0.045768341,0.045171646,0.041895242,0.042064252
17,0,0,0.062873743,0.051386958,0.045507881,0.046518261,0.042729516,0.044005031,0.044779745,0.041588087
18,0,0,0.065110315,0.046913701,0.053400193,0.047543445,0.043939734,0.044121639,0.041395298,0.043315079
19,0,0,0.061899096,0.049804894,0.046388291,0.045421835,0.043909006,0.041420221,0.041143849,0.041999352
20,0,0,0.061845596,0.055078329,0.049023071,0.046088168,0.044229304,0.042612785,0.04152725,0.042236389
21,0,0,0.066799862,0.053454401,0.051070678,0.048210356,0.043964813,0.043691317,0.040369199,0.038920326
22,0,0,0.072498358,0.049467551,0.051937906,0.047749014,0.046621576,0.043155829,0.041952007,0.038178838
23,0,0,0.046363681,0.052711598,0.048432033,0.045823137,0.044233901,0.043620352,0.03912383,0.039340579
24,0,0,0.069699922,0.052695516,0.051951291,0.049746117,0.042800325,0.042033067,0.041773621,0.038190556
25,0,0,0.068133083,0.052217316,0.051283129,0.048897437,0.045063355,0.041522889,0.040350552,0.036573284
26,0,0,0.058942755,0.047971379,0.053123505,0.050802295,0.044587924,0.042466518,0.043451801,0.037070888
27,0,0,0.064969783,0.052622495,0.055435043,0.04832451,0.043363442,0.041878871,0.041167448,0.040745607
28,0,0,0.05675108,0.062282271,0.050386571,0.052179991,0.043479602,0.039253329,0.041788996,0.036920426
29,0,0,0.056013512,0.058074223,0.048842314,0.052587387,0.046690946,0.041466178,0.038281246,0.040899554
30,0,0,0.052063515,0.06558724,0.052392749,0.049513456,0.045782714,0.045191046,0.044474068,0.03791952
31,0,0,0.089616536,0.059341544,0.059981085,0.051095955,0.046463344,0.043587685,0.039483417,0.036678714
32,0,0,0.00759577,0.056434789,0.054109843,0.052327761,0.043352871,0.041165348,0.041958149,0.037193034
33,0,0,0.0172388,0.070770929,0.054245546,0.048235632,0.043058869,0.042515218,0.038059263,0.03778705
34,0,0,0.085547609,0.055257159,0.052889247,0.050887934,0.047611886,0.042315481,0.039138683,0.037922354
35,0,0,0.092174367,0.056583884,0.057720511,0.046871145,0.048288908,0.041718975,0.042234126,0.039244992
36,0,0,0.037303108,0.062458407,0.054800151,0.048586576,0.04731193,0.044256331,0.037646475,0.041745727
37,0,0,0.042241724,0.056435931,0.064525939,0.050531225,0.045654276,0.042679203,0.039613141,0.037387619
38,0,0,0.081266781,0.048159274,0.061317443,0.053918903,0.047358726,0.046165281,0.041455288,0.038566366
39,0,0,0.13040494,0.063843876,0.053628226,0.0494374,0.048298397,0.041036316,0.039116178,0.039283269
40,0,0,0.004923395,0.052170203,0.056596184,0.055767145,0.047959293,0.04178531,0.041215811,0.039941686
41,0,0,0.111162113,0.051370646,0.059042919,0.051586662,0.043903985,0.043238595,0.040534438,0.03636112
42,0,0,-0.014108935,0.07333163,0.053138277,0.057297429,0.046919765,0.040347713,0.039125906,0.040408667
43,0,0,0.047110997,0.075434622,0.04642877,0.055523282,0.047282742,0.045098048,0.041887903,0.041819863
44,0,0,-0.007627205,0.058819187,0.064170589,0.053989732,0.046121771,0.044890364,0.035992855,0.037530873
45,0,0,0.024525322,0.06109824,0.047997679,0.056101912,0.047452592,0.045571734,0.040083013,0.039564102
46,0,0,0.092063607,0.05103938,0.063817062,0.057868938,0.049008454,0.042814618,0.037371646,0.034370829
47,0,0,0.208830684,0.06860717,0.068810112,0.052804259,0.044405972,0.043008557,0.04593031,0.040245784
48,0,0,0,0.050331869,0.058354742,0.052742978,0.050078982,0.04735735,0.03764923,0.045112429
49,0,0,0.06582812,0.034086951,0.056878661,0.054091466,0.049138468,0.041235546,0.043727443,0.03920236
50,0,0,0,0.057538174,0.053665758,0.045534836,0.046907231,0.046246372,0.042297938,0.039260189
51,0,0,-0.000479229,0.057374922,0.060850858,0.050777138,0.046675022,0.045187535,0.036878229,0.038941268
52,0,0,0.092598902,0.053951264,0.054527139,0.054410071,0.043549794,0.04403596,0.044068322,0.040215547
53,0,0,0,0.078334781,0.052449948,0.059137255,0.053143919,0.047187215,0.044560722,0.042287564
54,0,0,0.031647679,0.052573533,0.058630426,0.047071544,0.052291852,0.048399639,0.039423374,0.038699239
55,0,0,-0.001814646,0.066404554,0.052035419,0.058081807,0.04870465,0.044153534,0.041504036,0.038847082
56,0,0,0.007961124,0.063544022,0.048126203,0.050650292,0.042463021,0.044272628,0.03949318,0.035170597
57,0,0,0,0.055177097,0.046497024,0.063671147,0.047688159,0.043383304,0.04828606,0.04071066
58,0,0,0.175447959,0.073566251,0.05010498,0.048876143,0.048876279,0.044481676,0.040069743,0.036731927
59,0,0,0.093182158,0.089916917,0.058587564,0.052489369,0.049804609,0.043132328,0.043128372,0.0371307
60,0,0,0,0.052333646,0.070258408,0.052860079,0.046186226,0.051538466,0.047842659,0.040260846
61,0,0,0,0.079942305,0.047240036,0.061402904,0.044924553,0.05150303,0.040608703,0.041877031
62,0,0,0.024942648,0.054330061,0.064875993,0.060761135,0.049036165,0.049255193,0.044748819,0.039643919
63,0,0,0,0.071482835,0.045936191,0.064392447,0.05338582,0.041874804,0.045926812,0.042654011
64,0,0,0.112471978,0.063317598,0.071471869,0.060590339,0.052424102,0.044745796,0.038099958,0.038973272
65,0,0,0,0.057522923,0.049924131,0.068710076,0.051460776,0.044441792,0.044863704,0.041169327
66,0,0,0,0.033716502,0.062925536,0.052295554,0.057843208,0.047599596,0.044267645,0.042727184
67,0,0,0,0.028064807,0.063348423,0.056981254,0.047658546,0.046670928,0.041907525,0.039228909
68,0,0,0,0.067664807,0.068492578,0.054200319,0.04466228,0.041734191,0.045067134,0.034817482
69,0,0,0,0.080250837,0.057348809,0.068220707,0.052176019,0.049803696,0.05117066,0.043602834
70,0,0,0,0.096323801,0.065191706,0.055860548,0.051503154,0.044551854,0.04357081,0.041639579
71,0,0,0,0.057626394,0.05286194,0.064954481,0.04636808,0.041617628,0.047244176,0.04698988
72,0,0,0,0.016911957,0.057191198,0.046726447,0.051460106,0.044997578,0.041335974,0.047492502
73,0,0,0,0.07251269,0.063813321,0.047229175,0.050575137,0.052022489,0.042930936,0.041363954
74,0,0,0,0.085444217,0.080893006,0.059084048,0.054223777,0.04717641,0.037669523,0.034560359
75,0,0,0,0.068263033,0.071803663,0.06162632,0.053379178,0.047173575,0.040588899,0.044616195
76,0,0,0,0.077104973,0.055158399,0.061661131,0.05452474,0.045268224,0.038854596,0.04019554
77,0,0,0,0.055274887,0.049043061,0.046968407,0.05130419,0.043879722,0.039794982,0.04054925
78,0,0,0.000272257,0.015336565,0.059902225,0.065380664,0.052908387,0.050815074,0.04586807,0.037726929
79,0,0,0,0.12024166,0.095528969,0.065771403,0.047871307,0.040854554,0.047324361,0.040985305
80,0,0,-0.004890586,0.083350166,0.069605312,0.048482051,0.053217392,0.047448527,0.041918035,0.04404857
81,0,0,0,0.062222918,0.058894753,0.054961489,0.062658059,0.04220772,0.04590486,0.041370879
82,0,0,0,0.116580317,0.056308493,0.055269574,0.05535074,0.048269192,0.036610328,0.045134768
83,0,0,0,0.106200585,0.085802739,0.06021154,0.042680514,0.050457159,0.042444481,0.042216266
84,0,0,0,0.033625169,0.044412585,0.060807694,0.047925017,0.050639612,0.043114127,0.042892648
85,0,0,0,0.075195932,0.073386477,0.065031723,0.06166654,0.056469855,0.04038091,0.043273703
86,0,0,0,0.039992862,0.065277947,0.063823154,0.05109769,0.047804513,0.045201243,0.039699821
87,0,0,0,0.171650559,0.05210759,0.04339296,0.052031851,0.059594654,0.040196214,0.046749643
88,0,0,0,0.027166329,0.097164646,0.066863003,0.060174713,0.043670392,0.044452013,0.039307886
89,0,0,0.007162061,0.073754802,0.051761785,0.072627639,0.053340808,0.054514175,0.045725399,0.041399896
90,0,0,0,0.066814102,0.04892037,0.074580509,0.053461932,0.046569746,0.052314144,0.0406945
91,0,0,0,0.025858781,0.044553391,0.074492785,0.051179137,0.05074439,0.036873458,0.046551774
92,0,0,0,-0.03270132,0.108918257,0.074944631,0.049846628,0.05831534,0.045232471,0.041444766
93,0,0,0,-0.017391584,0.081340997,0.068790872,0.044937554,0.044966987,0.047952444,0.043903352
94,0,0,0,0.062800243,0.050107963,0.072573599,0.050691007,0.059376483,0.045781628,0.044829106
95,0,0,0,0.07726194,0.043309641,0.066831644,0.053607314,0.050316251,0.048480093,0.047303915
96,0,0,0,0.023124549,0.076847119,0.072784,0.057982354,0.064384811,0.038116929,0.0504125
97,0,0,0,0.127793971,0.069713242,0.05341965,0.060468907,0.059126074,0.039707239,0.046705686
98,0,0,0,0.049881931,0.073077364,0.056797884,0.061797312,0.04528039,0.037280948,0.044923145
99,0,0,0.055088686,-0.022838297,0.094012738,0.038910646,0.064846471,0.05946649,0.037866997,0.048733343
100,0,0,0,-0.02040224,0.035777007,0.053399848,0.059152714,0.048680602,0.041352417,0.033158157
101,0,0,0,0.138299668,0.082946446,0.071940909,0.054293151,0.05761134,0.036818495,0.046566209
102,0,0,0,0.135191373,0.083612517,0.047257514,0.059287009,0.058843451,0.045005252,0.038948489
103,0,0,0,0.071754392,0.098691095,0.074285332,0.059425637,0.048026744,0.046902376,0.047196902
104,0,0,0,0.070439553,0.087219076,0.076970383,0.055638153,0.044059272,0.04735154,0.040004091
105,0,0,0,0.019298691,0.040583729,0.06584843,0.051775002,0.054308973,0.048034138,0.040805987
106,0,0,0,0.064827954,0.085713298,0.076701498,0.051884855,0.057608679,0.041006073,0.049194631
107,0,0,0,0.035884444,0.037570744,0.052115817,0.051243342,0.051159874,0.045230835,0.040668984
108,0,0,0,0.16389911,0.068552047,0.054714551,0.041709097,0.050502882,0.037809683,0.041157718
109,0,0,0,0.187083478,0.064019762,0.069452151,0.047165528,0.057462944,0.054342999,0.036334312
110,0,0,0,0.053667332,0.02421785,0.065219914,0.053793605,0.053449604,0.033008388,0.04592325
