# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Standard of deviation of halo shape parameter h_p for group of halos of the same size n_p, where n_p is number of particles in halo.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
#Ref. [3]  Eq. (71) Fig. 20 21,https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4] ,https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]  ,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,6.71E-09,6.64E-09,6.62E-09,6.60E-09,6.59E-09,6.59E-09,6.60E-09,6.60E-09,6.60E-09
3,0,0.160767897,0.163522596,0.160641152,0.160269758,0.159350107,0.159959796,0.160012655,0.160023457,0.160156202
4,0,0.124349888,0.115953651,0.115568353,0.116001874,0.117193255,0.119431549,0.120734235,0.121226874,0.122457765
5,0,0.106254922,0.095319808,0.096155276,0.098525093,0.099689711,0.102329847,0.103205492,0.104664365,0.105788337
6,0,0.09859564,0.086023269,0.087160762,0.088205355,0.090425776,0.092603096,0.093564023,0.09572507,0.096224019
7,0,0.092400548,0.080632585,0.081001194,0.082494412,0.084229603,0.086323849,0.08731124,0.088768668,0.089290071
8,0,0.066594203,0.075232676,0.077724013,0.078296637,0.079612357,0.082549748,0.082760999,0.083927322,0.083930597
9,0,0.078754747,0.073113057,0.075519715,0.075477829,0.077036423,0.078951407,0.079243097,0.080095138,0.081352801
10,0,0.111631869,0.071827375,0.073681069,0.073637557,0.075912372,0.076600865,0.076925487,0.077130315,0.077491409
11,0,0.039251428,0.072169545,0.072226791,0.073231538,0.074010549,0.074726549,0.075255953,0.076268254,0.076024814
12,0,0,0.069510619,0.07014733,0.071066901,0.073222215,0.072848036,0.072448218,0.073105978,0.072910765
13,0,0,0.068327144,0.069643699,0.069888724,0.070975918,0.070489707,0.071938317,0.072199051,0.072409037
14,0,0.016135473,0.066269643,0.068581073,0.068824811,0.071740211,0.069933124,0.070095267,0.069835831,0.06980887
15,0,0.089614561,0.069957112,0.066863393,0.070319838,0.068624524,0.06925202,0.069573542,0.069406202,0.06901581
16,0,0,0.072876766,0.066180004,0.070908953,0.069050446,0.067911286,0.069500533,0.067317302,0.068356283
17,0,0,0.071302938,0.068567246,0.067566731,0.068500945,0.067373091,0.06768001,0.067062866,0.068137401
18,0,0,0.069993759,0.064274834,0.068134888,0.06846266,0.067255088,0.06715817,0.065591313,0.065071257
19,0,0,0.070066442,0.06780667,0.068167589,0.067233006,0.067720417,0.065727257,0.065893647,0.065383065
20,0,0,0.05985615,0.068608267,0.068292589,0.0687757,0.065406491,0.066644614,0.06592584,0.066123729
21,0,0,0.068803519,0.067028482,0.065954911,0.065573656,0.066122235,0.067016485,0.065616139,0.063323906
22,0,0,0.067231791,0.065466602,0.068816984,0.066660625,0.066121571,0.064582037,0.064291127,0.064503169
23,0,0,0.060603892,0.068122521,0.068289684,0.068326287,0.066355178,0.066350558,0.063238953,0.063534961
24,0,0,0.079569877,0.067554878,0.067464711,0.065954161,0.064708161,0.065121179,0.063187324,0.063141161
25,0,0,0.065826751,0.067550239,0.068700164,0.067358994,0.065738654,0.064666915,0.062841935,0.064080889
26,0,0,0.093220546,0.070226262,0.0686596,0.065957292,0.064348262,0.063564332,0.064396885,0.062398014
27,0,0,0.067862891,0.068281171,0.066451208,0.066870688,0.062193616,0.063772297,0.062803842,0.06312866
28,0,0,0.067162242,0.064889299,0.066339919,0.064981453,0.063319743,0.060213859,0.061517704,0.061710027
29,0,0,0.082096783,0.066245067,0.066606857,0.066488152,0.06233465,0.062834679,0.05862347,0.061431656
30,0,0,0.076705049,0.069277314,0.06473542,0.068111306,0.064726074,0.062180035,0.061319,0.061077147
31,0,0,0.064134883,0.069332343,0.070368746,0.065426029,0.064011154,0.063797159,0.060420942,0.059798545
32,0,0,0.069634779,0.066808827,0.070991427,0.06526339,0.062681204,0.063522465,0.062756498,0.059507248
33,0,0,0.082967935,0.070575176,0.068444775,0.065925098,0.063381919,0.061583172,0.05959194,0.060383888
34,0,0,0.075988362,0.072426063,0.066171777,0.067807926,0.061831395,0.06169553,0.059096077,0.061379019
35,0,0,0.050085987,0.070479261,0.065816865,0.067527407,0.063279595,0.062229396,0.061672077,0.060692082
36,0,0,0.069090474,0.07720648,0.066872877,0.064220378,0.06389212,0.06131933,0.059692761,0.060447073
37,0,0,0.075262743,0.070126137,0.072254469,0.061880792,0.063157606,0.06269099,0.058534501,0.059376675
38,0,0,0.064104201,0.067945694,0.06527055,0.065241491,0.062259199,0.063381198,0.061130177,0.058742121
39,0,0,0,0.063643597,0.071062107,0.066920334,0.065415136,0.058825051,0.062086104,0.059932201
40,0,0,0.011670808,0.066971112,0.070020703,0.064580394,0.062269826,0.059190324,0.061909044,0.057710984
41,0,0,0.060093324,0.057908522,0.067447648,0.063853574,0.062645913,0.061393845,0.058289131,0.05891721
