# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Stadard deviation of halo parameter \eta_s for group of halos of the same size n_p, where n_p is number of particles in halo. \eta_s can be used to compute halo angular momentum.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
#Ref. [3]  ,https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4] Eqs.(62) (63) Fig. 6,https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]  Table 3 ,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,1.048779942,0.906835902,0.762866711,0.683926231,0.593470371,0.496930143,0.456760838,0.418260409,0.397603189
3,0,0.570813585,0.590990649,0.548805945,0.515923032,0.478936067,0.427023881,0.401611816,0.37396514,0.358957813
4,0,0.483211489,0.470757514,0.443888196,0.422032319,0.394592039,0.355008619,0.336409428,0.31611528,0.304290786
5,0,0.400098349,0.417070903,0.393113944,0.376318379,0.35171625,0.318697645,0.302449662,0.28153828,0.271960238
6,0,0.345407358,0.374612104,0.355865601,0.342867065,0.323382573,0.293565515,0.280963144,0.263502364,0.252583382
7,0,0.311166386,0.331029701,0.326592957,0.316604681,0.300461843,0.274874205,0.259767757,0.244915672,0.236640544
8,0,0.360641789,0.288784959,0.302394695,0.297901094,0.281774661,0.261468579,0.248581907,0.232694234,0.223011589
9,0,0.261008022,0.276480649,0.281358532,0.276299937,0.264561429,0.247195052,0.234057229,0.220928357,0.215443415
10,0,0.088888352,0.274380638,0.271254483,0.263417314,0.255672228,0.233663333,0.221176906,0.212555538,0.205390902
11,0,0.224187241,0.257114702,0.256563648,0.257880117,0.244725491,0.225185285,0.213200062,0.202516434,0.196629422
12,0,0,0.254817149,0.246005679,0.24735753,0.231665062,0.222490919,0.209300576,0.196412286,0.188547408
13,0,0,0.247758712,0.225390932,0.235064163,0.228574605,0.20554697,0.202331455,0.192846146,0.185201327
14,0,0.125872228,0.215460459,0.228921013,0.233054454,0.221350653,0.204030057,0.199823464,0.188045765,0.178682278
15,0,0.119338527,0.233255048,0.221692004,0.221684902,0.210870956,0.199864214,0.189599618,0.180568855,0.173020466
16,0,0,0.219571347,0.211820455,0.213082951,0.205669311,0.193494147,0.192877908,0.179120737,0.172596908
17,0,0,0.221197548,0.198649534,0.199758106,0.206269875,0.189741766,0.186070584,0.171070922,0.16957259
18,0,0,0.182055561,0.205095344,0.204063029,0.198934163,0.187386392,0.184758975,0.171676016,0.166569125
19,0,0,0.2221647,0.205812402,0.201407961,0.18954366,0.184419005,0.176432656,0.17168555,0.164146467
20,0,0,0.193854524,0.20380042,0.196068077,0.197148321,0.180207195,0.169013991,0.16022029,0.165578383
21,0,0,0.217788699,0.195438805,0.183147967,0.18851992,0.177161983,0.169966745,0.160563223,0.161399151
22,0,0,0.169956197,0.185702987,0.192159725,0.177662288,0.172749386,0.169153772,0.158888151,0.156060764
23,0,0,0.155174628,0.166022456,0.175486189,0.182139429,0.173926413,0.167256748,0.153069389,0.155638378
24,0,0,0.21061174,0.185192426,0.184244357,0.175570737,0.166004804,0.163114493,0.158548074,0.150566692
25,0,0,0.18394326,0.175200391,0.172204499,0.168590528,0.163905151,0.16307447,0.14797884,0.150814624
26,0,0,0.25885061,0.184944571,0.182917979,0.172877937,0.165743407,0.161218804,0.147514629,0.151885318
27,0,0,0.198797699,0.178612177,0.179961399,0.171708163,0.166582104,0.157116701,0.146248103,0.14504762
28,0,0,0.170403851,0.196792636,0.164165729,0.17580442,0.16174014,0.158280457,0.148548533,0.141113255
29,0,0,0.208957957,0.148108901,0.176384529,0.169059859,0.155576279,0.152973266,0.147954937,0.141530158
30,0,0,0.127615881,0.168850534,0.168772675,0.172788214,0.164831126,0.15110006,0.149122652,0.146732273
31,0,0,0.176857899,0.162287587,0.17120571,0.161674814,0.159647914,0.147898072,0.148272257,0.140463178
32,0,0,0.155141758,0.165553752,0.189200479,0.156958047,0.157365158,0.150428288,0.145775035,0.145788813
33,0,0,0.09404392,0.164149974,0.159701195,0.163396829,0.152456725,0.155343977,0.141432664,0.145328267
34,0,0,0.178916539,0.170870643,0.146739202,0.161218206,0.161052573,0.146564369,0.143208107,0.143483474
35,0,0,0.140031893,0.154356841,0.149442918,0.153214485,0.145044148,0.140621012,0.144742014,0.132263527
36,0,0,0.143324458,0.156049134,0.160617963,0.159341637,0.149821983,0.142601953,0.138005453,0.137385936
37,0,0,0.152682321,0.143130284,0.171662854,0.163467096,0.154416946,0.148480229,0.14723641,0.142730813
38,0,0,0.228496451,0.164429044,0.16144507,0.151711946,0.15034224,0.1433357,0.138654734,0.12897544
39,0,0,0,0.170590439,0.163836961,0.157543146,0.148106672,0.143079098,0.132514407,0.134676124
40,0,0,0.003743829,0.15003707,0.146382858,0.15894839,0.146682519,0.147539631,0.133195361,0.127168231
41,0,0,0.057902554,0.143101881,0.145041419,0.152015833,0.154763877,0.14222263,0.132061154,0.136318356
42,0,0,0.018693863,0.129849053,0.152589849,0.163047087,0.147092473,0.138086245,0.138432501,0.133501107
43,0,0,0.276098702,0.152936015,0.121048151,0.159588262,0.145734597,0.136308814,0.134481757,0.129368443
44,0,0,0,0.146551747,0.159396648,0.157629747,0.15845576,0.147065189,0.121787979,0.127176812
45,0,0,0.225590697,0.123911161,0.146692777,0.151120364,0.13954754,0.139457767,0.134223157,0.133941491
46,0,0,0.11788198,0.137949793,0.160552469,0.146492,0.145630156,0.137535757,0.132190154,0.119403533
47,0,0,0.125348298,0.136492404,0.152537256,0.135518596,0.138609623,0.144954847,0.136938815,0.134235848
48,0,0,0,0.126362527,0.145491368,0.138007294,0.155154013,0.133393891,0.137093217,0.131737904
49,0,0,0.02340347,0.115926054,0.155896177,0.151580527,0.147937717,0.142000108,0.12838474,0.118568639
50,0,0,0,0.167613048,0.160837829,0.143457971,0.134096208,0.138839199,0.139666833,0.128513187
51,0,0,0,0.142581766,0.147939116,0.152049475,0.136183455,0.147578775,0.12367776,0.130126401
52,0,0,0.054323713,0.125977071,0.131350197,0.151860755,0.130154124,0.144189119,0.124863565,0.132898087
53,0,0,0,0.135667996,0.141491424,0.133444482,0.139937685,0.147893189,0.131000553,0.116742121
54,0,0,0,0.11764918,0.12972423,0.138063741,0.126298101,0.126709689,0.133900944,0.131512106
55,0,0,0,0.136455298,0.179136745,0.149057372,0.148128025,0.131800013,0.125915802,0.134840417
56,0,0,0,0.151129053,0.137818048,0.147388367,0.137142882,0.134715317,0.118155684,0.122503883
57,0,0,0,0.169010943,0.131634166,0.145567165,0.145600876,0.135237126,0.130149187,0.123431461
58,0,0,0,0.18599445,0.117725635,0.157350072,0.149252366,0.133289911,0.127933758,0.126856762
59,0,0,0.088320954,0.10257476,0.168180835,0.146542112,0.140862181,0.133131783,0.13808978,0.115041727
60,0,0,0,0.135939902,0.140590313,0.138907184,0.135011948,0.141421951,0.119990719,0.12753519
61,0,0,0,0.098509359,0.125345602,0.120951805,0.135536727,0.127230458,0.133025915,0.114075765
62,0,0,0,0.072306696,0.14607171,0.151082473,0.143986617,0.12798046,0.129604363,0.122019322
63,0,0,0,0.14909756,0.139171479,0.150328675,0.145515707,0.125833406,0.135517584,0.130897957
64,0,0,0,0.132240938,0.125065431,0.13706606,0.144982772,0.134566895,0.118553479,0.12091048
65,0,0,0,0.127945759,0.152796965,0.139020098,0.144548381,0.135743713,0.131011257,0.111619158
66,0,0,0,0.108718944,0.141720715,0.151495153,0.144871599,0.140072547,0.116517315,0.116469108
67,0,0,0,0.209064999,0.176093495,0.124361449,0.13487648,0.13667701,0.130991917,0.117643357
68,0,0,0,0.084010456,0.165231327,0.162382218,0.12223966,0.130950436,0.138414658,0.114102705
69,0,0,0,0.112977134,0.148738546,0.138315173,0.131575686,0.143324769,0.133610259,0.132021912
70,0,0,0,0.132725094,0.108491616,0.142170834,0.132673094,0.130048865,0.125209356,0.12673524
71,0,0,0,0.126691105,0.155029513,0.13292701,0.147271252,0.124540611,0.136552639,0.132776702
72,0,0,0,0.06290316,0.142527699,0.121356697,0.135355787,0.13821089,0.121205466,0.122660898
73,0,0,0,0.072646449,0.129472203,0.127532083,0.13342623,0.11848256,0.138908997,0.115874156
74,0,0,0,0.078950575,0.188760994,0.14061872,0.127832175,0.130129913,0.114781887,0.116608296
75,0,0,0,0.084130993,0.132573842,0.132875945,0.152269678,0.124398817,0.130162523,0.126172453
76,0,0,0,0.178038682,0.104576791,0.123505997,0.129160933,0.129575978,0.120561731,0.12740494
77,0,0,0,0.062173883,0.149770322,0.135013821,0.127212089,0.122027865,0.126869,0.119106755
78,0,0,0,0.158970544,0.138582632,0.129319167,0.112376749,0.129452352,0.127714709,0.119463092
79,0,0,0,0.157513498,0.127226016,0.121183612,0.142329961,0.158075775,0.127006676,0.138002492
80,0,0,0,0.148623216,0.089639305,0.125665532,0.127531407,0.13733394,0.111232929,0.116895729
81,0,0,0,0.049214983,0.165458546,0.153762713,0.134357787,0.133385783,0.109313662,0.135520139
82,0,0,0,0.100915492,0.11247311,0.129241555,0.122771217,0.133690156,0.112956811,0.129109745
83,0,0,0,0.066761398,0.107896753,0.140220039,0.136925671,0.122252478,0.125680043,0.124501753
84,0,0,0,0.114869868,0.13406979,0.138584345,0.113873504,0.119897456,0.132044117,0.122259491
85,0,0,0,0.078130525,0.124459873,0.150874949,0.148538762,0.123646974,0.127319603,0.117743776
86,0,0,0,0.072742903,0.126310363,0.13956092,0.138026405,0.124384748,0.136316687,0.131097175
87,0,0,0,0.029653218,0.157924492,0.133945196,0.131470048,0.146436639,0.122388414,0.125074751
88,0,0,0,0.041355285,0.135365345,0.110586345,0.113660642,0.134648718,0.112973955,0.120355345
89,0,0,0,0.122603322,0.132387221,0.149053674,0.130181,0.151371377,0.136117974,0.13140761
90,0,0,0,0,0.141342266,0.142010385,0.120103138,0.121066998,0.123789778,0.107347947
91,0,0,0,0,0.155908709,0.103769747,0.119113685,0.120141877,0.119247947,0.124905716
92,0,0,0,0.011327122,0.08161619,0.137409653,0.13071764,0.127650771,0.117778199,0.114662636
93,0,0,0,0,0.134774971,0.092090326,0.14052784,0.107428633,0.099888885,0.138117122
94,0,0,0,0.05491086,0.17410746,0.142454953,0.133048689,0.115269121,0.122540401,0.133375193
95,0,0,0,0.094384006,0.119895012,0.129126702,0.119511652,0.140266088,0.112190095,0.112096929
96,0,0,0,0.074309211,0.205685311,0.127376174,0.106525195,0.113713942,0.108663644,0.102861328
97,0,0,0,0.061642642,0.127711817,0.1340128,0.12722492,0.12093287,0.115384489,0.118418882
98,0,0,0,0.114440273,0.151537152,0.127938087,0.124009171,0.138634977,0.117169453,0.130812482
99,0,0,0,0,0.127209658,0.109403716,0.119103301,0.131322971,0.123171596,0.1230788
100,0,0,0,0.196067992,0.162019255,0.136000937,0.103365146,0.109318665,0.121647342,0.118152681
101,0,0,0,0,0.136075407,0.088482531,0.12349536,0.133017673,0.105823055,0.110106773
102,0,0,0,0.254327925,0.092813275,0.137215478,0.14768671,0.131167409,0.136839465,0.099690043
103,0,0,0,0.106066778,0.088281707,0.129620608,0.151382358,0.142882332,0.130607658,0.124426258
104,0,0,0,0,0.181818975,0.161043385,0.140526632,0.103736914,0.119186089,0.120535912
105,0,0,0,0.056744238,0.098624926,0.133576571,0.131377265,0.098913766,0.104211351,0.110775951
106,0,0,0,0.130284438,0.157076199,0.162837115,0.144761512,0.120885547,0.112363953,0.114926688
107,0,0,0,0.218437154,0.097875286,0.119296384,0.1172158,0.137796008,0.09206917,0.12494612
108,0,0,0,0,0.097118891,0.110120574,0.143954149,0.127145403,0.107756555,0.114648492
109,0,0,0,0.085396115,0.098622502,0.118474033,0.143786689,0.124709429,0.129816148,0.118932253
110,0,0,0,0.117158473,0.081164145,0.099208717,0.120557059,0.126143373,0.110839388,0.140016065
111,0,0,0,0.09354492,0.144809517,0.133117455,0.097565552,0.110554764,0.102440089,0.130455069
112,0,0,0,0,0.05450093,0.126458134,0.097897634,0.152188387,0.115450834,0.108893784
113,0,0,0,0,0.084724459,0.149986682,0.117704937,0.118851661,0.132963903,0.12586464
114,0,0,0,0,0.095650542,0.137104786,0.102528671,0.135314353,0.102444912,0.111586666
115,0,0,0,0,0.10345694,0.134987381,0.109503459,0.119467429,0.123985175,0.106988568
116,0,0,0,0,0.086551868,0.197023265,0.118104372,0.120077022,0.104297883,0.103105292
117,0,0,0,0,0.121171688,0.116880739,0.13382362,0.111995981,0.094606838,0.104081761
118,0,0,0,0.04700075,0.036589912,0.109075754,0.109258271,0.109544652,0.140867358,0.100841881
119,0,0,0,0.104877344,0.190755513,0.114473812,0.122720386,0.110767541,0.09291622,0.116880067
120,0,0,0,0,0.093153878,0.124174952,0.147325074,0.123394776,0.106539289,0.127573208
121,0,0,0,0.347200674,0.167200581,0.078933054,0.121260099,0.115201906,0.113134777,0.114196041
122,0,0,0,0.098837811,0.029483096,0.067714403,0.133704225,0.129308732,0.125116733,0.099437507
123,0,0,0,0,0.07930858,0.135124039,0.142014209,0.108254671,0.118445522,0.103745915
124,0,0,0,0,0,0.106515455,0.122875897,0.146615729,0.109394645,0.122592595
125,0,0,0,0,0.089700856,0.072176341,0.132818273,0.114552169,0.124643932,0.121586211
126,0,0,0,0,0.073483945,0.106323245,0.127098599,0.097810858,0.107283174,0.125768952
127,0,0,0,0,0.186969993,0.0737539,0.137936389,0.115534504,0.09918033,0.105118229
128,0,0,0,0,0.077279351,0.140252154,0.142504237,0.115062568,0.105657368,0.124097216
129,0,0,0,0,0.00975126,0.116807235,0.11095858,0.103213904,0.12483683,0.089444313
130,0,0,0,0,0.101810899,0.093295918,0.128110362,0.134567025,0.114000786,0.100710886
131,0,0,0,0,0.12107343,0.11642466,0.104025586,0.112412582,0.127076967,0.112347198
132,0,0,0,0,0,0.131726248,0.142845218,0.098444457,0.118397336,0.11279981
133,0,0,0,0,0.110739932,0.159261612,0.105002093,0.123150934,0.082195456,0.104616636
134,0,0,0,0,0.274930443,0.175275973,0.1422112,0.105680555,0.104650491,0.093828112
135,0,0,0,0,0.045059087,0.121607903,0.11844854,0.118823864,0.08333253,0.118166619
136,0,0,0,0.019354941,0.086893687,0.088898207,0.113304508,0.122299076,0.114731444,0.129001059
137,0,0,0,0,0.066232134,0.137453367,0.09026002,0.119533434,0.128721794,0.111548352
138,0,0,0,0,0.134684889,0.169700054,0.122178883,0.106408263,0.159094879,0.114571593
139,0,0,0,0,0,0.178650661,0.109275845,0.123712109,0.144282556,0.113230236
140,0,0,0,0,0,0.151546573,0.161086388,0.123752076,0.106889067,0.13030582
141,0,0,0,0,0.075694033,0.12180481,0.102917081,0.127609171,0.112042654,0.11995546
142,0,0,0,0,0,0.16308885,0.124058766,0.103175663,0.101551568,0.121136593
143,0,0,0,0,0.043069259,0.144734928,0.092474591,0.142830943,0.132266802,0.13890224
144,0,0,0,0,0.15380082,0.107945758,0.08653534,0.097905798,0.116751547,0.094501877
145,0,0,0,0,0.20987539,0.114529977,0.101592474,0.114642036,0.104419565,0.10241774
146,0,0,0,0,0.137189318,0.095709432,0.115923595,0.087004998,0.117466221,0.112405835
147,0,0,0,0,0.124279528,0.153351714,0.116217212,0.158163596,0.127975828,0.131909652
148,0,0,0,0,0.14297141,0.154478282,0.113095241,0.129240164,0.091013536,0.110015089
149,0,0,0,0,0.19251759,0.152457134,0.095510561,0.105744742,0.103072452,0.110862705
150,0,0,0,0,0.144282188,0.12074477,0.12286061,0.113515597,0.138748706,0.116443818
151,0,0,0,0,0.140180144,0.186213849,0.094231116,0.133257162,0.097911873,0.114906859
152,0,0,0,0,0,0.087158779,0.124267156,0.12709921,0.13370671,0.098284078
153,0,0,0,0,0.128181181,0.104623184,0.10797161,0.124593467,0.121729715,0.107152475
154,0,0,0,0,0.05662718,0.108702466,0.1387417,0.089147315,0.098606795,0.102214089
155,0,0,0,0,0.164002412,0.114216894,0.137962418,0.093195861,0.126700708,0.125864728
156,0,0,0,0,0,0.104539755,0.161876339,0.121424974,0.105730795,0.127196626
157,0,0,0,0,0,0.135141171,0.115368492,0.103194224,0.100778753,0.121683591
158,0,0,0,0,0.146515528,0.189456153,0.106199687,0.116667724,0.11490057,0.104114302
159,0,0,0,0,0,0.131970307,0.135107974,0.135503722,0.143974489,0.138328835
160,0,0,0,0,0.108722255,0.20397166,0.140289771,0.149166681,0.104323551,0.14016396
161,0,0,0,0,0.127380678,0.128346855,0.132901239,0.095696004,0.116334689,0.104106085
162,0,0,0,0,0.035743604,0.138724698,0.154601357,0.12627567,0.108319952,0.111822235
163,0,0,0,0,0,0.07357186,0.104635405,0.116857179,0.116394506,0.105247373
164,0,0,0,0,0.075016993,0.056374562,0.113724105,0.111332485,0.134772178,0.081475074
165,0,0,0,0,0.061694313,0.134617796,0.132788235,0.123398841,0.09991352,0.104587192
166,0,0,0,0,0,0.171709463,0.135077041,0.13437676,0.107642878,0.117259906
167,0,0,0,0,0,0.076134804,0.075579371,0.114064181,0.10277546,0.095574606
168,0,0,0,0,0.129263493,0.090454529,0.129685601,0.098054969,0.10926497,0.137158386
