# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Standard deviation of halo mean square radius r_g (Mpc/h) for group of halos of the same size n_p, where n_p is number of particles in halo.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
#Ref. [3]  Eq. (59)(60)(61) Fig. 13 19,https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4],https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]  Table 3,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,0.004293012,0.006062754,0.007892317,0.009502414,0.011889664,0.015712975,0.018083923,0.021702442,0.024037647
3,0,0.004313744,0.005981461,0.007705786,0.009051982,0.011585937,0.015979935,0.018876251,0.022958699,0.025699871
4,0,0.004585554,0.006259611,0.008051298,0.009594013,0.012215804,0.017036256,0.020118087,0.024528541,0.027798343
5,0,0.005481411,0.00653671,0.008528236,0.010267714,0.012853929,0.017861657,0.02106971,0.025876593,0.029100369
6,0,0.005302829,0.006899441,0.009144339,0.010875858,0.013635859,0.018775501,0.022255176,0.027292414,0.030870293
7,0,0.00635735,0.007515739,0.009813405,0.011368577,0.014299466,0.019578682,0.023160884,0.028495685,0.032197854
8,0,0.006039049,0.007926423,0.010210999,0.01201429,0.015002656,0.020378739,0.024001495,0.029412448,0.033525683
9,0,0.007927124,0.007607889,0.010604254,0.012593658,0.015449526,0.021181678,0.024728201,0.030511027,0.034059636
10,0,0.007461306,0.008207743,0.01108428,0.013066214,0.016134636,0.02171085,0.025513608,0.031360762,0.03521685
11,0,0.005606243,0.008480666,0.011746538,0.013407364,0.016724852,0.022282573,0.026293532,0.032325096,0.036243067
12,0,0,0.009181318,0.011864837,0.014275115,0.01710229,0.023241952,0.026383794,0.032200081,0.035854297
13,0,0,0.009396173,0.012034534,0.014241933,0.017526353,0.023092108,0.027118989,0.032974146,0.036755598
14,0,0.004360662,0.009835136,0.012586179,0.014827682,0.018071697,0.023657722,0.028352902,0.033399368,0.037913654
