# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Mean halo radius of gyration r_rg (Mpc/h) for group of halos of the same size n_p, where n_p is number of particles in halo.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
#Ref. [3]  Eq. (63)(64) ,https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4],https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]   Table 3,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,0.010458054,0.015572973,0.021299559,0.026481144,0.032340685,0.042204228,0.04781113,NaN,NaN
3,0,0.012659396,0.019335731,0.026379162,0.032082072,0.040148906,0.053085055,0.060378802,0.07011502,0.076273206
4,0,0.015911889,0.023175426,0.031196993,0.037503459,0.046855904,0.061665536,0.070324781,0.081405998,0.088580553
5,0,0.018423965,0.026215608,0.034805375,0.041774982,0.052188909,0.068672353,0.078218695,0.090578032,0.098450648
6,0,0.018646411,0.028580084,0.037606685,0.045265553,0.05653489,0.074269996,0.084497321,0.09809477,0.106712758
7,0,0.02406508,0.030843147,0.040137006,0.048025729,0.059976314,0.079087416,0.089848459,0.10384571,0.11303465
8,0,0.024298196,0.032426034,0.042313757,0.050565394,0.0630965,0.083126398,0.094233873,0.109161779,0.118332472
9,0,0.024314279,0.03348991,0.044142797,0.052895351,0.065624388,0.086543163,0.098005942,0.113506512,0.123958615
10,0,0.020644465,0.034767133,0.045982955,0.054654503,0.068490613,0.089544657,0.101393365,0.117337919,0.127697532
11,0,0.023061824,0.036506655,0.047712876,0.056806158,0.070962308,0.092844562,0.104858509,0.121051827,0.131014164
12,0,0.025877978,0.038009214,0.049310304,0.058272645,0.07265866,0.095008634,0.107237,0.123702153,0.134275205
13,0,0,0.039601263,0.049730979,0.059925789,0.074612847,0.097182112,0.110269078,0.127500195,0.138008468
14,0,0.026949774,0.039979827,0.051491482,0.061692424,0.077267134,0.099337663,0.112427047,0.129267166,0.140578589
15,0,0.025566818,0.041763193,0.053353225,0.063465517,0.077844798,0.101614124,0.115177362,0.131418091,0.142259451
16,0,0.022910993,0.041849186,0.055026583,0.064725443,0.079399002,0.104029291,0.118024343,0.13470932,0.146639865
17,0,0,0.044995359,0.055953833,0.065155957,0.081560475,0.105667716,0.119746411,0.136943521,0.148341009
18,0,0,0.044366864,0.054559311,0.067636498,0.08305003,0.108103324,0.122143402,0.138795024,0.150092553
19,0,0,0.04715839,0.058256761,0.067839031,0.084066212,0.108994426,0.123016705,0.141274822,0.153045552
20,0,0,0.046685588,0.05846703,0.069847855,0.086474028,0.110558747,0.124896254,0.143943556,0.155355292
21,0,0,0.047534826,0.059443622,0.070173405,0.08705972,0.113158353,0.127530115,0.144426406,0.156339297
22,0,0,0.049511671,0.060019191,0.07289858,0.088129772,0.114347066,0.12869859,0.148251376,0.158812538
23,0,0,0.043448695,0.061813637,0.072388512,0.089659989,0.11619476,0.130884384,0.149034236,0.160673602
24,0,0,0.049919979,0.063419346,0.074187291,0.090123199,0.117666367,0.131837333,0.151163798,0.161637756
25,0,0,0.050455446,0.06541568,0.074398037,0.092347651,0.117374481,0.13469474,0.153342346,0.163521521
26,0,0,0.051959928,0.063673543,0.076069638,0.09369907,0.119588515,0.136589192,0.155409024,0.16617928
27,0,0,0.053515369,0.063694327,0.078089085,0.09382529,0.121415543,0.136529377,0.156610342,0.168589431
28,0,0,0.052806334,0.066145593,0.076352895,0.095341937,0.123280829,0.136855863,0.157775704,0.17016536
29,0,0,0.051635316,0.067585461,0.078234544,0.097160102,0.124823018,0.139570952,0.1585729,0.171423184
30,0,0,0.051703132,0.06860583,0.079352962,0.097660993,0.124679074,0.141669517,0.160941343,0.173259958
31,0,0,0.060597832,0.068702798,0.08350714,0.098347738,0.127603939,0.142599861,0.161549011,0.174470704
32,0,0,0.043986727,0.06678459,0.082533107,0.10004884,0.126693751,0.143529387,0.165919499,0.173697399
33,0,0,0.050078954,0.073569027,0.082153171,0.100534743,0.1294199,0.145146246,0.164492673,0.179496377
34,0,0,0.059501803,0.071308146,0.081081341,0.103102851,0.132280257,0.147199116,0.166085924,0.180902828
35,0,0,0.053160639,0.071240959,0.0837472,0.102464811,0.132028692,0.147230505,0.170467541,0.182606777
36,0,0,0.048105702,0.072629669,0.085025687,0.102224578,0.133572033,0.147392708,0.169540056,0.184669041
37,0,0,0.051346363,0.072267628,0.087888913,0.104473998,0.133485067,0.151725375,0.170859424,0.185044706
38,0,0,0.063139255,0.070336992,0.088784469,0.105215184,0.133683093,0.154085828,0.17330048,0.185866736
39,0,0,0.065884778,0.073646504,0.086112976,0.106099375,0.135608555,0.151356872,0.175472718,0.188084388
40,0,0,0.051300917,0.072460312,0.087162299,0.108037071,0.137009392,0.153353084,0.173490493,0.190394223
41,0,0,0.070326368,0.075180474,0.089016987,0.108161743,0.13779748,0.154000102,0.173347424,0.189171431
42,0,0,0.050620985,0.078391921,0.088050166,0.110167522,0.139937106,0.154595085,0.176677072,0.193624992
43,0,0,0.050673861,0.073888563,0.08662159,0.11058276,0.140226852,0.157286085,0.180459881,0.194706979
44,0,0,0.052399179,0.074146007,0.093244645,0.110172767,0.144123613,0.160832194,0.178767185,0.192798057
45,0,0,0.048988398,0.076338442,0.088821055,0.113465233,0.142760077,0.160566434,0.182915523,0.197394741
46,0,0,0.066314417,0.07708312,0.092536301,0.111128714,0.143865043,0.160479267,0.180996618,0.193556144
47,0,0,0.103205664,0.076876744,0.095951271,0.11270869,0.142773437,0.160244707,0.186523211,0.197028927
48,0,0,0,0.077130198,0.095444474,0.114390459,0.147715684,0.162485379,0.183809218,0.200910497
49,0,0,0.075152926,0.070253262,0.09238834,0.113834591,0.14666626,0.162164732,0.18954829,0.199444498
50,0,0,0,0.082309729,0.090417219,0.11122216,0.146773946,0.167317477,0.190724958,0.200541551
51,0,0,0.048609073,0.079563086,0.094715347,0.118802056,0.146100316,0.166898633,0.188463915,0.205166616
52,0,0,0.076952772,0.073756171,0.092579915,0.115253118,0.143904287,0.167809058,0.190805055,0.205993606
53,0,0,0,0.082911461,0.096965613,0.117763932,0.150238332,0.167756254,0.192056248,0.20574483
54,0,0,0.074056661,0.078643394,0.093775578,0.115549445,0.152850351,0.168492949,0.194248514,0.209770302
55,0,0,0.045849288,0.087145402,0.102464922,0.120021591,0.152416573,0.168822132,0.194614761,0.206152308
56,0,0,0.04632536,0.079084003,0.095663642,0.117087221,0.152236202,0.170358631,0.19219558,0.209576384
57,0,0,0,0.085774272,0.095045319,0.124463606,0.155827985,0.172520939,0.198354739,0.209777252
58,0,0,0.131037125,0.089566562,0.094101245,0.117861086,0.155885239,0.174467139,0.195082188,0.208527757
59,0,0,0.080122767,0.095011848,0.101217069,0.118503635,0.154725779,0.172105745,0.197228634,0.212050937
60,0,0,0,0.083911477,0.104546493,0.12406903,0.156196424,0.174973799,0.200426987,0.215495528
61,0,0,0,0.093032472,0.095785783,0.127855761,0.152124185,0.174201652,0.19934782,0.216042213
62,0,0,0.046703958,0.080128747,0.101689991,0.125954327,0.158926273,0.179033071,0.20578727,0.214142274
63,0,0,0,0.084716113,0.105544321,0.125013097,0.161030967,0.1751257,0.204912691,0.213773175
64,0,0,0.142659764,0.083789463,0.108267648,0.124717833,0.159690461,0.179836947,0.201718804,0.218125019
65,0,0,0,0.086274295,0.100751993,0.132733516,0.162059285,0.179888943,0.204663292,0.21422086
66,0,0,0,0.089377761,0.101159541,0.126656568,0.165063903,0.180899418,0.20609849,0.221028274
67,0,0,0,0.078170549,0.107484924,0.124023543,0.157599707,0.182237236,0.203068503,0.224009197
68,0,0,0,0.077057497,0.10826864,0.124869502,0.159455209,0.179402791,0.209849978,0.223107999
69,0,0,0,0.103916226,0.105247043,0.133058266,0.167084681,0.184550739,0.216094931,0.224580809
70,0,0,0,0.102055822,0.102491362,0.12466246,0.166549705,0.186190182,0.207257324,0.226494339
71,0,0,0,0.082613239,0.106849332,0.133489868,0.166511681,0.184594767,0.214024106,0.22910758
72,0,0,0,0.07678218,0.104127192,0.129645106,0.168210095,0.184916294,0.210556324,0.2285255
73,0,0,0,0.106154689,0.109069094,0.130236825,0.166042032,0.190552361,0.218179994,0.22548406
74,0,0,0,0.092430153,0.110869767,0.130004797,0.167767966,0.190273387,0.208270857,0.226732717
