# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Mean halo effective potential exponent n_s for group of halos of the same size n_p, where n_p is number of particles in halo. n_s represents the effective exponent or virial ratio (\gamma_v) for particles in halos.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
#Ref. [3] Eq. (53) Fig. 6,https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4] Eq.(68) Fig. 5,https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]  Table 3 ,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,-1.163297842,-1.184389894,-1.234667331,-1.297794215,-1.468897393,-2.005629184,-2.509727615,-3.409146152,-4.173454324
3,0,-1.189071588,-1.213801469,-1.280330498,-1.356673751,-1.507176773,-1.970110509,-2.41813484,-3.195044471,-3.839414749
4,0,-1.19228248,-1.212871198,-1.268948293,-1.330521291,-1.453124281,-1.808516662,-2.170936957,-2.785598015,-3.361281111
5,0,-1.221969785,-1.2167568,-1.269516202,-1.314914793,-1.411998047,-1.686758016,-1.981427505,-2.503116864,-2.95111238
6,0,-1.149970674,-1.208786116,-1.258251011,-1.297798681,-1.380281798,-1.621177146,-1.829860296,-2.276175543,-2.663084534
7,0,-1.179849797,-1.183667589,-1.241716354,-1.283553466,-1.347815376,-1.524003056,-1.714697164,-2.077156212,-2.40902015
8,0,-1.126104229,-1.171851951,-1.229181345,-1.266459603,-1.325538446,-1.49118494,-1.633220754,-1.912429637,-2.194548085
9,0,-1.12384313,-1.174783659,-1.215958919,-1.248497745,-1.292266324,-1.436231997,-1.544416707,-1.764753992,-2.049287729
10,0,-1.164110395,-1.162323826,-1.206136894,-1.237501087,-1.291426247,-1.391742365,-1.481451864,-1.726572097,-1.928872914
11,0,-1.192294512,-1.159773912,-1.191563241,-1.220368081,-1.261400166,-1.354412906,-1.435042552,-1.639974635,-1.749238071
12,0,-1.126648025,-1.152929973,-1.199100166,-1.22436391,-1.254320605,-1.330845243,-1.41226022,-1.541561653,-1.634077188
13,0,0,-1.166763822,-1.189719348,-1.207589683,-1.240373835,-1.295879666,-1.353676884,-1.465890168,-1.612419152
14,0,-1.149623579,-1.15123688,-1.181756002,-1.210720683,-1.219111713,-1.281405246,-1.341633244,-1.469182101,-1.568644542
15,0,-1.213903172,-1.167922688,-1.179470837,-1.207806147,-1.223948932,-1.273994127,-1.305805756,-1.404905493,-1.459546126
16,0,-1.19139301,-1.1688846,-1.179222389,-1.194275113,-1.212555583,-1.251524834,-1.320456759,-1.427937124,-1.456187978
17,0,0,-1.13978211,-1.179585053,-1.199664549,-1.218393012,-1.243945738,-1.259764398,-1.334723066,-1.399323921
18,0,0,-1.150886986,-1.168216516,-1.187686503,-1.201738627,-1.247302188,-1.275752874,-1.322740151,-1.388409717
19,0,0,-1.157263839,-1.17989146,-1.189224604,-1.209269747,-1.239193212,-1.25617457,-1.285248147,-1.33098938
20,0,0,-1.146945703,-1.181897615,-1.188917587,-1.208588884,-1.212752213,-1.237519505,-1.277985458,-1.358895899
21,0,0,-1.155183168,-1.174204361,-1.188629629,-1.199685787,-1.22768498,-1.235050503,-1.270754334,-1.323110043
22,0,0,-1.153818438,-1.176143789,-1.191175115,-1.207403063,-1.207961684,-1.256132693,-1.266213929,-1.337190715
23,0,0,-1.14151413,-1.169546182,-1.182047091,-1.192924286,-1.217287349,-1.224787813,-1.242350566,-1.283046189
24,0,0,-1.15657144,-1.17859907,-1.184831305,-1.19752768,-1.204858015,-1.223745073,-1.244204818,-1.265084466
25,0,0,-1.143481208,-1.154377256,-1.18573121,-1.197329776,-1.205547172,-1.208396009,-1.232277005,-1.273877349
26,0,0,-1.170145536,-1.168442236,-1.18030074,-1.199674511,-1.215281214,-1.221044793,-1.229914825,-1.294341946
27,0,0,-1.156053997,-1.182266936,-1.185594489,-1.194894988,-1.198196447,-1.208753967,-1.279787718,-1.243188489
28,0,0,-1.16654011,-1.1785111,-1.185716758,-1.191820708,-1.198594211,-1.205993919,-1.236190991,-1.215594255
29,0,0,-1.144875336,-1.169771642,-1.187485872,-1.194338632,-1.195933307,-1.19423866,-1.207152341,-1.250967326
30,0,0,-1.169408133,-1.176082088,-1.182232757,-1.189695135,-1.197486264,-1.201136426,-1.209250451,-1.262149167
31,0,0,-1.132389675,-1.179299385,-1.178144184,-1.189835299,-1.196615171,-1.20133425,-1.21501451,-1.238092336
32,0,0,-1.166712245,-1.177044743,-1.186689926,-1.179950898,-1.193658159,-1.187662253,-1.206776403,-1.20336043
33,0,0,-1.164253295,-1.165827112,-1.193631327,-1.179948898,-1.19175946,-1.180665842,-1.216558077,-1.222852136
34,0,0,-1.145421381,-1.159471117,-1.17910326,-1.190149454,-1.193372631,-1.201528865,-1.203438815,-1.199491785
35,0,0,-1.234557097,-1.179917428,-1.186905221,-1.190140281,-1.222079716,-1.20041991,-1.215869834,-1.180356516
36,0,0,-1.18757858,-1.174140552,-1.190868442,-1.205644724,-1.204532109,-1.193998093,-1.18342654,-1.223634852
37,0,0,-1.132700378,-1.176979898,-1.19006875,-1.189428419,-1.190197104,-1.19831556,-1.195070911,-1.193096964
38,0,0,-1.174212828,-1.183921718,-1.182881557,-1.194740953,-1.191201782,-1.193630954,-1.202648495,-1.184141462
39,0,0,-1.15380733,-1.170296842,-1.177555785,-1.20339203,-1.18875445,-1.200819038,-1.182332018,-1.185376298
40,0,0,-1.154138965,-1.180578065,-1.18860164,-1.19613214,-1.189389596,-1.18830114,-1.170539224,-1.209367639
41,0,0,-1.203454657,-1.179842815,-1.19563179,-1.191105966,-1.19153931,-1.179666944,-1.16859952,-1.190013458
42,0,0,-1.169386098,-1.17586468,-1.192116203,-1.186179747,-1.183785014,-1.185445301,-1.177571518,-1.188265058
43,0,0,-1.225805145,-1.194010273,-1.188741157,-1.183672824,-1.187199459,-1.190926527,-1.216262811,-1.18496299
44,0,0,-1.109416072,-1.191668778,-1.182267871,-1.191134457,-1.189061825,-1.204884444,-1.20480049,-1.191171055
45,0,0,-1.189154621,-1.189406214,-1.186777269,-1.196321825,-1.185224209,-1.195247775,-1.16759992,-1.178566199
46,0,0,-1.134965437,-1.163474694,-1.196235174,-1.18750621,-1.192892837,-1.174097983,-1.196252931,-1.195098599
47,0,0,-1.111789037,-1.195040487,-1.186912483,-1.193084993,-1.180797064,-1.190227912,-1.185000531,-1.175717051
48,0,0,0,-1.15883433,-1.177387705,-1.198923363,-1.189869157,-1.191448612,-1.176078995,-1.194720986
49,0,0,-1.161029067,-1.195546484,-1.194341034,-1.188365616,-1.188844073,-1.219709264,-1.163280597,-1.16610676
50,0,0,0,-1.182362293,-1.217630243,-1.189938561,-1.191160338,-1.179466925,-1.180380793,-1.16293882
51,0,0,-1.14003068,-1.177805538,-1.194699909,-1.194770986,-1.190447446,-1.194560894,-1.177306168,-1.167157606
52,0,0,-1.150278732,-1.215752325,-1.203878898,-1.199756869,-1.192026688,-1.199243784,-1.180396821,-1.177882165
53,0,0,0,-1.180303294,-1.178760325,-1.197837646,-1.198637799,-1.173909132,-1.167614753,-1.183214649
54,0,0,-1.206189648,-1.176864394,-1.190611896,-1.200652722,-1.180879369,-1.191002203,-1.186509862,-1.186566257
55,0,0,-1.172255777,-1.159813405,-1.184849148,-1.185274293,-1.196952376,-1.186159226,-1.182617809,-1.167657681
56,0,0,-1.231454238,-1.222286183,-1.202981859,-1.199652099,-1.204561664,-1.183678867,-1.190277493,-1.16460673
57,0,0,0,-1.148271929,-1.204740476,-1.175839544,-1.184776388,-1.178836707,-1.174780454,-1.174604697
58,0,0,-1.072189891,-1.182794525,-1.210111832,-1.205356891,-1.196222234,-1.178086511,-1.169846254,-1.181317329
59,0,0,-1.2046424,-1.16524775,-1.184052708,-1.201544346,-1.19242059,-1.173645153,-1.197259028,-1.178178472
60,0,0,0,-1.187340485,-1.193994276,-1.194592484,-1.188396433,-1.166274791,-1.172499588,-1.174396199
61,0,0,0,-1.148791516,-1.211159516,-1.181348409,-1.200870935,-1.187479451,-1.181693436,-1.165772461
62,0,0,-1.201441858,-1.193392208,-1.204701175,-1.205482976,-1.236307512,-1.198928809,-1.175622483,-1.157374734
63,0,0,0,-1.178891245,-1.18305924,-1.194284982,-1.195442133,-1.184803747,-1.176214924,-1.211367131
64,0,0,-1.118082859,-1.198499683,-1.183457411,-1.192212171,-1.194446697,-1.198414059,-1.171699104,-1.185586961
65,0,0,0,-1.197058057,-1.225635627,-1.202589102,-1.189260516,-1.205836374,-1.181513297,-1.168391469
66,0,0,0,-1.172739321,-1.218376864,-1.181706762,-1.186728598,-1.203974446,-1.168310385,-1.162354312
67,0,0,0,-1.22450295,-1.177082663,-1.213687564,-1.187535048,-1.219127641,-1.185598152,-1.170474599
68,0,0,0,-1.199217112,-1.212577695,-1.206711961,-1.188915521,-1.182116526,-1.179632394,-1.166090462
69,0,0,0,-1.163218977,-1.201245346,-1.193554924,-1.18688559,-1.176201492,-1.187526078,-1.181363355
70,0,0,0,-1.17335948,-1.221937879,-1.202623397,-1.197905691,-1.195938742,-1.196868218,-1.168603618
71,0,0,0,-1.1995984,-1.195690523,-1.205413728,-1.194092943,-1.186237195,-1.1574785,-1.180317085
72,0,0,0,-1.216163652,-1.206672858,-1.209401935,-1.193542293,-1.177494735,-1.187285356,-1.174714698
73,0,0,0,-1.226832789,-1.195428065,-1.192889322,-1.202808225,-1.181466511,-1.197025128,-1.159883549
74,0,0,0,-1.188868522,-1.226058986,-1.207580991,-1.192838613,-1.180745906,-1.200626498,-1.164910881
