# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Mean halo kinetic energy \sigma_h^2 (km^2/s^2) for group of halos of the same size n_p, where n_p is number of particles in halo. This is the halo group temperature, the dispersion of halo velocity",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
"#Ref. [3] Eq. (18), Fig. 2, 3",https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4],https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]  ,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,7477.0609,13974.61669,21104.75062,27927.18151,33361.53637,41244.23643,53945.83367,61450.52589,71334.15341,77494.35349
2,0,16701.38875,24515.56684,31489.35849,36970.74761,44939.84706,57722.4941,65276.31479,74760.8537,80770.24201
3,0,19166.36339,25626.1327,32702.94823,38211.45476,46074.12048,58768.89506,66199.15274,76207.35468,82344.04754
4,0,19003.7499,25719.82071,32824.96923,37989.19726,46000.73788,58743.38745,66053.44445,75529.64445,81906.27747
5,0,18715.93686,25994.0199,32724.22726,37966.37075,46291.99544,58445.8614,65781.33653,75402.5169,81627.59285
6,0,17860.08031,24970.99485,32425.36421,38068.85141,45715.06701,58480.02562,65523.60442,74697.40432,80426.73238
7,0,23097.32782,25083.92957,32342.66963,37583.08379,45554.71806,57785.96868,64906.31593,74355.01306,80498.63544
8,0,20493.0419,25167.43417,31695.54592,37064.87059,45042.34195,56954.41456,64261.98663,73386.72273,78874.30567
9,0,41809.58336,24513.65961,32029.40437,37294.76312,44436.34735,56881.52044,64080.81931,73545.44369,79542.54911
10,0,20761.07305,25240.78133,30998.23311,37368.05491,44425.6464,56330.7226,62910.01484,73536.76265,78810.73557
11,0,31699.9858,23532.11925,31886.82739,36609.58438,44453.88972,56199.69927,64025.68057,71209.05486,76812.11655
12,0,0,24378.54372,31574.25812,37153.4658,43344.74531,55643.92774,63129.00652,72894.86591,77312.76703
13,0,0,20764.05861,30980.55387,35883.38264,43665.46621,56115.84136,62053.72454,71667.40837,75941.88497
14,0,13057.59861,27496.39868,31016.82402,36143.42132,43218.22479,55388.64198,61975.17098,71799.57105,75822.73984
15,0,11940.94419,23074.6982,30243.54155,36002.61903,44123.24747,55623.37375,60608.86192,70476.40506,75419.21143
16,0,0,24824.20596,30645.91671,36266.37138,44573.57506,54391.41952,61800.22153,71200.93457,76150.3085
17,0,0,25395.44116,28922.38824,35447.43057,43400.29652,55676.75037,60389.01685,70081.78559,76967.13821
18,0,0,22195.55942,29123.83285,35969.60597,41715.10832,53994.76468,61275.55137,69849.80176,75714.47301
19,0,0,23870.09183,30086.05942,36133.69273,43353.76139,54351.71674,61248.37277,69426.23864,75552.59663
20,0,0,23652.55116,29886.82153,36608.55435,42581.93364,54908.11053,60098.86503,71339.63929,75048.05475
21,0,0,20286.36974,28999.03101,34721.33841,44074.09127,54662.93737,61312.85094,68354.98409,76375.01194
22,0,0,23498.24902,29174.33511,34300.13712,43010.82336,52760.83788,62789.18573,68952.27938,74906.36965
23,0,0,22975.78471,31476.81848,34295.46916,42190.71551,54004.22347,61054.68051,67988.00168,74457.82701
24,0,0,23841.59412,26628.92658,34930.39781,44464.11824,52769.45025,59708.42598,71179.94721,74398.60524
25,0,0,24846.6002,29898.79023,35023.59939,42824.2853,54351.49666,59614.17549,69104.28808,74431.14191
26,0,0,24129.946,30671.77855,33508.97631,44973.94348,53003.12579,57356.39498,66959.44858,73586.2377
27,0,0,25081.49127,30488.18081,34073.74958,44892.95213,54586.12712,58729.63315,68322.3469,74883.88492
28,0,0,20998.56476,33811.50668,34679.89005,42830.53958,56010.80598,58631.5594,67583.37852,70257.43062
29,0,0,22600.30747,26047.5741,32968.08177,42736.08513,52592.9511,59693.66869,70873.64875,72470.4123
30,0,0,35985.04332,28077.81859,33859.57012,42344.77129,53210.12423,60764.51267,67889.28536,73422.06624
31,0,0,21013.04415,26650.17584,34305.47878,40546.12849,54315.98475,59595.32315,68988.88777,71281.57012
32,0,0,23470.72339,28315.72403,35365.92264,40907.35923,55212.25305,58724.24379,67507.42376,75238.3457
33,0,0,30417.62793,29895.02189,31202.03928,41263.59003,52526.38263,62306.70768,67377.61838,70431.13296
34,0,0,16509.25699,28565.30081,32739.74518,39638.99205,49966.23495,58207.26855,64331.1166,75169.35736
35,0,0,17168.62184,28774.26725,33730.29991,41026.29542,50857.40922,60166.22497,67343.61199,71487.25449
36,0,0,16131.01618,31728.2117,34611.91953,43039.05232,53439.42627,59536.67767,68402.29392,71495.8643
37,0,0,30493.37049,31743.91157,33589.29128,42903.48614,53314.12494,60317.37326,68977.93271,71502.92673
38,0,0,44057.22869,26994.25283,34006.11762,39142.73675,51018.33765,60062.87937,68557.52003,66858.65885
39,0,0,0,24838.78645,36071.94762,41345.82487,53922.73054,60354.51074,67753.25002,74672.50606
40,0,0,74183.75827,31934.59213,34107.64846,37981.55774,53061.2272,62139.97829,69104.33595,76745.89569
41,0,0,35388.41307,23826.07804,35951.18999,40401.53055,48766.26477,56500.4155,71783.24381,78097.90794
42,0,0,9114.625137,26283.05544,35119.2563,39770.2816,54598.4046,61507.30149,63637.90266,65719.93486
43,0,0,30739.57781,25429.41508,36110.85723,44653.17143,53613.38733,58259.43586,69581.1544,73598.54979
44,0,0,0,29184.15112,34686.20438,39267.25969,53480.75058,56143.81573,66759.77051,75013.03233
45,0,0,51848.50061,22583.45023,35050.94624,42145.76291,52858.29902,56582.8134,71403.05198,74953.87002
46,0,0,25739.66901,27774.7233,31867.38234,40764.20065,51731.31018,63015.62394,67439.07884,70875.96898
47,0,0,7165.215862,32963.47812,36574.07885,39613.23463,50175.44293,57494.08514,73177.88951,75824.86073
48,0,0,0,30648.83632,30445.38673,41965.76235,53804.83801,61502.07644,68258.19437,71714.95092
49,0,0,14471.26686,27249.92949,33677.49178,39450.62337,52638.46898,58679.91138,66293.12982,71353.44283
50,0,0,0,25550.85858,33271.17224,39883.77422,49891.23282,60080.806,69659.46564,72313.48693
51,0,0,0,29777.36548,33760.67955,44117.37162,55261.62562,58656.26458,65743.44102,76590.55138
52,0,0,24340.20444,29531.12039,36081.91619,39627.36383,54446.80115,56739.46735,67207.98767,69411.44882
53,0,0,0,25134.34408,34067.56346,42415.47298,53205.64446,61518.0284,69271.3674,72159.81748
54,0,0,0,29546.36241,34267.47815,41676.83258,53514.23709,61208.66476,60538.44068,69146.30149
55,0,0,0,32340.96002,35235.16412,39393.67316,55187.7235,52706.68355,63344.9582,74478.13923
56,0,0,0,25890.75134,32006.70813,38069.12216,53584.43115,60122.97839,67247.00155,70724.61968
57,0,0,0,46180.39367,22059.52716,42053.90577,51091.22479,59235.08357,72581.10382,72813.59517
58,0,0,0,24827.10245,32733.69079,36682.76734,51919.12955,57289.67423,72997.99904,73605.38023
59,0,0,62471.96241,20208.09833,37953.88,45453.56939,60320.47232,59400.48344,65903.43831,78442.30283
60,0,0,0,34064.67563,34878.50087,38378.69067,57392.42484,62507.65681,65427.07685,77741.93574
61,0,0,0,20406.93806,31184.84646,35475.58836,49271.35565,60509.2166,66100.74679,76124.71978
62,0,0,0,9882.738871,26882.39281,37534.04339,50625.35939,53624.86278,65135.06019,74977.08584
63,0,0,0,22174.86371,33614.98216,41130.07438,58419.61051,49241.53813,63947.74805,70874.72307
64,0,0,0,30134.93164,28057.65381,35409.53041,54168.76495,59718.76065,68771.91175,68539.0073
65,0,0,0,34750.6049,35745.10535,42748.37363,54359.69349,58774.33632,68922.2357,72238.70018
66,0,0,0,41350.7604,32274.60419,42504.57706,49291.31322,63114.12889,67981.04235,72258.05935
67,0,0,0,30487.51879,38253.87387,40374.25887,48689.63987,55512.73045,68442.2587,64083.39014
68,0,0,0,34602.01018,34884.29086,43528.08288,50639.215,58542.83592,66216.74434,77162.76434
69,0,0,0,28977.7087,35899.33214,44677.44632,51210.34647,59280.39086,63001.44827,78220.73135
70,0,0,0,30708.56074,27607.3547,37305.12172,55760.7944,59139.67554,67210.66353,68133.65354
71,0,0,0,39734.92871,39879.52807,38364.03685,55904.15254,53118.58237,68816.70792,67668.82395
72,0,0,0,44984.79043,23044.67958,37124.5693,51956.31505,57689.7384,58395.77194,78962.69794
73,0,0,0,23369.84561,25442.52017,36468.43862,50205.66482,59088.02073,64663.68915,69581.60495
74,0,0,0,22055.27076,43454.74922,41964.93956,53236.86472,55425.64864,69195.37183,70025.03277
75,0,0,0,33959.24242,29637.88204,40028.25109,56454.74256,55819.73197,66095.04906,75185.75339
76,0,0,0,56027.77929,25933.20884,38310.83346,51414.53259,57048.91875,62567.79375,68621.86157
77,0,0,0,14794.19951,28493.167,36842.46996,48978.75325,67469.47544,63684.62114,69892.5957
78,0,0,0,33464.85804,18148.45305,50434.39146,51084.76076,56392.74975,64804.11235,69900.29713
