# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Updated, 05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Name,"Mean three principle semiaxis r_lambda1<r_lambda2< r_lambda3 (Mpc/h) for group of halos of the same size n_p, where n_p is number of particles in halo. Halos are assumed to be ellopsoids with three principle axis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [3]  Eq. (67)(68)(69) Fig. 19,https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [4],https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [5]  ,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,,,,,,,,,,,,,,,,,,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,6.97E-11,1.04E-10,1.44E-10,1.80E-10,2.19E-10,2.86E-10,3.25E-10,3.72E-10,4.02E-10,0,0.010458054,0.015572973,0.021299559,0.026481144,0.032340685,0.042204228,0.04781113,0.054868815,0.059284851,0,6.96E-11,1.04E-10,1.44E-10,1.79E-10,2.19E-10,2.86E-10,3.23E-10,3.72E-10,4.01E-10
3,0,9.48E-11,1.42E-10,1.93E-10,2.32E-10,2.87E-10,3.75E-10,4.25E-10,4.91E-10,5.35E-10,0,0.013881721,0.020756291,0.027936381,0.033677727,0.041716745,0.054557712,0.061866069,0.07165449,0.077820557,0,0.005156913,0.008261194,0.011056542,0.0130231,0.015571074,0.019845868,0.02225082,0.025200575,0.027086536
4,0,0.002224729,0.003655723,0.004662147,0.005434129,0.00648446,0.008074607,0.008990874,0.010080946,0.01073657,0,0.01669006,0.023814676,0.031895253,0.038208421,0.047482867,0.062171784,0.070763501,0.081869367,0.089001176,0,0.007421445,0.011731487,0.015515321,0.018191927,0.02191685,0.028068335,0.031591809,0.035987343,0.038824303
5,0,0.003816215,0.006056973,0.007849903,0.009079262,0.010823525,0.013502008,0.014964463,0.016948558,0.018097482,0,0.01856814,0.026245491,0.034756627,0.041763269,0.05205127,0.068285082,0.077760528,0.090013405,0.097836762,0,0.008993692,0.0139171,0.018399005,0.021591553,0.026291131,0.03370921,0.037943318,0.043484311,0.046802409
6,0,0.005221128,0.007904248,0.010162472,0.011739185,0.014036739,0.017584194,0.019682744,0.022249648,0.023824631,0,0.018425494,0.028116922,0.037097468,0.04465103,0.055723882,0.073159588,0.083235365,0.096571926,0.10504456,0,0.009198108,0.01549689,0.020414265,0.024134213,0.029498986,0.038022758,0.042839041,0.049136721,0.053061155
7,0,0.005687038,0.009382829,0.011932573,0.013861317,0.016613793,0.020975783,0.023526359,0.026619234,0.028440437,0,0.023028462,0.029956836,0.039225059,0.046994741,0.058708951,0.077358101,0.08786153,0.101485059,0.110579124,0,0.010641323,0.016821119,0.022134321,0.026137828,0.032039738,0.041481895,0.046930556,0.053684345,0.057961033
8,0,0.005982765,0.010490473,0.01348345,0.015557953,0.018762154,0.023825972,0.02653577,0.030221463,0.032399746,0,0.023992482,0.031333966,0.041067271,0.049041898,0.061355782,0.080816367,0.091630371,0.106058944,0.115078737,0,0.011266267,0.017831701,0.023454134,0.027861995,0.034225971,0.04442287,0.050157588,0.057728896,0.062186861
9,0,0.006929444,0.011570004,0.014580968,0.017056798,0.020575308,0.026112685,0.029296154,0.033274842,0.036014871,0,0.024021631,0.032335347,0.042551314,0.05109522,0.063546814,0.083722484,0.094747971,0.109642794,0.119683628,0,0.010393932,0.018922885,0.024594509,0.029122453,0.036071557,0.046823087,0.053141328,0.060704477,0.066298819
10,0,0.00956325,0.012342278,0.015721559,0.018330614,0.022203992,0.028152091,0.031587289,0.035983476,0.0389336,0,0.014617638,0.019549333,0.025781165,0.030539335,0.037760184,0.049034722,0.055284656,0.064104537,0.069075667,0,0.022647295,0.033510381,0.044188463,0.052479526,0.065841933,0.086227609,0.097582274,0.11303666,0.122989847
