# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Updated, 05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Name,"Mean cosine of angle between halo spin axis and three principle axis (minor, middle,major) for group of halos of the same size n_p, where n_p is number of particles in halo. Halos are assumed to be ellopsoids with three axis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [3]  Fig. 22,https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [4],https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,,,,,,,,,,,,,,,,,,,,,
#Ref. [5]  ,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,,,,,,,,,,,,,,,,,,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.000300961,-0.001270033,0.001495983,0.000861044,0.000395456,-0.000644544,-0.000194457,-0.000756909,0.000387211,0,0.000689927,-0.001714659,-0.000179231,0.002037152,-0.000657628,0.000405085,-0.000544168,-0.000563052,-0.000174665,0,1.61E-18,1.14E-20,1.20E-19,1.39E-19,-2.05E-19,-3.86E-20,9.80E-21,1.04E-19,7.84E-20
3,0,0.011743104,0.00260207,-0.000683498,-0.000270314,0.000983426,-0.000654755,8.47E-05,-0.001689508,-0.00090881,0,-0.009864559,-0.003385638,-0.002187953,-0.000899066,-0.000389853,0.00080559,0.001479386,0.001208328,-0.000982507,0,0.011961581,-0.001548848,0.000941848,0.000401794,-0.000408386,0.000814853,0.00131091,-0.000678898,0.001155821
4,0,-0.031540774,-0.002899371,0.002884253,-0.002095287,-0.003080613,-1.57E-05,0.000392816,0.000867674,-0.001397794,0,-0.047206587,-0.001887593,-0.002340216,0.000515922,-0.002411397,-1.08E-05,-9.96E-05,-0.001133734,-0.00229091,0,0.044852514,-0.008586156,0.000852675,-0.0011136,-0.001418365,-0.000217793,-0.002448966,0.002511019,-0.000605629
5,0,-0.041995477,0.011893543,-0.00529432,-0.00246103,0.005184607,0.001415359,0.000497664,-0.000396064,-0.000706118,0,0.013819255,0.011501577,-0.005996296,-6.12E-05,-0.001900423,0.000786927,0.000760441,-0.00470751,0.002174622,0,-0.050008341,0.003293073,0.002910545,-0.001482348,0.000460627,-0.001842651,0.002325204,0.001066918,0.001070346
6,0,-0.095135523,-0.005870446,0.000939445,-0.001286153,-0.001795516,0.003330554,-0.000456592,-0.004683387,0.000381344,0,-0.094555982,0.00104294,0.003920856,-0.002203794,-0.003597023,0.001662721,0.002719191,-0.001496435,0.001776822,0,0.015529999,0.009655318,0.002402962,-0.000560011,-0.004969337,0.001909264,0.002425459,0.001699166,-0.001018483
7,0,0.024171964,0.024523495,-0.002562287,-0.007078086,0.000956311,-0.006091219,0.003964093,0.001301108,0.0011099,0,-0.043876902,-0.00455928,-0.003683951,-0.004136419,-0.005585255,-0.002720261,-0.001086507,-0.003664285,9.80E-05,0,0.091132463,0.005529745,0.000206869,-0.003520903,-0.003203943,-0.004582561,0.005672279,-0.00060932,0.001992841
8,0,-0.003237505,0.01146003,-0.017755347,-0.002113507,-0.001616855,0.000334416,-3.96E-05,-0.003602437,-0.000860181,0,-0.086372811,0.022921077,0.005499586,-0.001015616,0.00547313,-8.06E-05,0.006348608,-0.003595445,0.00247499,0,-0.023651458,0.005252874,0.00262186,-0.000151194,-0.000275372,0.00397232,-0.00082856,-0.001466501,0.00387958
9,0,0.418367271,-0.002507184,0.019887752,-0.006138096,0.005641621,0.002146739,-0.000915638,0.007525386,-0.001503365,0,-0.267914489,0.01660704,-0.001379616,-0.003946073,-0.008164365,0.013091978,-0.002054232,-0.001868705,-0.002398048,0,-0.295859249,-0.012661175,0.005025101,-0.003271514,0.006988739,0.005068307,0.004495519,0.002893176,-0.001043565
10,0,0.062042716,0.003894037,0.007458708,-0.007037055,-0.002460419,0.005319682,0.001075399,-0.006774588,-0.004175217,0,-0.463297074,0.013831038,0.001477675,-0.011569716,0.001314034,-0.003409372,-0.00311861,-0.001978758,0.005470009,0,0.577120616,-0.000304367,-0.003974409,0.005677586,-0.000700841,0.004085807,-0.002806287,-0.000989463,0.001445471
11,0,-0.007554337,-0.006690238,-0.0007772,-0.002344493,0.005797822,0.006997539,-0.020503096,0.00491772,0.0009573,0,0.707940363,-0.003645641,-0.02559474,0.007535208,0.004364762,0.006176155,0.00785034,-0.011603574,0.001918597,0,-0.376247162,0.014266185,0.006833672,0.005461668,-0.007425503,-0.005388954,-0.008548154,-0.004924113,-0.004076247
12,0,0.534125761,0.015600542,-0.018427868,0.001398276,-0.005880098,-0.007328565,-0.008615625,-0.007361087,-0.003564787,0,-0.62219315,-0.040757649,-0.006672964,0.014259404,-0.000721469,0.012738103,0.002713113,2.25E-05,0.011298621,0,-0.572350727,0.016662401,-0.011655536,0.005692121,0.000464469,-0.00159363,-0.009567946,-0.003530991,0.00264056
13,0,0,0.075825325,0.01868581,0.011299082,-0.004402978,0.005086331,-0.011463795,-0.001385201,0.002740873,0,0,0.050837663,-0.013585976,-0.005817222,0.000963449,0.006622649,0.001274756,0.002273904,-0.00182107,0,0,0.019405018,-0.000512423,-0.001466796,-0.004084655,0.00555365,-0.010961691,-0.006507415,0.001585572
14,0,-0.631596046,-0.027747509,0.007947528,0.007999955,-0.004281193,-0.001745641,0.002890177,0.000180939,0.00607728,0,0.653143906,0.04218042,-0.007488614,0.00418319,0.013387361,-0.003454138,0.008068752,-0.000994718,0.009384293,0,0.361066592,-0.020744439,-0.015540778,-0.002243827,0.000417832,-0.006372031,-0.002553944,-0.004131579,0.003720352
15,0,-0.473094655,0.020202464,0.024209363,0.003922113,-0.003180034,0.000105713,-0.031326525,0.008377845,-0.011801659,0,-0.634632058,0.066542394,0.013857546,0.002374906,0.007432899,-0.008064846,0.014813539,0.012153955,-0.00382659,0,-0.020166519,-0.044040432,0.015786712,-0.012430577,0.000826505,0.019529737,-0.00594658,0.004336732,0.004169568
16,0,-0.146484659,0.023138682,-0.01420747,0.011134982,-0.012712766,-0.007575312,-0.008267498,0.008907051,0.007335213,0,-0.190510749,-0.038346858,-0.011817965,-0.027190821,0.001138876,-0.003854056,0.016466251,0.015225724,-0.002858394,0,-0.970694545,0.014980074,-0.022867231,0.002362886,0.001839373,-0.002322323,-0.006149859,-0.001281144,0.000569057
17,0,0,-0.032150669,0.004955467,-0.037273973,0.020299236,0.015090127,-0.009299609,0.007626878,-0.015017636,0,0,-0.106795668,0.008766804,-0.018711893,0.016031711,0.002878903,-0.004795988,0.016691028,0.000499052,0,0,-0.083915333,-0.002259017,-0.011313465,-0.004566795,-0.008985094,0.002122677,0.007186631,-0.002589841
18,0,0,-0.037168021,0.018291276,0.023499729,-0.024977245,0.00836112,-0.00546653,-0.010233951,-0.00046568,0,0,-0.147525616,0.037587101,0.002406834,-0.009640461,-0.00204149,-0.019585579,0.01038042,0.001893335,0,0,0.020131095,0.006141756,-0.018392402,-0.001885242,-0.003699881,-0.004873001,-0.001924305,0.006071396
19,0,0,0.105852589,-0.007245561,-0.008948361,-0.006761158,-0.014078677,0.004855235,0.008447186,0.003217091,0,0,0.023328039,0.007982845,-0.010025085,0.000493911,0.002274596,-0.023858587,-0.006359566,-0.003302425,0,0,-0.005314629,0.039534092,-0.00786732,-0.005615526,0.002858551,0.004244161,-0.01512676,0.004962882
20,0,0,0.030019086,-0.005775449,0.00330713,0.008911483,0.010762707,0.008910862,0.008810625,-0.000139966,0,0,0.062172742,-0.022820839,-0.015552616,0.000682911,-0.011085348,-0.017077462,0.003262209,0.007188577,0,0,-0.012590814,0.007979019,-0.021536152,0.00415108,-0.013407329,-0.001192585,0.000579025,0.005317856
