# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Mean intra-halo particle velocity (km/s) for group of halos of the same size n_p, where n_p is number of particles in halo. This is the root-mean-square intra-halo particle velocity due to intra-halo interaction.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
#Ref. [3] ,https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4],https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5] ,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
#Ref. [6] Eqs. (7)(8) Fig. 5 6 7,https://doi.org/10.48550/ARXIV.2203.05606,,,,,Origin or MOND acceleration,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,172.8817887,141.6478692,123.3554168,112.1112995,103.9694954,95.20058465,92.69342809,92.06698364,92.6243949
3,0,233.9196061,189.7861945,167.3052481,156.2429132,145.3150435,135.9024656,134.2989442,134.2589402,135.3182605
4,0,272.6818048,223.3973418,197.365961,184.7840398,171.4390242,159.7286771,157.321195,156.3447167,157.9370751
5,0,305.2670701,250.7364371,222.5072872,207.5157956,191.716016,177.3495136,173.7161058,172.2078068,172.9753996
6,0,336.7396186,273.6374462,243.4454135,226.5051969,208.9914154,192.2768276,186.7746891,184.1601147,184.5196888
7,0,344.409115,290.9779181,260.4534101,243.0592881,223.2556112,203.817936,197.5827825,193.7627659,193.9827449
8,0,371.5737862,308.1320251,276.1137605,257.7957775,236.3913576,215.2375322,208.0240606,202.2487602,201.0064545
9,0,397.8482922,325.0164727,290.7901765,270.4338986,247.4885313,225.0443929,216.387073,209.07431,208.7878536
10,0,392.9854645,339.7777503,302.9781787,282.95756,258.9787675,234.1900137,224.6465738,218.3902406,215.200749
11,0,431.7537599,352.91709,314.8881933,293.3982448,268.0026012,241.4993289,232.7551971,224.7040029,220.1776738
12,0,441.3102299,364.1592127,327.9276173,305.6835778,278.4412981,250.783112,240.2888352,230.5469028,224.7433827
13,0,0,380.4410361,339.8975648,314.2383608,286.562427,257.8330388,246.0009097,235.1736927,231.8498965
14,0,459.3159265,389.1238956,348.8610729,324.299907,293.4428634,265.1577557,253.7602442,244.3099198,238.0664637
15,0,496.7463881,401.8100631,358.5208124,333.1526099,304.3868401,273.254167,259.4512446,248.8741087,242.0419902
16,0,487.405554,417.2016405,366.4352387,342.246648,312.2625602,278.2913901,266.991811,255.0229923,247.4220905
17,0,0,415.0801103,378.1668909,351.9883827,320.0938604,284.9457013,270.7853297,259.4168307,252.5112905
18,0,0,430.8392896,389.6299932,357.9960062,325.9370094,292.4362306,277.3329629,264.8190225,258.1018459
19,0,0,434.7559143,395.5056994,367.883,334.356453,298.7476402,284.0502848,268.9685124,261.4150862
20,0,0,449.9278834,404.243752,373.8149276,341.1652129,303.169044,288.9426759,273.2278316,268.78751
21,0,0,462.5469959,413.6248507,382.4947422,347.3680174,310.3206251,295.0177938,280.1700929,272.6728167
22,0,0,470.7633399,421.252216,388.9961496,355.6726325,315.6617219,301.4364664,283.9557488,278.1838111
23,0,0,495.4425518,427.1588496,397.1526849,359.3881071,320.920978,305.14898,287.9784621,281.5482509
24,0,0,482.917516,434.2047876,403.505657,367.7599337,325.9468096,311.2317604,293.7219141,285.4850717
25,0,0,488.6876177,434.112484,409.8185357,372.941592,334.6504003,313.2756566,297.0017998,291.5719143
26,0,0,502.9348606,448.4074417,416.1451431,378.7336954,339.5249938,319.4925942,302.7625987,296.8705086
27,0,0,496.2249624,458.6879281,422.0612925,385.5784135,341.7560559,324.603799,308.9039432,298.5342606
28,0,0,522.3460714,462.4009571,430.6210632,389.2863306,346.0310286,329.2866733,311.5861572,299.6792971
29,0,0,528.6501292,466.4224089,434.8887037,395.3666347,351.6850875,333.1694673,316.0558979,307.6910511
30,0,0,544.1561286,475.746504,440.2175604,401.2455422,357.463393,337.7018487,319.7695764,311.0780686
31,0,0,517.2571673,482.3634582,441.4218465,407.7173541,360.96919,343.0606591,325.0940974,315.6456715
32,0,0,580.1181477,494.2758445,451.6427002,408.0941865,367.2289004,346.1587099,326.7105033,319.1321468
33,0,0,558.4358793,486.1002507,460.8652121,415.3529015,368.2360371,349.3800847,333.3588319,319.5075559
34,0,0,556.1512349,493.9609042,465.8089092,420.3112977,371.6823459,355.2672695,334.7549293,325.1373161
35,0,0,602.2265031,507.1492312,467.3706307,426.1801105,380.6306455,360.3787005,339.1292605,326.7245558
36,0,0,595.9189129,509.5184404,474.959234,434.9060897,383.9630096,363.2691565,340.5330703,330.102262
37,0,0,579.6345033,516.8986573,473.7136666,433.1909294,388.4106515,366.4344688,345.6373343,333.6771537
38,0,0,545.5050571,530.7796348,482.2232299,441.2482227,391.5287327,368.9786029,350.7812824,337.7082122
39,0,0,562.1330241,525.8220626,488.6187026,446.6969211,396.2798138,377.1363211,351.5552524,341.539041
40,0,0,591.2449327,531.0517532,494.3120787,450.1949692,397.3563707,378.5145467,356.6019611,345.3796823
41,0,0,563.7927868,537.9579909,501.0403666,452.2531113,403.4535531,381.4749633,361.330678,349.7765743
42,0,0,631.4624853,541.1638075,509.1420421,457.9097213,405.7548759,386.7975277,363.5879442,350.6921212
43,0,0,676.8933464,553.8294048,517.7339576,458.6496854,411.0629248,388.5321407,367.7997637,353.0595597
44,0,0,635.881626,566.9094084,508.3417677,468.9569896,409.5423724,389.5885512,373.0455651,358.2922777
45,0,0,662.9862265,563.2663416,519.2337275,470.9668493,417.9518057,396.095698,369.9788063,360.8876973
46,0,0,609.1623726,557.8094137,521.22773,477.0044776,421.4059124,398.4903914,378.8907904,367.2049182
47,0,0,577.5733686,575.0004636,521.0267102,478.3424893,425.8528799,404.7721372,377.4019272,368.0667834
48,0,0,0,571.6835662,524.0061543,480.5312568,428.286516,406.7299219,381.2539065,371.9937828
49,0,0,612.6272079,602.6263979,534.0823507,487.7957405,429.3582701,413.42726,381.5732454,370.4240335
50,0,0,0,581.2148234,548.9268798,496.2035381,435.7960229,410.4465294,384.5066612,376.3908602
51,0,0,658.6615014,594.9779985,542.5367208,489.2002483,440.739495,414.1840687,388.8715262,375.4808144
52,0,0,619.5250921,619.4654967,555.7816303,502.5513914,444.9712996,419.2055331,392.891857,379.9000733
53,0,0,0,593.5573088,547.1109097,503.3478715,446.2535907,421.3469186,394.502487,383.5353873
54,0,0,661.3511189,599.4452152,555.8325778,507.3050889,444.7312173,427.8602433,398.7896337,386.4735622
55,0,0,745.3738495,586.2455552,548.7772048,504.7801811,454.3380598,428.0677116,404.2899046,389.2577306
56,0,0,765.2621247,639.6746993,571.8309854,518.7853546,455.6496952,429.3384318,407.1244018,389.8685386
57,0,0,0,592.4133948,578.9920545,506.206915,456.7352792,432.8629545,407.1661868,395.4602467
58,0,0,524.9522778,603.6853014,587.9404054,525.3506361,460.0572902,433.4288534,409.0614231,398.2099508
59,0,0,654.114114,595.043811,566.4010995,529.0147236,463.110277,436.8708085,414.4129455,399.4227861
60,0,0,0,625.454554,573.4473524,523.708136,465.970819,438.4870678,415.6684451,400.8594518
61,0,0,0,607.5794101,594.1929086,519.0966547,475.5770718,448.0820287,416.1312894,403.5026508
62,0,0,771.6301161,655.4900413,593.8885771,532.2841293,475.8759702,448.0117451,416.1085473,406.3106935
63,0,0,0,642.4728661,578.6043242,536.964735,475.3400268,450.424777,420.2186152,413.7100379
64,0,0,550.1196513,653.5420888,582.4323942,540.1402979,479.5558386,454.1659252,424.7004942,411.2708644
65,0,0,0,657.2968056,601.9660527,540.6074192,481.0341338,457.9515492,427.7529395,416.3974563
66,0,0,0,643.6599219,612.2563147,538.3817992,480.9917658,461.44061,429.2430518,414.5027013
67,0,0,0,672.5841164,597.6150617,560.5185423,489.5550991,461.5533628,437.1347815,417.4891947
68,0,0,0,667.0534148,610.3456592,556.3177048,491.2104248,465.3069627,432.6627699,419.6695953
69,0,0,0,628.9737455,609.082791,556.4130929,486.1089567,465.0789957,437.8699478,424.6457137
70,0,0,0,646.6858111,628.7493811,564.5604835,495.4814144,470.9634149,442.6283557,424.771715
71,0,0,0,680.1614759,616.242885,562.3212377,498.1509598,469.1182802,435.9255065,426.9826616
72,0,0,0,706.0549444,630.1362629,571.1238245,499.1155284,471.6580198,448.4361354,430.8628173
73,0,0,0,668.9446747,622.5260834,563.4144162,502.8188103,475.0681373,446.6342734,430.3997275
74,0,0,0,702.1179596,640.8821055,574.3847297,505.7497778,476.4254171,456.6710948,430.4760188
75,0,0,0,743.2878716,651.7078917,573.314481,509.2494652,485.1499911,453.4311002,436.2093149
