# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Mean halo partical density_contrast \delta for group of halos of the same size n_p, where n_p is number of particles in halo. Mean particle density contrast for halo group. ",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
#Ref. [3] ,https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4],https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5] Fig. 1-5,https://doi.org/10.48550/ARXIV.2202.06515,,,,,Density&velocity distributions,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0.0605,0.204319576,0.425147911,0.582674133,0.673121708,0.786684844,1.052930162,1.242659871,1.528122928,1.720881502
2,0,3.84959559,5.034044941,5.408031433,5.623356848,5.98291685,6.772532311,7.243854682,7.774911808,8.168084807
3,0,13.07193535,15.40328885,15.87250268,16.20500654,17.31534516,19.36136837,20.55720712,21.98361111,22.64132051
4,0,58.0135028,32.66173978,33.90681423,35.44723996,39.28305904,45.83993437,50.28374734,56.08625889,61.1234454
5,0,47.33814261,63.7542937,66.18781272,72.39242085,80.3627847,98.12341958,114.1689711,141.7330476,158.4673026
6,0,187.2658522,93.07828403,101.7458999,113.6197904,125.8875629,157.0290185,187.9894046,229.9044167,260.3665694
7,0,70.19763253,116.2062232,132.8848127,152.4676407,170.0228001,207.6872423,255.0585254,328.0462929,367.4077987
8,0,240.2935234,144.9837873,169.5114443,187.7161706,209.4621261,270.9471819,312.9049337,387.3189136,461.2127506
9,0,234.0172636,173.7669236,194.7244864,216.9884754,249.7966645,315.2940621,379.0446431,480.6469402,534.9745692
10,0,121.5764408,189.2623825,225.1984393,249.6453524,279.2380866,369.1319729,431.1437954,544.5479332,666.1355249
11,0,151.0453883,220.3187573,256.3431126,275.3834614,320.5589853,404.660356,490.2658977,632.0355978,728.2380152
12,0,176.300148,222.879956,270.1535428,311.7294938,345.7912237,461.1820509,544.5840853,693.337997,806.0277947
13,0,0,263.2238719,299.6731135,325.6166096,368.2995086,502.5281541,595.6569276,759.1554431,902.5135259
14,0,575.3574821,257.3796582,306.2542133,357.1443715,402.6323373,538.1290154,638.552649,830.8153351,953.9416396
15,0,241.5697,254.1884679,339.6507404,369.2745146,446.1835282,589.3184984,715.3900156,912.5801139,1031.229485
16,0,129.3186487,325.9631172,344.3315376,411.2787991,469.3987277,586.8496868,728.9358466,914.2423714,1054.399521
17,0,0,287.0573044,364.6331386,416.1372519,479.2589441,622.5320492,766.7220665,1015.86488,1161.217678
18,0,0,322.0439371,411.4895823,442.5992046,505.6907305,661.8744303,763.3772943,1046.29826,1226.049207
19,0,0,268.1155849,400.0137768,471.9705467,538.8473677,703.2348445,855.4626238,1089.475001,1239.527466
20,0,0,353.3419654,416.6193292,455.9263464,543.3642885,717.0450449,877.5956549,1068.412402,1351.943459
21,0,0,335.3211325,436.4613519,481.8378255,565.1828128,745.4001322,918.9675866,1203.467063,1371.406533
22,0,0,416.6081541,462.4739085,502.885107,621.3875624,784.517442,932.8005508,1169.665122,1469.159781
