# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Mean intra-halo potential (km^2/s^2) (due to interactions within halos) for group of halos of the same size n_p, where n_p is number of particles in halo. This can be used to compute cascade of potential energy.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
"#Ref. [3] Eqs. (52), Figs. 5,  8",https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4] ,https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]   Table 3,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,-32252.33044,-20395.00067,-14566.69786,-11600.77437,-9583.099805,-7430.859855,-6612.394587,-5915.203859,-5539.476689
3,0,-50599.112,-32268.76871,-23634.70008,-19778.54848,-16348.54614,-12905.31394,-11627.38819,-10325.84977,-9691.786756
4,0,-66006.12928,-43312.13613,-32372.01449,-27405.40339,-22629.47779,-17993.47275,-16164.64213,-14401.83989,-13552.52731
5,0,-78732.45961,-53561.97254,-40587.81856,-34472.38842,-28350.27536,-22493.43661,-20257.31536,-18079.92538,-17010.559
6,0,-101359.4465,-63820.40863,-48732.64845,-41140.5668,-33873.11105,-26852.09171,-24215.24961,-21521.92943,-20263.24737
7,0,-102221.6239,-73377.9346,-56157.59267,-47703.5594,-39184.46126,-30983.82736,-27886.92159,-24958.16868,-23425.28632
8,0,-124735.4359,-82740.4416,-63511.21019,-54123.68879,-44333.25799,-35004.11007,-31586.24482,-28123.9662,-26521.90459
9,0,-142079.2224,-91518.15406,-71095.22163,-60122.09421,-49379.15104,-38986.83777,-35179.27422,-31388.71299,-29272.38707
10,0,-133271.8324,-100620.4935,-77601.51748,-66330.85541,-54196.10928,-42928.59002,-38802.04549,-34466.32531,-32331.64972
11,0,-156547.1391,-108979.0465,-84621.52484,-71958.71302,-58842.6761,-46495.06578,-42098.28947,-37653.84086,-35379.66458
12,0,-172862.0782,-116364.9459,-91129.45386,-77875.65503,-63732.03068,-50597.79937,-45545.38778,-40591.47367,-38256.99505
13,0,0,-125933.4723,-98466.24418,-83204.46839,-68032.11558,-54123.96656,-48847.32262,-43472.0858,-40927.65469
14,0,-184332.1565,-132991.2246,-104215.0688,-88388.25905,-72239.65993,-57781.22244,-52090.76409,-46631.51452,-43620.59651
15,0,-203715.484,-139525.1714,-110278.0561,-93378.51387,-77399.45849,-61453.87868,-55190.41478,-49477.02391,-46612.89808
16,0,-199400.3424,-150428.4443,-115143.3188,-99468.51701,-82018.28666,-64297.70673,-58027.8781,-51987.99866,-48916.97162
17,0,0,-152765.012,-122734.0536,-104842.6877,-85697.09042,-68006.76847,-61351.0723,-55014.85041,-51672.11649
18,0,0,-162983.1391,-131061.7983,-109242.5191,-89770.71052,-71257.83642,-64062.85454,-57760.60738,-54272.99819
19,0,0,-164517.2187,-133767.786,-115024.3183,-94193.9727,-74788.07718,-67376.79981,-60223.01822,-56568.47911
20,0,0,-178081.7776,-139560.2857,-118793.6619,-97917.93098,-77873.67226,-70290.23308,-62533.5612,-59280.52605
21,0,0,-186534.7321,-146949.6915,-124293.8483,-102097.8312,-80936.65304,-73226.00161,-66015.53776,-61750.70871
22,0,0,-193932.5772,-152335.7021,-128610.7995,-106489.8681,-84420.70689,-76164.71724,-67786.953,-64320.48275
23,0,0,-216228.4775,-157261.3729,-134629.158,-109731.5769,-86896.28909,-78741.21131,-70468.60252,-66432.16528
24,0,0,-203734.474,-161283.7607,-138719.3409,-114483.1463,-90069.98772,-82065.07059,-73014.72597,-68805.71905
25,0,0,-210210.1018,-164511.5662,-142873.8942,-117598.3876,-95042.85467,-83405.43406,-75150.75361,-71249.55148
26,0,0,-218034.3163,-173536.0965,-148065.6148,-121071.0722,-96989.61389,-86439.55507,-77821.43404,-73639.13788
27,0,0,-214801.8991,-179435.2217,-151541.2057,-125800.5911,-99204.21694,-89718.29624,-80073.2514,-76066.37573
28,0,0,-236930.6063,-183143.4474,-157594.5531,-128621.1388,-101997.1715,-92493.75492,-82608.47172,-77512.42456
29,0,0,-245085.4889,-187389.1505,-160379.2136,-132254.6626,-105442.8569,-95032.92698,-85412.59384,-80574.48604
30,0,0,-254283.0131,-193663.1136,-165241.2911,-136557.3298,-108424.1271,-97206.75598,-87551.36143,-81953.13075
31,0,0,-236958.8659,-198845.1881,-166665.1396,-141032.5375,-110905.871,-100387.6907,-90323.72249,-84676.88
32,0,0,-288868.5095,-209126.8987,-173316.5066,-142490.6259,-114753.4189,-103086.1746,-91822.86054,-87737.46007
33,0,0,-269271.0184,-204803.7604,-179199.5176,-147468.5698,-115804.811,-105282.7022,-94532.10886,-87983.05542
34,0,0,-270937.0345,-211760.4004,-185127.005,-149773.204,-117712.2023,-107586.3541,-96326.70744,-91043.45856
35,0,0,-294276.9004,-219354.9919,-185130.5247,-153978.8523,-122140.3444,-110409.3536,-98679.09262,-93087.21982
36,0,0,-301050.6278,-222575.1435,-190708.297,-158260.6767,-124448.0988,-112754.0749,-100340.009,-94395.19037
37,0,0,-299674.5777,-228269.6776,-190075.0375,-159296.3138,-128321.5402,-114335.3431,-102575.7587,-96332.37089
38,0,0,-255312.2205,-239040.378,-197811.0621,-164512.7684,-130715.4252,-116290.0804,-104977.9595,-99112.50493
39,0,0,-273870.2803,-237440.7644,-204057.3522,-167473.5986,-133855.2416,-120921.4634,-106875.5949,-101380.413
40,0,0,-303856.894,-239825.529,-206694.215,-170824.5579,-134944.9497,-122790.022,-110824.4482,-102866.2145
