# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Mean halo (peculiar) radial momentum G_hp (km/s Mpc/h) for group of halos of the same size n_p, where n_p is number of particles in halo.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
"#Ref. [3] Eq. (56)-(58), Fig. 12",https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4] Eq. (62) and Fig. 4,https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5] Table 3,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,-1.042004806,-0.726584171,-0.530835591,-0.490919817,-0.426852083,-0.440750068,-0.423015429,-0.39659757,-0.396433213
3,0,-1.781871973,-1.293370893,-1.134640748,-1.047977181,-0.877808802,-0.815909633,-0.782772951,-0.749104014,-0.71600169
4,0,-2.519858797,-1.82953709,-1.646880897,-1.527329841,-1.289120472,-1.125361268,-1.114558481,-1.023797817,-1.010453624
5,0,-3.217331175,-2.381048164,-2.234994024,-1.984941317,-1.670246453,-1.476408858,-1.342964478,-1.304912122,-1.265081186
6,0,-3.053995822,-2.998981435,-2.695123843,-2.448332371,-2.067417827,-1.802033381,-1.658207441,-1.604532034,-1.497848105
7,0,-4.654011317,-3.577816381,-3.222182768,-2.858258118,-2.437929927,-2.148440054,-2.026678179,-1.852332284,-1.676162781
8,0,-4.906691375,-3.929336436,-3.69002725,-3.255785437,-2.817990262,-2.443632501,-2.202567135,-1.968281539,-2.041690527
9,0,-4.905786676,-4.383885646,-4.107588969,-3.630470954,-3.076361463,-2.645016001,-2.533881287,-2.322194855,-2.141966557
10,0,-5.555048122,-4.631078994,-4.588959728,-3.934473882,-3.440449646,-2.938179041,-2.725123975,-2.604391076,-2.531927077
11,0,-6.649363383,-5.123239467,-4.804636141,-4.38022316,-3.865174186,-3.114877263,-3.091404705,-2.838962684,-2.596577221
12,0,-8.083494384,-5.498601514,-5.228536079,-4.603522018,-4.220730598,-3.426828176,-3.219703606,-2.944452425,-2.734735141
13,0,0,-5.900220762,-5.517902351,-4.920401735,-4.338017297,-3.798923086,-3.518025429,-3.160254326,-3.115889356
14,0,-7.809096201,-6.298730609,-6.055235672,-5.406937468,-4.651975881,-3.888530771,-3.904238406,-3.411783121,-3.31433203
15,0,-8.829701555,-6.962712749,-6.329448309,-5.832367761,-4.863938967,-4.05664312,-4.087473226,-3.595194562,-3.358374013
16,0,-9.536485566,-7.226942054,-6.94456038,-6.091518459,-5.177157548,-4.433257811,-4.021742202,-3.838050844,-3.77679753
17,0,0,-7.9471748,-7.152127623,-6.19786105,-5.572601913,-4.665272641,-4.264445422,-3.994431892,-3.757046655
18,0,0,-7.930980968,-7.146113797,-6.567812823,-5.975723215,-4.885263719,-4.343748803,-4.209776142,-3.801909665
19,0,0,-9.31685917,-7.860047407,-7.023420663,-5.952541424,-5.101298488,-4.716717291,-4.476321464,-4.371299149
20,0,0,-8.618489111,-8.03884725,-7.033804576,-6.419961326,-5.302350731,-4.835256936,-4.624472003,-4.416233204
21,0,0,-8.960833686,-8.208569111,-7.475780027,-6.837182947,-5.663956623,-5.248427641,-4.526126808,-4.649138808
22,0,0,-9.077553955,-8.679703183,-8.018845571,-6.895262679,-5.838102407,-4.965192966,-5.142203947,-5.052185587
23,0,0,-7.14995529,-8.899219455,-7.775277673,-7.011226809,-6.016518509,-5.854488154,-5.094549175,-4.681109696
24,0,0,-10.61740515,-9.661104196,-8.207345353,-7.054744263,-6.133231032,-5.665678512,-5.502738002,-5.125902445
25,0,0,-10.99996611,-9.947806357,-8.456801315,-7.825447863,-6.082349589,-6.119653008,-5.67891376,-5.085557361
26,0,0,-11.00766295,-9.049721862,-8.825680431,-7.948337744,-6.296661541,-6.413377094,-5.993759848,-5.468799399
27,0,0,-11.8268425,-9.82060654,-9.572580098,-7.893677527,-6.692483561,-6.460804524,-5.943735283,-5.881109867
28,0,0,-11.60407605,-10.61236317,-8.886774371,-8.591078989,-6.898027952,-6.445651106,-5.962136255,-5.870641109
29,0,0,-10.37675848,-10.66677003,-9.581201149,-9.005069094,-6.906598535,-6.538020438,-5.704345469,-6.212526447
30,0,0,-10.96608927,-11.21540768,-9.927725227,-9.117153362,-7.700709358,-7.014370592,-6.396368612,-5.642952577
31,0,0,-13.25963111,-10.93145935,-10.77120037,-8.961520021,-8.120306781,-7.522414241,-6.004898918,-6.099499015
32,0,0,-10.18860591,-10.32376956,-10.64702289,-9.621253805,-7.763653469,-6.872739013,-6.738673424,-6.157975003
33,0,0,-11.79471292,-12.30766471,-10.56481519,-9.310010732,-7.872206531,-7.194472101,-6.705244449,-6.772951168
34,0,0,-13.62738522,-11.65422107,-10.2287804,-10.16574508,-8.462409445,-7.399028541,-6.116144925,-6.518582903
35,0,0,-15.37053598,-12.95886465,-11.67404466,-9.940073561,-8.804887222,-8.369877353,-7.108667849,-6.276574048
36,0,0,-11.79484262,-13.16835268,-11.61941123,-10.15848419,-8.811526119,-7.758574289,-6.583025073,-6.17965935
37,0,0,-12.83643484,-11.88089674,-13.26815564,-10.79654499,-8.792553792,-8.313914648,-7.280874379,-6.713303427
38,0,0,-19.56699706,-12.23788697,-13.15488825,-10.61386533,-8.774913295,-8.649086889,-7.579876946,-6.646177245
39,0,0,-18.56338441,-12.93604417,-11.52214869,-10.94368856,-9.135126444,-7.733439077,-8.163238544,-7.387600082
40,0,0,-9.114092347,-14.17583541,-12.68521149,-11.17864844,-8.830425993,-8.902903802,-8.198522353,-7.762498863
41,0,0,-25.20000199,-14.52151088,-13.17134338,-11.07710186,-8.836956219,-9.049196737,-7.306206587,-7.743035695
42,0,0,-8.924416841,-15.05826002,-12.43702416,-12.1470104,-10.00838979,-8.482581793,-7.863903715,-8.346942944
43,0,0,-12.94674539,-13.54743525,-11.80362065,-11.53774466,-9.182439155,-9.689112786,-8.227601658,-8.389484853
44,0,0,-5.148479575,-13.90257758,-13.85104246,-11.94737518,-10.86382219,-9.647812657,-8.469875998,-8.179712073
45,0,0,-16.97652403,-15.2256267,-12.45313819,-12.53566215,-10.8227522,-9.900088595,-8.081952317,-8.553458669
46,0,0,-17.15595734,-12.59030326,-15.12743174,-11.85500348,-10.54305094,-9.004631881,-8.097048261,-8.284121435
47,0,0,-24.89189825,-15.75202725,-14.42766762,-12.63169814,-9.71556204,-9.749104005,-9.734433506,-8.237273773
48,0,0,0,-11.90219001,-15.18579938,-13.77491957,-11.85511327,-10.34533828,-8.720638678,-9.292805987
49,0,0,-15.77850457,-13.06553019,-13.87039142,-12.75118799,-10.97739422,-9.869905877,-9.361257754,-8.466669636
50,0,0,0,-15.13858505,-14.45308113,-10.99743224,-9.777005074,-9.956500538,-9.864611061,-8.858281552
51,0,0,-9.437889807,-13.81331219,-15.70698879,-13.7591918,-10.96066357,-10.12787983,-8.619469249,-8.848909911
52,0,0,-27.84568538,-15.6049491,-13.82457845,-13.6273193,-10.3147306,-11.88911702,-10.18726632,-9.614391027
53,0,0,0,-17.28442412,-15.21274714,-14.25802974,-11.77040777,-10.6290109,-10.43887333,-9.632746473
54,0,0,-21.44227696,-15.8889358,-15.90353465,-14.12853016,-12.26718002,-10.82919318,-10.04974027,-10.32537713
55,0,0,-13.7512907,-14.4419037,-17.7277321,-14.6847276,-12.64051459,-10.34037289,-11.01193851,-10.01822222
56,0,0,-15.31311796,-13.59326881,-16.83938864,-14.3613389,-11.64254188,-11.6386145,-10.9884261,-10.70822804
57,0,0,0,-17.75084527,-15.88361632,-14.54468304,-13.14759419,-11.88129506,-10.51033208,-9.667822928
58,0,0,-29.71860828,-19.98096746,-15.31972783,-13.30767158,-12.24713317,-10.66624022,-10.4253588,-9.778166183
59,0,0,-34.01471385,-21.1460872,-16.85956877,-13.30227018,-13.25812227,-10.88772735,-11.02079514,-10.54687916
60,0,0,0,-19.09738105,-19.21691921,-15.46216352,-12.2957452,-10.10970848,-11.12668052,-10.47810642
61,0,0,0,-18.33049121,-17.64292456,-17.27967364,-12.81173409,-12.94448997,-9.04586047,-10.2509123
62,0,0,-9.273676037,-19.23067088,-17.15223297,-17.5716577,-13.48128626,-13.61600422,-10.36832749,-9.633790672
63,0,0,0,-17.68146096,-19.87057785,-16.27577554,-12.94440793,-12.39922099,-10.90734422,-9.188737643
64,0,0,-44.64658493,-20.48303948,-20.20875157,-15.72835028,-13.45835138,-12.92336888,-10.30965929,-10.11758327
65,0,0,0,-22.65106452,-19.15923496,-18.97007411,-12.98281271,-13.62944465,-10.40739087,-10.25972585
66,0,0,0,-16.26589905,-19.10444278,-14.24533697,-15.9030052,-13.55457842,-10.78721589,-10.89296569
