# Publisher, Zhijie Xu,zhijie.xu@pnnl.gov,zhijiexu@hotmail.com,,,,,,,
# Updated, 05/2022,,,,,,,,,
#Name,"Mean halo (including hubble flow) radial momentum G_h (km/s Mpc/h) for group of halos of the same size n_p, where n_p is number of particles in halo.",,,,,,,,,
#Ref. [1] ,https://doi.org/10.48550/ARXIV.2109.09985,,,,,Mass cascade 1,,,,
#Ref. [2] ,https://doi.org/10.48550/ARXIV.2109.12244,,,,,Mass cascade 2,,,,
#Ref. [3] Eq. (56)-(58),https://doi.org/10.48550/ARXIV.2110.13885,,,,,Energy cascade,,,,
#Ref. [4] Eq. (62),https://doi.org/10.48550/ARXIV.2202.04054,,,,,Energy&momentum,,,,
#Ref. [5]  Eq. (102)  Table 3,https://doi.org/10.48550/ARXIV.2201.12665,,,,,Mean flow&dispersion,,,,
n_p,z=10,z=5,z=3,z=2,z=1.5,z=1.0,z=0.5,z=0.3,z=0.1,z=0.0
1,0,0,0,0,0,0,0,0,0,0
2,0,0.084959071,0.167093783,0.273466106,0.29129598,0.244777074,0.118126978,0.080469527,0.045235673,0.012816932
3,0,0.375049075,0.47026221,0.409214126,0.361184756,0.35342177,0.210991108,0.143543865,0.071510761,0.048982254
4,0,0.754831512,0.672409702,0.513826261,0.419926954,0.415438827,0.295406598,0.172922727,0.112251665,0.050835771
5,0,1.065657013,0.784305824,0.456804815,0.449786763,0.469392809,0.306217152,0.270100489,0.121752912,0.063214387
6,0,1.293724681,0.744204032,0.467465606,0.418776909,0.458678318,0.3044478,0.246492843,0.084183042,0.077445885
7,0,1.849044747,0.762417121,0.394496417,0.389950324,0.428874399,0.255708456,0.144353125,0.057082158,0.107581952
8,0,2.009795336,0.887401472,0.330711711,0.346174515,0.367724801,0.22822602,0.198526094,0.153753997,-0.071351603
9,0,2.21416112,0.831329062,0.255805328,0.311977215,0.388940696,0.261556593,0.076783318,-0.022896665,0.021134351
10,0,2.080066243,1.002464988,0.163600453,0.293456834,0.320520936,0.183889727,0.07248727,-0.123175931,-0.220698538
11,0,1.089994727,1.033584146,0.321992902,0.178430792,0.177780397,0.234752229,-0.096874467,-0.200393574,-0.154091384
12,0,0.757824235,1.159880258,0.191238613,0.213169728,0.04046564,0.094592659,-0.063215867,-0.181312087,-0.175897347
13,0,0,1.100972334,0.070979177,0.171114778,0.164065905,-0.107080711,-0.180546803,-0.2268506,-0.408098272
14,0,1.070181462,1.122622113,-0.066460986,-0.01298255,0.149181782,-0.018131714,-0.418580646,-0.392363188,-0.490452907
15,0,0.102959048,1.072677441,0.039372781,-0.1211023,0.0262538,-0.017521079,-0.450266071,-0.455661305,-0.46044089
16,0,0.955643545,0.69550237,-0.191460235,-0.165025967,-0.111609048,-0.18506693,-0.192865803,-0.546360442,-0.714798456
17,0,0,1.234006119,-0.21658781,-0.128388721,-0.221311046,-0.286649697,-0.348803153,-0.604369286,-0.609557339
18,0,0,1.280981833,-0.326361263,-0.101165175,-0.400539496,-0.32348884,-0.279576469,-0.72339537,-0.577927209
19,0,0,0.57876015,-0.339926009,-0.542846728,-0.224130825,-0.417268507,-0.556784446,-0.860856522,-1.02090234
20,0,0,1.181013883,-0.335453704,-0.133562007,-0.428776174,-0.504978061,-0.528062389,-0.854763174,-0.971049859
21,0,0,0.967532546,-0.362752185,-0.453447138,-0.761233124,-0.671190169,-0.789769482,-0.740696222,-1.147830834
22,0,0,1.79392485,-0.56839322,-0.570861012,-0.609533829,-0.733573696,-0.448076722,-1.160180268,-1.424051766
23,0,0,1.334872697,-0.426158124,-0.347244294,-0.505132695,-0.708942153,-1.154740244,-1.068065481,-0.98350641
24,0,0,1.409245954,-0.836101807,-0.532871253,-0.465565839,-0.726509364,-0.906090945,-1.353796384,-1.355889568
25,0,0,0.463458803,-0.395779591,-0.60775503,-0.938819708,-0.670471544,-1.149769095,-1.417207527,-1.243810074
26,0,0,1.917932421,0.057926897,-0.653369246,-0.899909564,-0.70282004,-1.319490807,-1.632317979,-1.538639346
27,0,0,1.172229529,-0.598723318,-1.086903692,-0.817993607,-0.908147364,-1.332660238,-1.510836987,-1.825831304
28,0,0,0.614058704,-0.724924916,-0.746925134,-1.245574943,-0.961326411,-1.298560932,-1.457754495,-1.737592088
29,0,0,2.119042771,-0.569217842,-0.920521723,-1.348425584,-0.829999059,-1.194093786,-1.170093321,-2.002133766
30,0,0,1.02681679,-0.917765973,-1.04796418,-1.408458007,-1.597384184,-1.508352511,-1.686911887,-1.359039651
31,0,0,1.3302773,-0.452572017,-1.07896679,-1.188905777,-1.732765752,-1.930406289,-1.312399525,-1.741707893
32,0,0,0.059838958,-0.276096174,-1.081847562,-1.614457275,-1.470728636,-1.246770162,-1.745742397,-1.833930132
